,SN,0,1,2,3
202,SDSS-II SN 12879,2.01846,4.8537445,-2.5587387,-1.5579522
203,SDSS-II SN 12936,-6.2067966,2.2904062,-1.951344,-1.1323122
204,SDSS-II SN 12939,-4.9245367,4.49372,-0.5862231,-2.7304418
205,SDSS-II SN 12964,1.1400312,4.8324795,-6.2787304,-3.058422
206,SDSS-II SN 13051,-5.3373694,2.2149053,1.9315557,-0.3201262
207,SDSS-II SN 13062,2.298638,4.824976,-3.5902038,-1.7348578
208,SDSS-II SN 13076,-7.224023,3.6761098,-0.48665166,2.3505626
209,SDSS-II SN 13096,-7.423581,3.7355356,-1.5986894,0.18172024
210,SDSS-II SN 13168,2.9070115,0.84645337,2.5479536,4.9840837
211,SDSS-II SN 13283,-4.2546344,2.6314478,0.7808812,1.775863
212,SDSS-II SN 13291,-8.326885,4.548647,-2.1754367,0.7308213
213,SDSS-II SN 13330,3.391409,5.138248,-4.969355,-1.3397326
214,SDSS-II SN 13344,-5.8389635,2.2111611,-3.892903,-1.4555248
215,SDSS-II SN 13395,-7.364665,4.8540425,-4.3966837,-0.88546
216,SDSS-II SN 13404,2.4115758,1.5804819,2.0088553,4.1252174
217,SDSS-II SN 1342,6.9230814,4.8764067,-5.0827227,2.5769162
218,SDSS-II SN 13440,2.191336,5.043117,-4.955085,-2.264173
219,SDSS-II SN 13441,1.328146,3.2513158,-2.1380107,-1.6371493
220,SDSS-II SN 13460,-7.6420865,3.3589163,-2.0400355,-0.16253154
221,SDSS-II SN 13472,5.1279945,4.261644,-2.6966908,2.1490407
222,SDSS-II SN 13487,2.3591619,3.2631936,-6.0739303,-1.5023515
223,SDSS-II SN 13492,-8.094062,4.26259,-2.2540066,1.238007
224,SDSS-II SN 13529,-0.52202386,4.1575394,0.23185985,-1.4099891
225,SDSS-II SN 13554,2.6760583,2.620031,-1.55053,0.7736964
226,SDSS-II SN 13644,-0.60632044,1.960309,-2.9531226,-3.378148
227,SDSS-II SN 13646,-0.9830875,0.9697693,-2.888963,-1.8720852
228,SDSS-II SN 13675,-6.1066427,3.590732,0.24545538,0.9300572
229,SDSS-II SN 13699,-1.1408559,2.3018086,1.2187788,3.2457497
230,SDSS-II SN 13725,2.5874522,4.285836,-1.9766331,-0.038481407
231,SDSS-II SN 13803,-4.840769,2.8442109,1.0262796,3.7358103
232,SDSS-II SN 13813,1.8119864,5.2324657,0.09660364,0.8172396
233,SDSS-II SN 13833,6.509135,6.368534,-6.0832405,0.6720182
234,SDSS-II SN 13843,3.1668172,4.102568,-0.30849293,1.5644755
235,SDSS-II SN 13864,1.2595913,3.9701898,-1.6345243,-1.4023911
236,SDSS-II SN 13931,4.22973,4.974383,-5.850311,-0.8629464
237,SDSS-II SN 1395,-2.1631944,0.9152136,-0.8624355,-1.3282604
238,SDSS-II SN 14054,-3.4859571,0.5291399,-1.5530488,-0.14429262
239,SDSS-II SN 14081,2.3645735,4.3840203,-1.5813245,0.062532514
240,SDSS-II SN 14113,-7.6499434,4.007026,-4.317711,-0.4994854
241,SDSS-II SN 14258,0.5600332,1.8382744,-1.5529982,-1.4409779
242,SDSS-II SN 14260,-7.988771,4.5653033,-3.5421524,0.104251854
243,SDSS-II SN 14311,2.1539595,-1.3348897,5.1139355,3.6181145
244,SDSS-II SN 14347,-5.430624,1.5792884,1.7397602,-1.1469074
245,SDSS-II SN 14361,2.275149,5.1365757,-6.691235,-2.4592605
246,SDSS-II SN 14375,-4.97337,3.981151,0.75072694,-0.27918002
247,SDSS-II SN 14400,-7.7963805,4.5338087,-2.8049488,0.074152865
248,SDSS-II SN 14429,3.0809295,4.8734627,-5.081399,-1.537514
249,SDSS-II SN 14453,5.816572,4.1368136,-4.908988,1.732216
250,SDSS-II SN 14467,-7.3094463,3.8275633,-0.87662286,0.9465812
251,SDSS-II SN 14493,1.6473444,0.20551269,1.7797866,3.5252206
252,SDSS-II SN 14498,-5.350287,2.2690725,0.37684834,2.9966984
253,SDSS-II SN 14505,-6.4608665,1.6012803,-0.94835556,1.458389
254,SDSS-II SN 14528,2.939366,4.490947,-5.397376,-1.5747012
255,SDSS-II SN 14617,-6.876413,4.3966475,-0.5765156,0.22368655
256,SDSS-II SN 1465,2.5992653,2.3110511,-2.3939178,0.10094832
257,SDSS-II SN 1470,-7.2289376,2.132573,-1.3959428,1.0824491
258,SDSS-II SN 14821,3.1807225,4.026781,-5.5984106,-1.1830271
259,SDSS-II SN 14964,-1.8451581,0.1995465,0.0043530846,2.6952133
260,SDSS-II SN 1500,-6.398839,2.7633343,-1.3843563,-0.9827758
261,SDSS-II SN 15046,5.430778,5.0944977,-4.4667478,0.7282546
262,SDSS-II SN 15055,-5.305052,1.366947,1.1368109,-1.4049636
263,SDSS-II SN 15160,-7.4095073,3.4851685,-1.0116938,1.317176
264,SDSS-II SN 15198,1.1538904,2.9195137,-4.393207,-2.8307276
265,SDSS-II SN 15239,-5.8459663,4.703227,1.3675297,3.1596315
266,SDSS-II SN 15272,2.9920816,1.7887863,2.6027803,5.690491
267,SDSS-II SN 15289,-6.156356,3.242501,0.21033727,2.4114797
268,SDSS-II SN 15309,3.8766837,5.7774477,-5.7865286,-1.436911
269,SDSS-II SN 1535,-8.219792,4.505986,-3.866775,0.3261177
270,SDSS-II SN 15417,0.32494134,3.1646621,0.39038262,0.54716676
271,SDSS-II SN 15539,-5.395288,1.7987335,2.2262723,-0.5587191
272,SDSS-II SN 15587,-4.475302,0.80803883,-5.223835,-1.3462871
273,SDSS-II SN 15751,3.022883,3.5019507,-1.8828007,0.7472112
274,SDSS-II SN 15793,2.9446275,4.94957,-3.7368734,-1.0374277
275,SDSS-II SN 15903,80.84447,62.359753,4.17919,29.839716
276,SDSS-II SN 15914,0.66739565,0.08873232,-0.10022953,1.2771599
277,SDSS-II SN 15944,2.234757,3.88527,-1.7390547,-0.09122968
278,SDSS-II SN 16091,-5.514382,1.7816445,-3.8604136,-1.5075028
279,SDSS-II SN 1622,-6.287277,2.600254,-1.5392678,-1.1777483
280,SDSS-II SN 16412,-0.16167128,-1.0741868,-2.1945145,1.2189898
281,SDSS-II SN 16436,1.6809616,-2.1229274,2.7873662,4.49915
282,SDSS-II SN 16455,-7.3726606,3.821999,-0.6476364,2.2240524
283,SDSS-II SN 16582,4.8336735,4.8316517,-4.3698583,0.5656412
284,SDSS-II SN 16768,-6.1828055,2.041931,-0.14639111,2.8311942
285,SDSS-II SN 16838,-2.573387,1.1161653,-2.8629622,-2.9505322
286,SDSS-II SN 16977,-5.7060623,3.6345613,0.74151397,2.619979
287,SDSS-II SN 17219,-5.499561,3.3433785,-4.404191,-1.8375274
288,SDSS-II SN 17303,-7.345239,4.3799906,-2.523726,-0.5045189
289,SDSS-II SN 17330,-1.4338963,4.052901,0.4497409,-1.5103084
290,SDSS-II SN 17396,-6.305408,1.8572041,-0.7345482,1.5935124
291,SDSS-II SN 17422,-0.20146227,5.797969,-2.2891152,-0.40613556
292,SDSS-II SN 17465,1.6988696,2.1188338,-2.0204577,-0.7409404
293,SDSS-II SN 17466,-6.991705,2.0344472,-2.9905422,-0.14701939
294,SDSS-II SN 1750,2.4811378,5.0872307,-2.6295617,-1.1124867
295,SDSS-II SN 17508,-5.3644056,1.5115203,-2.7387054,-1.7825195
296,SDSS-II SN 17539,-0.36457086,4.0737553,-4.872183,-3.4814262
297,SDSS-II SN 17542,0.0016230249,1.3103243,-4.354092,-1.6597118
298,SDSS-II SN 17620,-5.01651,1.0860356,-4.7108426,-1.3205634
299,SDSS-II SN 17662,-0.24466605,6.816159,-1.6210088,0.901613
300,SDSS-II SN 17667,-7.588768,4.146383,-4.42077,-0.5843961
301,SDSS-II SN 17682,1.8607458,4.613198,-0.46087068,0.40226668
302,SDSS-II SN 17729,-2.8191626,1.3409009,-0.6820344,-1.3107975
303,SDSS-II SN 1773,-6.1012206,2.2077389,-0.022076802,2.9252822
304,SDSS-II SN 17748,-7.425374,4.6241965,-2.6770718,-0.45651668
305,SDSS-II SN 17789,-0.63805664,3.170558,-5.084184,-2.9853034
306,SDSS-II SN 17816,4.1689715,2.8300395,-2.682812,1.6700141
307,SDSS-II SN 17853,2.524816,4.4300814,-1.1371984,0.6138075
308,SDSS-II SN 17894,-5.8528266,4.4320493,1.0805781,2.6643326
309,SDSS-II SN 17906,1.5271287,4.7863355,-4.832244,-2.6221018
310,SDSS-II SN 17928,0.8370062,5.2827783,-6.790155,-3.5046263
311,SDSS-II SN 17952,-4.891933,1.421026,-2.5805452,-1.9398699
312,SDSS-II SN 17997,5.132314,4.951029,-4.9296436,0.15809597
313,SDSS-II SN 18058,-7.157237,3.1746154,-1.7544173,-0.24171042
314,SDSS-II SN 18067,1.8777158,2.1722963,-2.0675063,-0.5300002
315,SDSS-II SN 18075,2.514214,2.2415705,1.7989639,3.6438317
316,SDSS-II SN 18077,-2.6481657,2.8682208,0.989985,1.7509984
317,SDSS-II SN 18101,-0.5850476,0.8491497,0.1446826,1.3274316
318,SDSS-II SN 1821,-7.5459814,2.4565048,-1.4241521,1.0559969
319,SDSS-II SN 18226,2.5917974,5.0983176,-4.010522,-1.6716063
320,SDSS-II SN 18243,-2.0626693,3.7385893,0.5284134,-1.1276405
321,SDSS-II SN 18253,1.0868636,0.39496708,1.032175,2.3886015
322,SDSS-II SN 18273,-5.1769667,2.6097128,0.49034694,2.458922
323,SDSS-II SN 18276,-3.8682709,3.9335058,0.91987455,-0.3358826
324,SDSS-II SN 18301,-6.4541078,3.890682,0.39782214,2.680451
325,SDSS-II SN 18331,-0.04236649,6.6137185,-2.2870889,-0.0658597
326,SDSS-II SN 18376,-0.4812956,1.0380425,-0.021676518,0.64916086
327,SDSS-II SN 18387,-6.776504,1.8124872,-1.3374858,0.97612894
328,SDSS-II SN 18405,-7.3482275,3.058619,-1.0689303,1.245816
329,SDSS-II SN 18454,-5.978207,3.5699203,0.63154685,2.9915392
330,SDSS-II SN 18479,-5.199779,3.0008948,0.6511632,0.7082188
331,SDSS-II SN 18593,-0.89818984,1.2258018,-4.5140424,-2.0931368
332,SDSS-II SN 18598,0.7566615,5.38353,-6.918539,-3.6163452
333,SDSS-II SN 18647,-5.0502954,2.6441445,-0.040312786,-1.0297593
334,SDSS-II SN 1866,-6.0892277,2.250199,-2.8168871,-1.4640039
335,SDSS-II SN 18664,-8.952923,6.008006,-5.202002,-0.27152961
336,SDSS-II SN 18743,-3.4188228,2.8736653,0.89549166,1.3354783
337,SDSS-II SN 18848,5.031533,4.4077125,-4.65653,0.7715479
338,SDSS-II SN 18898,-2.2317412,0.677926,2.9652164,-0.19823061
339,SDSS-II SN 18917,-2.234226,3.90804,0.57180274,-1.1777668
340,SDSS-II SN 18935,-7.2372684,3.0218709,-1.001243,1.091914
341,SDSS-II SN 18943,-0.41614518,0.070912965,1.1560756,5.109471
342,SDSS-II SN 18971,0.10480085,4.6650095,0.97017497,-0.580098
343,SDSS-II SN 18973,3.2520764,4.1671047,-1.4185168,1.0838064
344,SDSS-II SN 18983,-1.6699173,1.5571634,-0.21257676,-1.0427376
345,SDSS-II SN 19059,-5.9158216,3.4247653,0.46199334,2.3952122
346,SDSS-II SN 19189,-4.1315026,1.2839774,-0.061777364,1.9633297
347,SDSS-II SN 19209,-3.688178,1.5765531,0.7175221,1.6273766
348,SDSS-II SN 1921,5.2091007,4.6690354,-5.208975,0.44389424
349,SDSS-II SN 19344,-8.090138,4.1371255,-2.3000538,1.0452809
350,SDSS-II SN 19399,1.7105953,2.1823237,-5.2810783,-2.5160193
351,SDSS-II SN 19428,-0.4314717,1.6051224,-0.19429629,-0.29165933
352,SDSS-II SN 19434,-4.138149,2.1186981,-0.082435995,-1.0812035
353,SDSS-II SN 19461,-1.7408949,1.582473,-0.20763053,-0.61412084
354,SDSS-II SN 19467,-5.578991,1.8001721,-0.4758379,0.5426076
355,SDSS-II SN 19538,-0.8989541,1.1143265,-2.3380816,-1.9379697
356,SDSS-II SN 19539,-7.123092,4.579009,-4.1161027,-0.9762165
357,SDSS-II SN 19683,3.8950248,5.761204,-2.4390013,0.19871183
358,SDSS-II SN 19721,-0.135986,2.190483,-0.3557022,-1.7697724
359,SDSS-II SN 19723,-5.2756906,1.3309395,-2.838988,-1.8572413
360,SDSS-II SN 19776,4.2594056,5.799119,-1.7772578,0.6316479
361,SDSS-II SN 1980,0.49913037,3.7205048,-0.9896386,-1.9253603
362,SDSS-II SN 1982,4.3785267,4.714204,-5.118392,-0.35294786
363,SDSS-II SN 1991,-7.7980943,4.348309,-4.0635557,-0.25926158
364,SDSS-II SN 19986,2.817257,4.3045616,-1.5489141,0.7110588
365,SDSS-II SN 19987,3.5710578,4.065967,-6.2373896,-1.1242036
366,SDSS-II SN 20216,-2.151372,1.4685158,0.26495856,1.0564324
367,SDSS-II SN 20231,2.7217588,0.8208234,2.4976115,5.255284
368,SDSS-II SN 20251,-4.8520913,2.5497642,0.8358425,3.4965353
