,SN,0,1,2
185,SN2005jk,1.211685,6.82175,-4.265193
186,SN2005jo,0.7499865,6.618866,-3.104695
187,SN2005jt,-6.8651314,0.10346969,13.337582
188,SN2005mh,4.1533546,5.9244294,-1.0561891
189,SN2006fo,2.6440325,1.9149321,7.183929
190,SN2006gm,4.958327,7.7223377,2.8556855
191,SN2006hc,1.2122684,6.24204,-2.557
192,SN2006jo,-4.6899705,4.02857,9.6323185
193,SN2006jx,-0.024228282,6.5197263,-2.4489508
194,SN2006no,0.033557653,6.203715,-1.614092
195,SN2007ky,3.0899615,5.720188,-1.7503273
196,SN2007ny,-5.481985,-0.6235536,9.097042
197,SDSS-II SN 10997,-1.0916797,2.4710886,5.23544
198,SDSS-II SN 11120,1.0373707,5.044575,8.081437
199,SDSS-II SN 11532,2.3454554,2.4231968,6.333513
200,SDSS-II SN 12213,-5.077968,-4.3486605,9.286836
201,SDSS-II SN 1257,-4.319225,-2.27095,8.343792
202,SDSS-II SN 12879,-4.011802,0.84617776,8.974407
203,SDSS-II SN 12936,5.7598023,7.72707,4.7638326
204,SDSS-II SN 12939,2.3881087,7.9821553,2.3341787
205,SDSS-II SN 12964,-2.8973343,3.2535255,13.364421
206,SDSS-II SN 13051,5.144433,5.5869503,-0.06695915
207,SDSS-II SN 13062,-3.9567068,1.0722024,10.247008
208,SDSS-II SN 13076,9.407218,5.615362,2.0333812
209,SDSS-II SN 13096,8.083863,8.069179,3.170872
210,SDSS-II SN 13168,0.81937844,-7.139251,3.1549377
211,SDSS-II SN 13283,6.2114472,2.8753452,1.902004
212,SDSS-II SN 13291,9.468686,9.043911,2.8259642
213,SDSS-II SN 13330,-4.534545,0.18731207,12.166602
214,SDSS-II SN 13344,5.240359,9.335005,6.556287
215,SDSS-II SN 13395,8.270967,11.556303,4.791714
216,SDSS-II SN 13404,-0.05369776,-6.199175,3.2021344
217,SDSS-II SN 1342,-6.768643,-5.634148,13.525698
218,SDSS-II SN 13440,-3.6012113,1.65147,11.952534
219,SDSS-II SN 13441,-2.5441892,1.4751331,7.2302794
220,SDSS-II SN 13460,7.9553285,8.346617,3.8960037
221,SDSS-II SN 13472,-4.079306,-4.8603473,9.820843
222,SDSS-II SN 13487,-5.6935105,2.4022994,12.901217
223,SDSS-II SN 13492,9.791322,8.464463,3.2802732
224,SDSS-II SN 13529,-0.9410692,3.5820875,3.1037705
225,SDSS-II SN 13554,-1.90373,-1.9850895,7.0706654
226,SDSS-II SN 13644,0.09829714,4.0157094,8.826545
227,SDSS-II SN 13646,-0.2831358,4.911946,7.4020586
228,SDSS-II SN 13675,7.2086945,5.5028787,1.6232508
229,SDSS-II SN 13699,2.869852,-2.9164543,4.5585365
230,SDSS-II SN 13725,-3.6958072,-1.0411396,7.9929185
231,SDSS-II SN 13803,8.502878,1.9084045,1.4143127
232,SDSS-II SN 13813,-5.182479,-2.052882,5.595453
233,SDSS-II SN 13833,-5.007369,-3.6407228,15.036918
234,SDSS-II SN 13843,-3.7604308,-3.4712892,6.4583673
235,SDSS-II SN 13864,-3.2923677,1.0621493,6.880413
236,SDSS-II SN 13931,-5.281263,-0.46586302,13.399145
237,SDSS-II SN 1395,2.1898322,3.1081212,5.5848126
238,SDSS-II SN 14054,4.504239,3.197973,5.743062
239,SDSS-II SN 14081,-3.8802888,-1.0740792,7.403756
240,SDSS-II SN 14113,8.595739,10.575688,5.3596716
241,SDSS-II SN 14258,-1.0796067,1.8236115,6.1452384
242,SDSS-II SN 14260,9.175834,10.200737,4.190614
243,SDSS-II SN 14311,-0.51468605,-10.992724,-3.9968174
244,SDSS-II SN 14347,4.587142,6.614466,-0.24007784
245,SDSS-II SN 14361,-3.694872,2.1024816,13.993032
246,SDSS-II SN 14375,4.554428,5.2078347,1.2838436
247,SDSS-II SN 14400,8.794642,9.649929,3.6388555
248,SDSS-II SN 14429,-4.5609884,0.7333904,12.160027
249,SDSS-II SN 14453,-7.146984,-4.071083,12.785874
250,SDSS-II SN 14467,8.51838,7.134822,2.4131348
251,SDSS-II SN 14493,0.9074659,-5.0048614,2.2640758
252,SDSS-II SN 14498,8.177558,2.789015,2.4732008
253,SDSS-II SN 14505,7.9305487,4.992735,4.2196035
254,SDSS-II SN 14528,-4.850658,1.1649781,12.399423
255,SDSS-II SN 14617,7.691388,7.7113633,1.7980735
256,SDSS-II SN 1465,-1.3763831,-0.9909083,7.7407036
257,SDSS-II SN 1470,8.38224,6.214153,4.2433343
258,SDSS-II SN 14821,-5.5945125,1.0266331,12.572831
259,SDSS-II SN 14964,4.305639,-1.0561941,2.80343
260,SDSS-II SN 1500,5.972276,7.6161513,3.8709128
261,SDSS-II SN 15046,-5.790242,-3.144486,12.40393
262,SDSS-II SN 15055,4.103299,6.8878536,0.17086785
263,SDSS-II SN 15160,8.845635,6.750988,2.750811
264,SDSS-II SN 15198,-2.923994,4.0552773,10.059812
265,SDSS-II SN 15239,9.166058,3.4908195,-0.33384264
266,SDSS-II SN 15272,0.7013395,-7.9153037,4.145651
267,SDSS-II SN 15289,8.478973,4.2916245,1.8157909
268,SDSS-II SN 15309,-4.0983725,-0.26005283,13.5558
269,SDSS-II SN 1535,9.652219,10.307824,4.486341
270,SDSS-II SN 15417,-3.1451745,-0.9577823,4.0464177
271,SDSS-II SN 15539,4.9633656,5.8743105,-0.61710364
272,SDSS-II SN 15587,2.7583773,9.71899,8.2803135
273,SDSS-II SN 15751,-2.8247025,-2.0963774,7.8468432
274,SDSS-II SN 15793,-4.4798403,0.08516912,10.53575
275,SDSS-II SN 15903,1.3431654,-5.775297,2.6223752
276,SDSS-II SN 15914,0.97501314,-1.6514987,1.9351513
277,SDSS-II SN 15944,-3.2923167,-0.793038,7.377224
278,SDSS-II SN 16091,4.742768,8.994943,6.8707147
279,SDSS-II SN 1622,5.704174,7.674186,4.1406865
280,SDSS-II SN 16412,3.031145,-1.2739729,-0.060880717
281,SDSS-II SN 16436,3.5052218,-4.450767,1.9918188
282,SDSS-II SN 16455,9.483545,5.9296684,2.0509717
283,SDSS-II SN 16582,-5.9851418,-2.463572,11.900676
284,SDSS-II SN 16768,8.672815,3.5719237,3.183738
285,SDSS-II SN 16838,1.863944,5.5372033,7.7093153
286,SDSS-II SN 16977,8.299655,3.7515655,1.0258938
287,SDSS-II SN 17219,5.903989,10.621906,6.2910256
288,SDSS-II SN 17303,7.8748226,9.608031,3.5744064
289,SDSS-II SN 17330,0.052966073,4.057441,2.6271698
290,SDSS-II SN 17396,7.9098096,4.8266063,3.7960293
291,SDSS-II SN 17422,-4.61518,2.8490145,3.4508893
292,SDSS-II SN 17465,-1.371833,0.33967718,6.9307504
293,SDSS-II SN 17466,7.438578,7.941181,5.681961
294,SDSS-II SN 1750,-4.306053,0.22138147,9.119125
295,SDSS-II SN 17508,4.6937375,7.7409415,6.2865305
296,SDSS-II SN 17539,-1.1161745,3.884169,11.761765
297,SDSS-II SN 17542,-1.6286131,6.2227445,8.941744
298,SDSS-II SN 17620,3.5983784,9.501846,7.805334
299,SDSS-II SN 17662,-6.2473083,1.9989938,2.630732
300,SDSS-II SN 17667,8.552667,10.802309,5.358596
301,SDSS-II SN 17682,-4.3397713,-1.4349002,6.0100403
302,SDSS-II SN 17729,2.6786504,3.7767994,5.0196457
303,SDSS-II SN 1773,8.6980295,3.4667501,2.916114
304,SDSS-II SN 17748,8.062363,9.89511,3.508611
305,SDSS-II SN 17789,-0.9881274,4.919481,11.136771
306,SDSS-II SN 17816,-1.9725937,-3.9163208,8.8478775
307,SDSS-II SN 17853,-3.9872785,-1.8448596,7.016056
308,SDSS-II SN 17894,8.651773,3.9502392,0.09789351
309,SDSS-II SN 17906,-3.1578174,2.4017572,11.713528
310,SDSS-II SN 17928,-2.3557644,3.531486,14.209874
311,SDSS-II SN 17952,4.1676064,7.369429,6.3235784
312,SDSS-II SN 17997,-5.82891,-2.2091656,12.743579
313,SDSS-II SN 18058,7.41689,7.9475584,3.7733243
314,SDSS-II SN 18067,-1.4028714,0.02477008,7.0532646
315,SDSS-II SN 18075,-0.97938037,-5.9277186,3.5215876
316,SDSS-II SN 18077,4.8723865,2.0316827,1.3833805
317,SDSS-II SN 18101,1.9758371,-0.5909842,3.0489419
318,SDSS-II SN 1821,8.682218,6.607922,4.0391626
319,SDSS-II SN 18226,-4.1035495,0.8445683,10.851023
320,SDSS-II SN 18243,1.0582584,3.9497619,2.4727044
321,SDSS-II SN 18253,0.62025785,-3.5046554,2.318811
322,SDSS-II SN 18273,7.580345,3.188145,2.0972145
323,SDSS-II SN 18276,3.5420504,4.453853,1.3623143
324,SDSS-II SN 18301,9.030962,4.4728193,1.0987674
325,SDSS-II SN 18331,-5.6263447,2.9038684,3.4545524
326,SDSS-II SN 18376,1.5069561,0.005700153,3.348033
327,SDSS-II SN 18387,7.8816156,5.847007,4.4042
328,SDSS-II SN 18405,8.662987,6.53333,3.1591194
329,SDSS-II SN 18454,8.849403,3.6646223,1.1858239
330,SDSS-II SN 18479,6.0095778,4.6264696,1.7921662
331,SDSS-II SN 18593,-0.70495576,6.4826775,8.925769
332,SDSS-II SN 18598,-2.232014,3.6087813,14.412463
333,SDSS-II SN 18647,4.512818,5.958349,2.9484649
334,SDSS-II SN 1866,5.552051,8.44973,5.603484
335,SDSS-II SN 18664,10.474133,12.786359,4.516967
336,SDSS-II SN 18743,5.0381274,2.6760135,1.7051889
337,SDSS-II SN 18848,-6.478367,-2.6001775,12.190314
338,SDSS-II SN 18898,-0.02872014,6.072099,-1.1710424
339,SDSS-II SN 18917,1.1158236,4.16777,2.3121924
340,SDSS-II SN 18935,8.406347,6.528782,3.1405878
341,SDSS-II SN 18943,4.448375,-6.261562,0.8325014
342,SDSS-II SN 18971,-5.8230085,-0.9025915,4.1360116
343,SDSS-II SN 18973,-3.6507246,-2.704903,7.638878
344,SDSS-II SN 18983,1.5834666,2.6480997,4.5734196
345,SDSS-II SN 19059,8.265063,4.105626,1.4458693
346,SDSS-II SN 19189,6.270264,2.0435073,3.578158
347,SDSS-II SN 19209,5.6234884,1.8164095,2.695684
348,SDSS-II SN 1921,-6.2433133,-2.341566,12.972839
349,SDSS-II SN 19344,9.583016,8.500441,3.428568
350,SDSS-II SN 19399,-3.8800979,5.239633,10.258066
351,SDSS-II SN 19428,0.7869371,1.0022036,4.1396494
352,SDSS-II SN 19434,3.9398887,5.0661454,3.6865416
