,SN,0,1,2,3,4
95,SDSS-II SN 21065,1.236396,0.6092051,-0.30396456,1.9110202,4.463423
96,SDSS-II SN 21307,1.8777053,0.08080588,1.780478,1.7478702,1.6039608
97,SDSS-II SN 21663,0.61585397,1.9178303,-1.8514429,6.255788,4.413282
98,SDSS-II SN 3832,-0.15439352,-3.8582292,-0.9131664,0.8942743,-1.0980273
99,SDSS-II SN 4118,3.260384,-4.145091,-0.46872565,1.303675,-0.33109632
100,SDSS-II SN 5323,-1.3479273,-2.4801548,-1.0554475,-0.24140064,3.2840872
101,SDSS-II SN 5595,-0.86186653,-2.293184,-1.9390266,-1.5315742,1.2703824
102,SDSS-II SN 5897,3.0374687,0.09703142,3.608991,2.6704187,2.9532301
103,SDSS-II SN 6225,-0.466069,-0.9257214,-0.74293715,2.2479937,4.9950786
104,SDSS-II SN 6288,0.6882413,0.91950125,-0.6870016,0.47253114,1.751696
105,SDSS-II SN 6638,-0.03249193,1.7686287,-2.5415874,3.1846626,3.9976318
106,SDSS-II SN 7374,0.57371294,-1.8352817,-0.70873815,-0.087662034,3.072717
107,SDSS-II SN 7978,2.448672,-0.7456575,0.28568694,-0.0032883158,0.63556087
108,SDSS-II SN 8165,0.92572963,-0.8066732,0.7055913,1.1133147,4.465835
109,SDSS-II SN 8457,0.7643947,2.061378,-1.4697446,6.1256857,4.321056
110,SN2005eg,0.37444875,-3.244612,-2.1546843,-1.4193038,-0.050449297
111,SN2005fe,1.4044901,-0.6579676,-1.5643696,-1.4970092,0.6308009
112,SN2005ft,0.1646207,-1.4435545,-2.8323514,-1.9888941,-0.15758115
113,SN2005fv,-0.3525219,-2.20066,-2.9981253,-2.0784128,-0.29837778
114,SN2005fx,0.23009618,-2.0214062,-1.9073733,-1.096118,1.6651661
115,SN2005gc,0.2988878,0.10853184,-4.318068,0.28379852,-2.347422
116,SN2005gs,0.96931285,-2.8503327,-2.0462043,-1.4044107,-1.7152088
117,SN2005gt,1.044671,-3.6651454,-5.1045456,1.394447,-3.6853204
118,SN2005gu,2.5533173,-2.5981145,-0.5744653,-0.16244666,-0.49661016
119,SN2005hc,0.93848026,2.8441243,-3.706473,1.4338657,-1.333539
120,SN2005ho,-0.924415,-1.0949169,-3.2851014,-0.93985444,-1.2723185
121,SN2005hx,0.39403865,1.6702757,-2.9333837,0.54432636,-1.9637431
122,SN2005id,0.5112679,1.7193708,-2.595386,0.36393687,-0.86007893
123,SN2005ik,1.4675303,-0.86484426,-1.6255968,-1.6632301,-0.09143744
124,SN2005jb,0.058600333,3.038176,-2.522256,3.1070845,1.4572389
125,SN2005jf,1.5029395,-3.7026875,-2.933317,-0.3489064,-2.9789178
126,SN2005jl,0.3535595,1.3864388,-3.4103436,0.4607626,-2.312656
127,SN2005jy,1.4995322,-0.68153495,-3.165772,-1.444533,-3.028709
128,SN2005jz,1.1587173,-3.5375876,-1.5358808,-0.83557165,-0.7874284
129,SN2005kn,1.2681979,-2.2218196,-1.6710954,-1.6356653,-0.9794509
130,SN2005li,0.29926836,1.0677732,-3.8487272,0.39757824,-1.5599623
131,SN2006fg,0.11628615,2.2517571,-3.817578,0.8793325,-3.256647
132,SN2006fx,0.15558939,1.0452958,-2.4378765,0.43113306,2.3620555
133,SN2006nu,1.1033673,-0.27521938,-1.821885,-1.4260535,0.27906695
