,SN,0,1,2,3,4,5,6
102,SDSS-II SN 5897,-5.2006116,-9.788129,-8.199265,0.94414276,-3.3445222,4.3681984,-0.33907583
103,SDSS-II SN 6225,-3.6065946,5.234295,-0.48231474,-10.938209,6.025566,3.858552,-0.53404397
104,SDSS-II SN 6288,-0.8861906,4.89942,1.7683202,8.8773575,-1.04102,0.6512091,3.4354358
105,SDSS-II SN 6638,-6.4831824,-6.3837204,3.8178134,-2.0082064,-1.1067414,-10.505087,1.6140027
106,SDSS-II SN 7374,-3.8515484,-5.781171,0.3429764,-11.971876,1.2109708,-2.63544,3.3315501
107,SDSS-II SN 7978,2.4877923,6.8632646,5.660871,4.443587,-5.612739,6.212267,6.801782
108,SDSS-II SN 8165,-3.7540321,-9.469719,4.492752,5.0983353,0.62527007,-6.428561,9.131739
109,SDSS-II SN 8457,-2.065543,5.036934,-9.132116,-4.231003,7.8515515,-4.8934045,2.297749
110,SN2005eg,-6.101786,0.62751395,-4.8693724,9.838727,0.97879,4.6738973,15.318327
111,SN2005fe,-10.723414,7.595173,3.798349,-2.0847795,2.0246649,6.9348297,6.2430215
112,SN2005ft,-10.663954,-1.2266634,1.6999805,11.358257,-2.7761958,5.1674557,11.476684
113,SN2005fv,-8.298616,-0.3583843,-10.374754,7.02278,4.319302,8.456854,3.9935825
114,SN2005fx,-9.056936,10.022404,2.130408,2.7381911,6.597257,0.4884616,3.2148063
115,SN2005gc,-9.002648,0.40470302,-6.329335,9.211238,-4.542126,12.120096,3.6770391
116,SN2005gs,-4.367686,9.834688,-10.851049,0.9890209,-0.32557318,0.90008545,12.492535
117,SN2005gt,-6.4995046,7.7923155,-2.073109,4.587019,9.566164,-3.2287662,10.794336
118,SN2005gu,-1.6098897,8.787356,7.6777945,-1.2450056,-1.723221,-1.5307637,11.625021
119,SN2005hc,-2.0872984,-6.477663,-1.5465933,11.97372,1.8869185,12.100884,5.2080398
120,SN2005ho,-6.9872923,-3.0213327,-1.6262534,3.1936026,-3.2217624,18.401167,0.7246345
121,SN2005hx,-10.0294285,-1.1313422,-2.0237036,6.8659997,-0.34363264,12.820604,-4.4572244
122,SN2005id,-11.27227,-5.2760825,0.42518148,8.049166,-3.705821,10.733829,4.854833
123,SN2005ik,-13.9599,4.829239,-2.1025765,2.9865234,3.8381236,2.8299167,-0.1808653
124,SN2005jb,1.8028126,4.37078,-1.4780451,-6.3556004,-0.5012118,0.37929943,7.602206
125,SN2005jf,-1.7502068,-1.3292054,-0.8835415,-7.1388936,-7.6471653,4.0718627,10.118729
126,SN2005jl,-8.63356,1.8920615,-3.7159135,8.858084,1.8434992,14.910253,4.369046
127,SN2005jy,-5.3216853,11.968176,-1.0425506,-0.6388076,2.8393018,2.6907926,4.742906
128,SN2005jz,-8.049605,15.361597,0.09737006,-3.7745798,5.091937,6.915703,3.1272678
129,SN2005kn,-12.004897,5.4830766,7.800397,-0.7243692,0.33488438,-0.6599384,4.578386
130,SN2005li,-14.552205,10.409976,1.3630997,-2.377936,5.565589,1.4799619,6.4756045
131,SN2006fg,-9.563732,-8.401666,7.849579,-5.070982,-4.1828513,-0.034822404,4.5078416
132,SN2006fx,-10.982116,-6.929117,-0.8551279,-6.502699,2.1053922,0.18610163,7.237034
133,SN2006nu,-7.6326714,3.9841387,-7.9092813,7.726216,5.6336336,6.3621116,9.32567
134,SN2006ok,-13.01939,-2.1939425,1.8135303,-4.0631957,-0.06387096,11.457282,1.0633414
135,SN2006oo,-13.208649,-0.2940351,-0.046801563,3.2947805,0.0917842,-3.3808072,-6.4095984
136,SN2007ih,-13.457368,5.4276786,0.84082973,-0.68212426,-1.4598626,7.041624,-7.885562
137,SN2007mr,0.61546886,-3.4125416,-0.5880185,-1.2069018,-8.674049,-14.319353,0.7224962
138,SN2007mt,-1.9552933,-0.77494633,-6.541045,-10.527223,9.464128,-3.467713,0.8199769
139,SN2007nk,-12.255708,-0.24530613,-2.9812603,-2.4539423,11.026357,7.0680623,6.1755247
140,SN2007nl,-3.8909433,-4.127187,4.561513,7.0155406,6.871333,5.9035006,4.9348
141,SN2007pa,-7.5813184,0.2157848,-10.852192,0.41682768,4.7607155,10.5879135,-1.4818281
142,SN2007qn,-1.6268625,-2.2152267,-4.892032,-8.110376,-3.3900032,-4.132466,8.203289
143,SDSS-II SN 13383,-10.012136,4.663479,7.343649,-3.7945592,-0.34378296,7.896901,-1.0526946
144,SDSS-II SN 14268,-8.303909,-3.4500535,-0.028949233,2.1568117,-1.5813508,-1.6560962,13.554448
145,SDSS-II SN 14792,-11.481778,1.0673895,-0.11432512,-11.505487,-0.3394622,-15.387473,1.843573
146,SDSS-II SN 15697,4.720695,7.476281,-6.0137615,-9.015006,3.898558,-10.860204,5.5816545
147,SDSS-II SN 16467,-11.825436,5.7962427,1.695249,-12.090661,0.74375004,3.0876632,5.307303
148,SDSS-II SN 16468,-4.5560126,3.8760252,4.593964,-6.2949543,0.20439802,-13.675091,10.259958
149,SDSS-II SN 17814,-8.28268,4.6374555,8.422758,6.19969,-4.207159,-4.7001534,0.5590032
150,SDSS-II SN 17967,-15.401241,-1.8896136,9.952991,2.1995568,0.5289836,2.339787,3.9695532
151,SDSS-II SN 19032,1.2945468,9.191929,1.0964745,-10.053212,-4.1099086,-11.1404705,6.8321466
152,SDSS-II SN 19347,-13.755342,7.375303,-11.041401,2.235336,-2.3135672,5.4333167,8.869291
153,SDSS-II SN 20278,-1.8169855,5.0672746,-11.341672,-0.3321758,-7.425765,-0.5290231,6.9730597
154,SDSS-II SN 7882,-7.3859663,2.6830554,-6.1099005,0.18209243,12.027041,0.601889,5.9042244
155,SN2005hp,-10.195519,1.0952253,-7.140778,-8.241109,-0.6666427,9.384048,2.8225944
156,SN2006fk,-14.064643,3.0452707,5.493987,12.27404,-1.3100878,0.40139377,1.4061877
157,SN2006gw,-5.5308304,3.8530505,-0.07382137,7.9131136,7.7675414,-8.118833,4.6244626
158,SN2006la,-15.059659,-2.0573452,2.1520023,4.9724855,0.39244616,10.880004,11.202221
159,SN2006pk,-9.335885,9.0627775,4.941142,7.8184433,-1.491431,8.152429,0.9137787
160,SN2007ik,-5.7114453,0.9693479,3.4099262,7.7047296,0.17077275,14.185263,13.41433
161,SN2007iz,-8.326275,6.2713456,-5.9523854,2.4789066,8.651184,-5.4333277,0.22334045
162,SN2007jn,-9.610996,-1.09735,5.5845833,-5.883322,1.8968514,-8.611526,5.83004
163,SDSS-II SN 10991,-8.431627,-4.355164,4.8345323,-10.8799095,-0.88167304,-12.84009,1.1730162
164,SDSS-II SN 13633,-0.9372648,2.1055417,-10.615032,-4.191799,-2.3762777,4.1065125,8.570162
165,SDSS-II SN 14413,-1.630611,11.935341,-4.837441,11.672626,0.115674905,6.4316635,2.620348
166,SDSS-II SN 14475,-6.082377,11.583367,-0.6891884,-8.310664,0.019386508,-8.568024,-1.7795533
167,SDSS-II SN 14531,-6.2781796,8.0827465,-12.783805,-2.6830776,-2.196938,-1.965088,1.9575713
168,SDSS-II SN 15184,-8.31797,-5.7633877,-2.6670368,1.2087737,-5.004991,-0.05425139,-4.2580385
169,SDSS-II SN 17851,-0.453716,5.0408807,-6.450136,-8.750882,-4.526563,-10.599456,8.36976
170,SDSS-II SN 20045,-3.5011845,6.380661,1.8631879,-5.3685884,0.6065521,-13.722631,0.9770733
171,SDSS-II SN 6333,-10.570682,7.1371613,-0.038334753,-3.0631404,-0.844841,-10.836816,-5.8891783
172,SDSS-II SN 6696,-9.942026,6.442691,-4.380427,2.9318836,3.560011,-9.45503,9.320609
173,SN2005ey,-3.17761,-4.399305,-1.3309755,3.340223,1.3605174,17.200869,8.752993
174,SN2005ff,-10.614769,-3.6289828,0.8372813,-1.4678258,4.9948626,13.162011,8.077292
175,SN2005fi,-7.622693,-3.4279015,-3.6101975,3.4547389,8.89753,2.8397021,12.415222
176,SN2005fu,-3.3308775,7.091482,1.3429132,5.38485,-0.93439656,15.512301,5.018225
177,SN2005fz,-6.0727167,6.3855934,-12.471818,-2.1632016,3.159079,5.855556,4.7957797
178,SN2005ge,-10.608839,5.795162,0.4122005,-4.518524,9.711058,2.040104,-0.28863755
179,SN2005hu,-19.001936,3.8944483,-6.726688,0.6788711,-0.26695526,3.7441585,6.6986995
180,SN2005ia,-9.4340315,2.1165113,5.763009,3.4311454,2.0626574,2.7468653,16.475454
181,SN2005ic,-3.7843552,10.795422,1.0567127,-3.9233549,-4.9014444,4.216145,10.60592
182,SN2005ie,-3.1291354,4.8124795,-6.191023,-6.294901,7.7400875,6.9756026,5.5218215
183,SN2005ih,-9.97382,2.0192666,3.4426818,0.83057415,11.427807,0.43368763,7.5457864
184,SN2005jh,-7.1722608,-6.2162504,-0.6462349,1.2872363,10.196765,8.727912,4.624587
185,SN2005jk,-12.213754,0.7180148,-6.171293,-3.6185586,4.361347,3.6824458,0.31174672
186,SN2005jo,-12.342669,-1.6438661,0.645827,-4.24411,7.3348436,6.026735,-2.0006533
187,SN2005jt,2.5601351,8.214763,2.3231747,-2.5119352,0.77983767,-10.443825,12.642601
188,SN2005mh,-8.4950075,3.242676,-4.5099816,-9.166225,8.635862,-0.7324619,6.6863093
189,SN2006fo,-6.3457885,8.347882,0.122957565,-10.616473,-7.389572,-8.635496,0.55594194
190,SN2006gm,-2.0206492,-2.7810898,-8.004991,-6.9709682,8.001056,4.563716,6.7050476
191,SN2006hc,-14.010054,-7.6196756,-1.8007263,5.082343,6.344925,3.405361,8.050506
192,SN2006jo,-10.231856,-1.4270173,5.603038,-11.008546,-2.4264266,2.2170062,1.6190209
193,SN2006jx,1.3914161,-2.5025954,8.372034,-3.5730517,0.15239076,-9.098454,9.66066
194,SN2006no,-16.408655,-5.850241,1.9746016,0.9266877,-1.1657714,2.4722822,-1.879838
195,SN2007ky,-13.085043,2.5500112,-5.8209915,-5.393243,-1.5533881,-7.04031,1.2680405
196,SN2007ny,-5.6288333,10.981766,0.3494629,9.603785,-5.520217,0.71134996,1.9776348
197,SDSS-II SN 10997,-10.534013,-3.3492215,4.638782,9.527057,4.022806,7.617473,10.291384
198,SDSS-II SN 11120,-7.3191657,-2.3253567,2.7132292,0.44671053,6.2632055,11.710552,-0.06247613
199,SDSS-II SN 11532,9.101944,-8.466152,-6.9959993,-19.43911,1.8317605,7.907074,0.69078946
200,SDSS-II SN 12213,0.2199537,4.406784,-4.139429,-9.924676,7.845004,-10.567291,2.7983513
201,SDSS-II SN 1257,1.5097558,3.5590901,2.2250772,7.350995,1.9158813,9.654866,10.744814
202,SDSS-II SN 12879,-3.5481002,2.0106537,5.214225,8.9864235,-9.775659,2.9498494,5.3384895
203,SDSS-II SN 12936,2.9601731,10.077219,-5.4858494,-1.5050231,-0.9833668,2.3783045,7.937812
204,SDSS-II SN 12939,-5.9623837,0.6053035,5.6520424,-0.73779154,3.9370487,7.7583303,8.476221
205,SDSS-II SN 12964,-3.4591298,7.176865,-4.7788587,1.667904,3.1320667,-1.1630992,5.710341
206,SDSS-II SN 13051,-3.981975,8.869318,-1.7980684,-2.2694972,8.842385,3.5063078,2.42168
207,SDSS-II SN 13062,-4.158823,7.562823,-2.679116,5.3921065,-9.780643,3.8299825,-3.910089
208,SDSS-II SN 13076,3.0699825,2.9539542,-3.1511743,-4.5363755,11.01525,-10.695561,3.3980563
209,SDSS-II SN 13096,-6.0386424,4.628107,-1.4568266,-8.978824,2.735372,3.353325,9.133526
210,SDSS-II SN 13168,-7.9889154,1.1618384,-6.3734565,-4.466362,-6.2690935,-3.708739,-6.571544
211,SDSS-II SN 13283,-2.5410306,-1.3403914,2.121144,12.274106,-3.6580842,-4.9105864,6.4979825
212,SDSS-II SN 13291,-4.257021,-1.3790696,2.079511,3.246215,-1.1692084,-4.716779,5.2134204
213,SDSS-II SN 13330,-7.6294723,0.784247,4.172793,4.0222445,1.1356237,-12.468049,1.6780499
214,SDSS-II SN 13344,-9.314077,3.9088132,1.0114951,-7.1599216,-4.331078,0.07404071,9.605686
215,SDSS-II SN 13395,-12.592751,2.0456326,-1.9489746,-3.6916308,-6.3349166,9.300167,5.4915543
216,SDSS-II SN 13404,-11.091747,0.22373845,-3.3480372,1.3334427,2.4136224,2.2162805,-9.487695
217,SDSS-II SN 1342,-8.462783,-3.1993487,5.7878413,-1.8519711,3.1794128,-2.1527283,-11.316804
218,SDSS-II SN 13440,-2.3437583,0.72983485,0.64414954,6.909841,-5.6776147,-5.284208,13.2018795
219,SDSS-II SN 13441,-6.8383245,1.2493153,-6.2365394,-7.466939,2.0746887,-4.483468,8.458291
220,SDSS-II SN 13460,-6.3931904,1.8749584,8.307927,-6.821684,-1.5416212,-1.387658,7.273936
221,SDSS-II SN 13472,-0.24606138,1.3825228,-8.143585,7.2381287,3.0060308,-5.101486,8.673704
222,SDSS-II SN 13487,-3.0562425,7.6055346,-4.2494297,-5.930847,-3.2651122,-2.1726322,8.411832
223,SDSS-II SN 13492,-7.966787,-0.772556,0.0754372,-11.833571,-4.931464,-7.340391,-0.00629705
224,SDSS-II SN 13529,-4.5985007,14.309026,-8.540788,0.279782,1.4983764,2.4880137,7.7594323
225,SDSS-II SN 13554,1.2917722,10.761604,3.1759267,-2.5619164,-1.0057986,3.0687075,8.323428
226,SDSS-II SN 13644,-3.3074186,6.831967,-2.8974736,3.745833,11.2015705,9.89964,2.4792638
227,SDSS-II SN 13646,-5.5799613,2.7939262,-9.443429,-2.3607478,9.868157,4.370303,-2.0464344
228,SDSS-II SN 13675,-8.132743,10.427905,-0.7638552,-4.17172,7.074394,-3.8128097,7.7326884
229,SDSS-II SN 13699,-6.053651,1.8815669,-3.7592635,7.1566954,0.34558776,-8.212096,4.304812
230,SDSS-II SN 13725,0.023089973,12.755923,-0.94819677,4.8212824,-4.4002967,5.828324,2.2464054
231,SDSS-II SN 13803,-3.618885,-2.4402454,0.68397874,9.606902,-5.235869,-9.711549,-2.620027
232,SDSS-II SN 13813,-10.446321,-0.364729,0.8536886,5.8394113,4.6882596,0.7764487,10.133846
233,SDSS-II SN 13833,-6.362798,0.5620819,-10.21079,0.7130778,4.106858,-4.9093213,0.11133359
234,SDSS-II SN 13843,0.8384837,0.7222084,-9.077012,-12.9490795,0.47156084,-3.571584,3.4545705
235,SDSS-II SN 13864,-16.139084,9.275426,0.13500789,0.6483283,-3.848212,-0.34693038,6.929479
236,SDSS-II SN 13931,-5.068302,7.3785725,2.5636415,-1.5416895,-4.820987,-10.231009,0.34848768
237,SDSS-II SN 1395,-5.5306764,-1.9180223,-0.94453776,2.5396755,6.1371613,1.0826831,3.4003382
238,SDSS-II SN 14054,-2.489612,-9.099866,-3.0573688,13.359596,2.3127723,0.10874365,5.168393
239,SDSS-II SN 14081,-1.859297,-6.9459476,-8.833498,4.9633484,-2.4889324,-3.2444296,7.007122
240,SDSS-II SN 14113,-7.5146503,2.7182913,0.4622613,-6.7326703,-9.618201,-6.960722,5.06725
241,SDSS-II SN 14258,0.9352212,8.726366,-0.06428114,1.3003294,-5.6542296,-0.9544518,7.968231
242,SDSS-II SN 14260,-4.8083577,-3.2684093,3.3439543,-9.599238,-0.39440987,2.1569543,12.1106205
243,SDSS-II SN 14311,5.1078553,9.227762,6.9993505,-1.1367993,-0.7500647,-5.370143,8.506051
