,SN,0,1,2,3,4,5
99,SDSS-II SN 4118,2.1296182,0.72121173,-0.49451852,0.15505432,3.5751429,1.7918077
100,SDSS-II SN 5323,0.8785141,1.6078777,0.9807462,-3.2994163,-0.24554427,0.04222971
101,SDSS-II SN 5595,1.7625726,-0.47940236,0.26778308,-2.6202395,0.015493389,-0.5398652
102,SDSS-II SN 5897,-1.2250578,3.6810255,0.14859542,1.5197483,1.0498229,2.7295394
103,SDSS-II SN 6225,-0.0032867948,3.5132031,1.7887678,-2.4720883,0.045319036,0.02514742
104,SDSS-II SN 6288,0.6356478,0.91710746,2.3960278,0.3152846,-0.861601,0.07865744
105,SDSS-II SN 6638,-1.1465551,3.11304,3.130569,-0.83793175,0.64927,-2.2420812
106,SDSS-II SN 7374,1.8641071,1.5571339,1.260903,-1.7784815,0.27050033,0.7681618
107,SDSS-II SN 7978,1.177072,0.20046362,1.0766176,0.9248176,0.76705396,1.6071286
108,SDSS-II SN 8165,0.9925019,3.6273868,1.0975469,-0.8790306,0.1790433,0.9198695
109,SDSS-II SN 8457,-3.2944396,4.394496,4.035596,-0.17253527,-0.2661265,-1.1532965
110,SN2005eg,2.4289494,-1.2306085,-0.25435135,-2.0255938,1.2189934,0.058142867
111,SN2005fe,1.837146,-1.1676947,1.5799342,-0.43941933,0.036982052,0.50381845
112,SN2005ft,2.1178439,-1.9880695,0.74248964,-1.4566729,0.21271095,-0.8418737
113,SN2005fv,2.2072914,-1.9922452,0.19009437,-2.0727575,0.4551455,-1.0643729
114,SN2005fx,2.0963836,-0.11572057,1.0424283,-2.0149026,0.30318794,-0.029206363
115,SN2005gc,0.7587609,-2.2071364,0.7309822,-0.06575453,1.3243057,-3.0600016
116,SN2005gs,2.3140397,-2.412829,-0.5401932,-0.9393682,1.8041278,0.108122535
117,SN2005gt,1.8699874,-1.3227067,-1.2008191,-0.9145975,4.339961,-3.237822
118,SN2005gu,2.0810282,-0.71291214,0.21206243,0.18438978,2.1576753,1.545089
119,SN2005hc,-0.10469108,-0.9973541,2.2419825,1.6799846,1.2577088,-3.3591318
120,SN2005ho,1.2874019,-3.044858,1.5401562,-1.7197974,1.4593387,-0.9481815
121,SN2005hx,-0.225472,-1.9458716,1.2635573,1.3023872,0.61841905,-2.4482467
122,SN2005id,-0.14684507,-1.4350514,1.8105944,1.0372946,0.14124563,-1.8458767
123,SN2005ik,1.9893247,-1.6950123,1.1463124,-0.24870136,0.23780549,0.44970044
124,SN2005jb,-1.8336227,1.3321333,2.88764,0.9397018,0.80913293,-2.745287
125,SN2005jf,2.389268,-2.1887393,-1.3154707,-0.6061217,3.3749201,-0.848276
126,SN2005jl,0.039132725,-2.137721,1.0466413,1.0346246,0.83000225,-2.8377104
127,SN2005jy,1.8924904,-3.5097985,0.33172658,0.6792457,1.7051636,-1.4281635
128,SN2005jz,2.3403857,-1.3527895,-0.53509223,-1.3239731,2.0691543,0.7750788
129,SN2005kn,2.3397083,-2.161982,0.11733283,-0.7450057,1.1692984,0.56023806
130,SN2005li,0.23414737,-1.928066,1.4125609,0.2955197,0.6484439,-2.8393016
131,SN2006fg,-0.25192192,-2.0576441,0.83121496,1.723374,1.111299,-3.95249
132,SN2006fx,0.6236553,0.7775235,2.7845337,-0.5475264,0.02976155,-1.4548885
133,SN2006nu,1.678788,-1.4095916,1.5504472,-0.24615918,-0.13971166,0.007835273
134,SN2006ok,-0.078366674,-2.559216,0.091760054,1.9706795,0.777382,-3.003138
135,SN2006oo,1.0860153,0.014858193,0.05165161,1.7822548,1.5456834,2.01579
136,SN2007ih,0.28565797,-2.7354662,-0.02279019,1.7763414,1.1564996,-2.7979364
137,SN2007mr,2.0029478,-2.6123161,-0.9996659,1.0756598,3.4755476,-0.9046832
138,SN2007mt,-3.3978264,4.313575,4.123514,-0.15773828,-0.31458732,-1.263266
139,SN2007nk,2.1466634,-1.7440206,0.9005156,-1.1328632,0.21689744,-0.18731484
140,SN2007nl,2.424869,-0.76062626,-1.4141296,-1.8460033,3.5366738,-0.7215661
141,SN2007pa,1.3847051,-2.5939293,1.5234137,-0.271809,0.3708054,-1.438721
142,SN2007qn,1.7021208,1.7865608,1.3988822,-1.8026434,0.00012894301,0.77967894
143,SDSS-II SN 13383,-1.6171477,0.23330404,3.3209095,-0.880625,-0.34804538,-4.2224636
144,SDSS-II SN 14268,0.05595359,-1.1166937,2.5184772,-0.16015215,0.070527755,-2.2527444
145,SDSS-II SN 14792,1.6810006,0.69532347,1.1209563,0.2652166,1.0068474,1.8756604
146,SDSS-II SN 15697,-2.1410484,4.357005,3.0510628,-0.18560033,0.70619434,-1.1061417
147,SDSS-II SN 16467,0.65835375,-3.1471071,-0.25506112,1.4779301,1.6530907,-2.439693
148,SDSS-II SN 16468,-2.4541824,3.169481,3.5077548,-0.15213816,0.63560677,-2.534711
149,SDSS-II SN 17814,1.6687559,-1.8398497,-0.34576213,-0.29975203,4.1070642,-4.18432
150,SDSS-II SN 17967,1.8357254,2.9145503,1.3419172,-1.5448158,0.5738802,0.2707626
151,SDSS-II SN 19032,-2.6835542,4.0894346,3.22842,0.16672239,1.1519868,-1.9677519
152,SDSS-II SN 19347,0.40242755,-2.0389557,-0.13746434,-1.806847,2.9877865,0.3691416
153,SDSS-II SN 20278,-1.1237496,3.2966156,2.9050741,1.2987806,0.39033863,-0.25901204
154,SDSS-II SN 7882,-0.8736059,-1.8448553,0.6955145,-1.5068818,1.9012051,0.043549556
155,SN2005hp,-1.1563928,-1.0265251,2.3714967,-0.59092456,1.1818521,-1.7460588
156,SN2006fk,0.41557243,-2.1724951,0.12748566,-1.5385214,2.6808882,0.35291445
157,SN2006gw,1.9433663,2.1302342,0.25716874,-0.65688217,-1.409884,-1.9021806
158,SN2006la,2.3068686,-2.4060175,-0.885745,-1.6809719,1.6560085,-1.3315905
159,SN2006pk,-1.1891912,-1.3638037,1.345889,-1.1527073,1.8510836,0.6134355
160,SN2007ik,0.105031565,0.30218133,2.9263303,-1.1069571,0.91443735,-1.1866018
161,SN2007iz,-1.9709212,-1.2356629,1.80654,-1.350638,1.9718215,0.20118742
162,SN2007jn,-1.0093849,-1.2704376,2.2557323,-0.36222523,1.0197718,-1.8233876
163,SDSS-II SN 10991,0.7439944,3.5937414,2.1953743,-1.2278695,0.52527875,-0.49752593
164,SDSS-II SN 13633,0.6272493,3.2808537,2.605812,0.2289076,0.26066253,-0.117927544
165,SDSS-II SN 14413,-0.60131013,4.196969,0.1463823,0.16093637,0.3537769,2.461195
166,SDSS-II SN 14475,0.38290396,-2.0040936,0.28570732,-0.9832655,3.2540317,1.0729219
167,SDSS-II SN 14531,-1.6879278,4.5497217,2.7799566,0.38976255,0.32592246,0.064703524
168,SDSS-II SN 15184,-1.0707129,3.9705827,0.15255603,0.9910049,0.24994934,2.8910854
169,SDSS-II SN 17851,-2.9960897,3.536809,3.857146,-0.40000176,0.28139797,-2.423651
170,SDSS-II SN 20045,-3.0410383,4.1695313,3.857312,-1.3445092,0.060321327,-2.0914688
171,SDSS-II SN 6333,2.0441754,0.9478988,0.39835557,0.46322948,1.8952401,2.5314386
172,SDSS-II SN 6696,-1.2837862,0.6470854,3.0634487,-0.88143265,1.7305331,-1.6927242
173,SN2005ey,0.97567403,-2.3812585,2.493767,0.2618349,0.09078722,-1.112943
174,SN2005ff,0.04696501,-2.2282817,2.4933333,-0.7135795,0.69379354,-2.1058981
175,SN2005fi,-1.1784751,-1.2978704,2.1620772,-0.68823135,1.1828002,-1.5140831
176,SN2005fu,1.8404542,-0.16459616,1.9217762,-1.5715805,0.3935932,0.90507597
177,SN2005fz,2.8575861,-2.9797993,-0.09704012,-1.2477733,0.3519958,-0.35984027
178,SN2005ge,-1.2553579,-0.346623,2.6775844,-0.5629634,1.3599056,-1.8243537
179,SN2005hu,-0.54204845,-2.2726455,0.21073976,-1.5992177,2.325804,-0.93576443
180,SN2005ia,-0.41560188,-2.0605989,0.4121923,-1.564077,2.2403805,-0.041472323
181,SN2005ic,-1.506738,-0.06978926,2.7709434,-0.5234195,1.6470906,-1.7263455
182,SN2005ie,0.5681401,-2.7682364,0.50264627,-0.97527695,2.3625295,0.07647712
183,SN2005ih,2.2901134,-1.4926293,-0.75346786,-0.8039728,2.9556067,0.7531128
184,SN2005jh,0.96594244,-2.1463578,2.3519797,0.1232686,0.027581228,-1.2292765
185,SN2005jk,-1.5278873,-1.3951446,1.6621931,-1.1392914,1.5467117,-0.44413742
186,SN2005jo,-1.3104879,-1.3868942,1.3598909,-1.2273484,1.8458992,0.478646
187,SN2005jt,-2.467464,2.6070065,3.258014,0.81166303,0.89622253,-2.4642785
188,SN2005mh,0.44027284,-2.015023,0.22501789,-1.1891836,3.0757961,0.9016784
189,SN2006fo,1.2743669,-2.6190503,2.540444,0.016129978,1.0213745,0.8623594
190,SN2006gm,2.918183,-2.8618462,-1.2735507,-1.2969781,2.1484704,-0.3758718
191,SN2006hc,-0.89267373,-1.517247,1.1008712,-1.1728631,1.9535677,0.6115241
192,SN2006jo,-1.2282029,0.28697303,2.9455297,-0.75051636,1.5772374,-1.7456796
193,SN2006jx,-1.233312,-1.097271,1.5576428,-0.8608434,1.7048522,1.0203583
194,SN2006no,-0.7314445,-1.0126125,1.5440706,-0.473799,1.6623394,1.2733349
195,SN2007ky,-0.30321747,-1.7788715,0.6786023,-1.1047487,2.8292103,1.0701051
196,SN2007ny,0.436847,3.512684,2.797793,-0.83316094,0.8775951,-2.1099696
197,SDSS-II SN 10997,1.4030728,-0.1473273,2.0771115,-0.7054879,-0.46459886,-0.50464773
198,SDSS-II SN 11120,0.8762042,-2.2782142,2.1449542,-0.080275565,0.21467279,-1.6414794
199,SDSS-II SN 11532,1.4298753,-2.057673,2.115027,0.23682226,0.59708107,0.72959495
200,SDSS-II SN 12213,-0.9288647,4.4942536,2.2620258,-0.81452835,0.34618932,0.09218384
201,SDSS-II SN 1257,0.47344372,3.7291505,2.6147892,-0.54939145,0.59953886,-0.75629073
202,SDSS-II SN 12879,0.47639263,1.863898,2.7127635,-1.415064,0.27004588,-1.931762
203,SDSS-II SN 12936,2.1628938,-2.833162,-0.85654765,-0.19639686,2.5472643,-1.1364172
204,SDSS-II SN 12939,2.216509,-2.3779037,-0.38683224,-2.469166,1.3955896,-1.1633453
205,SDSS-II SN 12964,-1.5084522,0.23972984,3.242044,-0.8069649,-0.25151393,-4.09576
206,SDSS-II SN 13051,1.1823759,-1.5080717,-0.24773559,-1.6264546,2.9852726,0.9343974
207,SDSS-II SN 13062,-0.15833493,1.8762181,2.9995015,-1.1422621,0.3943177,-2.4796016
208,SDSS-II SN 13076,2.4252286,-0.55000174,-1.4517037,-0.30923918,4.896012,-0.05763912
209,SDSS-II SN 13096,2.3512714,-1.7567828,-1.5182984,-0.80382013,3.9235365,-1.3173103
210,SDSS-II SN 13168,-1.2287085,3.6384416,0.16303721,1.558105,0.6424766,2.746843
211,SDSS-II SN 13283,2.2024868,-0.32092997,-0.21893367,-0.31884545,2.8376734,1.5735321
212,SDSS-II SN 13291,2.291497,-1.2697296,-1.7199713,-0.84106106,4.803309,-2.013125
213,SDSS-II SN 13330,-1.4385567,2.5022085,3.3542256,-0.82219696,0.46318156,-2.7987573
214,SDSS-II SN 13344,1.4885614,-2.919402,-0.54072165,0.43510428,2.264426,-2.4465423
215,SDSS-II SN 13395,1.6106547,-1.6831348,-0.6093449,-0.7861715,3.6005898,-3.7208157
216,SDSS-II SN 13404,-0.42135125,3.4381647,0.5133966,0.948163,0.34597924,2.539947
217,SDSS-II SN 1342,-3.0941129,4.9056764,3.705299,0.59625643,-0.26906127,0.0072187902
218,SDSS-II SN 13440,-0.9511109,1.4504517,3.2356894,-1.0598276,0.20765008,-3.2738276
219,SDSS-II SN 13441,0.72125137,0.82217205,2.720256,-0.59118104,-0.014773745,-1.3308893
220,SDSS-II SN 13460,2.302598,-2.1986105,-1.5916013,-0.59891564,3.837256,-1.6246526
221,SDSS-II SN 13472,-1.1541739,4.4266562,2.5049403,0.27542496,0.36898977,0.21218343
222,SDSS-II SN 13487,-1.7923456,1.068248,2.984551,0.57045424,0.6833981,-2.9882197
223,SDSS-II SN 13492,2.2547832,-1.1192677,-1.5549132,-0.5401196,4.9166527,-1.8044603
224,SDSS-II SN 13529,1.8532114,0.41158515,1.4291543,-2.012113,0.11597185,-0.2450168
225,SDSS-II SN 13554,0.6108014,2.4538267,2.591207,0.64262605,-0.101030715,-0.0009739869
226,SDSS-II SN 13644,0.61233294,-1.6542398,2.8655314,-0.17290442,-0.13215674,-1.8969791
227,SDSS-II SN 13646,0.4693998,-1.4958363,1.8026116,0.8065306,-0.15761498,-1.0269881
228,SDSS-II SN 13675,2.3712559,-1.0034087,-1.0872318,-1.1367087,3.5722923,0.37150884
229,SDSS-II SN 13699,1.52128,1.6235936,0.19888113,0.56469846,1.6281089,2.3948717
230,SDSS-II SN 13725,0.8299309,2.7868962,2.8062906,-0.5183758,0.37842286,-1.0148169
231,SDSS-II SN 13803,2.1443326,0.8368702,-0.64299715,0.31964177,3.9033487,1.7675276
232,SDSS-II SN 13813,1.6966909,3.0205815,1.4398348,-1.4704307,0.5563335,0.0049896543
233,SDSS-II SN 13833,-3.4895582,4.305731,4.2590656,-0.7436651,-0.46475103,-1.5413747
234,SDSS-II SN 13843,0.75874054,3.6168966,1.7968248,-0.44295663,0.16811913,0.5896979
235,SDSS-II SN 13864,1.0582867,1.237751,2.440132,-1.0752661,0.037278943,-1.2465197
236,SDSS-II SN 13931,-2.3479433,2.877272,3.5790417,-0.32360095,0.49450663,-2.752365
237,SDSS-II SN 1395,1.7218328,-1.8230368,1.5287939,0.22457094,0.33598676,0.49148172
238,SDSS-II SN 14054,1.6187172,-2.1036239,0.6773281,1.1618866,1.4506788,0.31889138
