,SN,0,1,2,3,4,5,6,7,8
113,SN2005fv,-4.059242,0.34090889,-0.5253279,7.1573153,3.5130258,6.0225835,6.406734,6.8799663,2.1020534
114,SN2005fx,-3.7909918,5.7079506,-1.2618867,1.340066,0.6619287,6.80836,5.0926204,5.0645185,-2.596078
115,SN2005gc,-7.8907833,0.982247,-1.1405933,2.3387942,9.26852,1.6004171,1.5019442,9.314441,3.7062857
116,SN2005gs,-3.9648812,2.2733996,0.3916472,2.954257,-2.6557484,-1.216385,4.436159,12.842188,-2.760977
117,SN2005gt,-5.837371,2.7401862,0.17713691,1.2008982,8.611395,-5.732502,1.7002501,6.7943926,-4.2539268
118,SN2005gu,0.33880183,2.0880864,-0.25222796,5.925494,1.5230424,-1.503932,0.93745977,4.3493443,-9.65007
119,SN2005hc,-0.07395863,-4.311977,-1.0079491,8.148066,2.8727334,4.148943,5.846094,2.7701724,10.645959
120,SN2005ho,-4.229588,-1.6280338,0.9062846,8.482476,4.310463,8.020373,2.3223627,1.4376593,6.1352367
121,SN2005hx,-5.4215593,-9.667717,0.027096402,6.357604,5.490367,2.359566,0.61482245,4.283229,4.1619506
122,SN2005id,-4.43957,-4.8345037,-0.79241973,5.076254,7.160025,6.806344,2.241865,7.3978033,6.358732
123,SN2005ik,-1.8158935,-1.6284842,6.424376,2.134382,4.408207,-1.9169482,-1.3848741,10.373488,-1.1867837
124,SN2005jb,-2.8678339,3.070865,0.2699838,0.048737533,-0.18455939,-4.675281,-0.1275946,1.7796338,-5.478399
125,SN2005jf,-0.1408648,-0.2851386,6.2422953,-0.25383067,2.0766604,-5.2366834,-8.143447,3.694823,-2.2867043
126,SN2005jl,-3.1775343,1.3235637,-0.22162293,2.8378718,6.7807345,2.9084451,1.2205508,11.597056,7.3650646
127,SN2005jy,-4.6849055,5.908002,2.183657,1.3257632,-0.5044675,0.6694813,3.8894906,5.2816825,-2.164926
128,SN2005jz,-9.169823,8.089903,1.0977583,-1.4340084,1.6926975,3.217383,2.2514834,5.866293,-1.43206
129,SN2005kn,-2.796827,4.4794993,4.2759743,-5.2620296,4.034522,3.674292,3.1964061,6.0250664,-1.5499138
130,SN2005li,-2.7241,7.577937,0.0359085,2.2247605,5.490173,4.3230133,1.0782192,5.534539,-5.851501
131,SN2006fg,-0.18765883,2.5025284,0.40641615,1.0290928,0.85269874,12.07637,0.14895135,5.7353597,-3.8228486
132,SN2006fx,-1.6397122,-3.540714,0.78347963,-0.9317171,1.910774,3.6589925,-4.5673647,6.316538,-7.1507254
133,SN2006nu,-2.6873348,3.4402916,0.44737104,2.557238,4.7021484,8.390998,4.8145313,9.57157,2.8342788
134,SN2006ok,-8.004969,-3.6566176,-0.84236276,7.419672,6.7631526,0.8169802,3.996988,1.0001535,-2.5300891
135,SN2006oo,3.7473714,0.27437693,0.77305543,-5.024295,0.7427191,7.9562187,-3.8521607,-0.24080719,-1.3427271
136,SN2007ih,-1.0308466,-0.17469977,3.9330182,4.410441,7.0970254,0.73413503,1.7213918,-1.678267,-8.393247
137,SN2007mr,-4.3037615,0.18367028,0.44770965,-2.0677063,-6.698246,-10.694265,0.5572377,4.8786283,-1.289864
138,SN2007mt,1.5683011,0.70040274,1.5601077,-5.2074275,-2.0689387,2.3421104,-8.645069,3.9209611,-2.2912838
139,SN2007nk,-5.5862775,-6.016305,0.43867433,1.6102709,2.8736627,6.229092,4.5909753,4.9092283,-0.4212415
140,SN2007nl,-1.5743822,-2.0371933,0.51334244,1.552678,9.6661215,-2.9466887,-0.5258231,0.71786165,3.4606524
141,SN2007pa,-9.305459,-2.5499382,-0.52252704,8.319214,-0.56316644,0.80880374,1.4393817,8.744394,-0.35481265
142,SN2007qn,-3.2705815,2.50955,-2.0979335,-1.8358375,-3.8159513,-0.9364035,-4.6487665,6.5167694,-0.7676961
143,SDSS-II SN 13383,-9.226398,3.1724918,3.4622638,1.5265869,7.783631,4.4380035,2.11291,-0.20561667,-2.5608525
144,SDSS-II SN 14268,-5.858452,1.3272903,0.5596384,0.9003614,7.0408573,5.3961062,-5.861909,3.6497333,-2.2352133
145,SDSS-II SN 14792,-1.5926362,0.8583311,1.0444632,-9.841237,1.9108099,-6.3693905,-4.7653174,4.200012,-9.450533
146,SDSS-II SN 15697,0.20039763,5.6026664,-1.165743,-4.6779637,-7.292411,0.40570587,-8.636242,2.5611517,-4.2501707
147,SDSS-II SN 16467,-3.6160185,2.2758424,-0.79118794,-3.9544504,6.252508,4.794011,3.6620708,-0.30586162,-8.473498
148,SDSS-II SN 16468,-0.8784272,1.5471616,-1.9026132,-0.91664517,-7.855029,-0.8506623,-3.9644878,2.2277017,-11.679094
149,SDSS-II SN 17814,1.2707717,-0.6957325,-0.19560237,2.6196246,5.572859,0.032169487,-6.1066995,-2.2784886,-7.282193
150,SDSS-II SN 17967,-2.7587118,1.8172919,-3.619333,-0.7188437,12.151249,-0.93165845,0.8051695,0.77464193,-7.6988907
151,SDSS-II SN 19032,-0.63378847,-1.4835504,-0.65743333,-5.8729935,-7.824995,-0.5063249,-7.5651474,6.8352575,-6.7326627
152,SDSS-II SN 19347,-3.7051992,2.6268382,-1.1586457,3.9838817,4.3517685,1.014112,4.7612762,12.366712,-7.3252077
153,SDSS-II SN 20278,-4.5214443,4.6749682,0.9729027,-0.0112545295,5.534218,-4.0617795,-5.834627,3.7960162,-2.5070746
154,SDSS-II SN 7882,-2.1345775,2.2193155,4.2391276,-1.9944036,5.1446915,-2.8356113,5.8166933,8.922445,-0.9236819
155,SN2005hp,-4.109509,1.1546998,1.981848,4.099336,2.6692936,-3.531646,5.2231483,9.446699,3.7597282
156,SN2006fk,2.0448897,8.430491,-0.8808436,-0.5824287,9.885091,1.94183,-0.53084666,4.4554276,-1.6563658
157,SN2006gw,-0.7446021,1.2911309,-5.1482177,-7.482493,3.2031426,3.8026595,4.595369,3.326562,-1.7943261
158,SN2006la,-1.9208,-2.6823525,0.026969193,3.9577844,11.647189,0.20009759,4.290569,8.422513,0.96513313
159,SN2006pk,-0.2952863,-1.5915347,-4.3581247,6.714282,4.417745,3.7700891,8.315639,1.7286403,-3.1644545
160,SN2007ik,-0.17931518,0.24102986,-2.611396,10.8599205,9.65921,5.138563,1.7179526,5.7071786,0.2895432
161,SN2007iz,1.9024662,1.2346647,-2.0654922,-7.5535045,0.7798599,-2.07544,5.701965,7.8911996,-1.7297091
162,SN2007jn,-5.875107,1.2363324,-5.077371,-5.8266654,0.76071495,0.8884289,-0.111571535,3.3046935,-10.356581
163,SDSS-II SN 10991,-3.8878958,-2.8654149,-0.5159183,-8.213379,1.148801,-3.3062515,-0.5793297,2.110058,-10.656244
164,SDSS-II SN 13633,-7.616498,-1.3164861,0.7019378,-0.31183544,2.2511787,-6.16863,-3.9047875,4.047518,-2.334794
165,SDSS-II SN 14413,3.5739667,3.657823,2.4738977,11.006937,4.9320784,1.3085787,1.132021,-0.29242116,-3.9238112
166,SDSS-II SN 14475,0.3573994,-0.4093401,4.1193604,-4.5868583,-1.2239884,-1.4928848,-1.162063,5.668427,-13.833504
167,SDSS-II SN 14531,-2.3664408,7.3824043,1.5339112,-0.27296263,3.4869933,-7.715674,-0.9714841,7.73254,-2.1712
168,SDSS-II SN 15184,-0.9786139,-0.15605114,-2.8324633,3.45334,-1.5277324,-1.8050182,-3.7640686,2.3567321,1.1735793
169,SDSS-II SN 17851,1.4810901,0.392522,0.74089885,-3.161324,-6.828328,-1.6736025,-1.6587738,11.261222,-3.737157
170,SDSS-II SN 20045,-1.8863356,1.573312,1.5363858,-7.596085,-5.045858,2.1556728,-3.0430372,2.5857775,-8.747213
171,SDSS-II SN 6333,-0.64159197,7.0674095,1.5816765,-13.438617,-1.337554,2.3639672,-2.160179,5.640229,-7.2153063
172,SDSS-II SN 6696,-8.813452,3.117524,2.6847858,-3.8795934,0.7213508,0.099875145,1.0469666,8.887032,-7.7164364
173,SN2005ey,-4.791001,1.1599709,-0.20837586,9.226385,8.108145,1.6548396,1.3854654,0.29916766,8.315473
174,SN2005ff,-2.5974383,-3.6632502,2.9174266,8.256831,10.358775,-0.8847319,-0.66467166,3.7001646,0.89418435
175,SN2005fi,-2.5335038,-4.942762,0.19897172,-0.25637594,5.006138,2.5920317,2.2377048,12.734492,2.797805
176,SN2005fu,-1.4775287,-0.84014046,4.245392,9.107937,5.4911957,5.01199,5.6403804,-0.9690744,-0.11007751
177,SN2005fz,-3.7336202,2.5542645,0.19334285,7.0319,1.4174966,-0.74163806,9.470464,5.568823,-1.6666491
178,SN2005ge,-9.83905,1.1592767,1.2342199,1.92312,-0.12562823,4.6517816,5.24351,3.0899317,1.3211856
179,SN2005hu,-7.882297,1.0176283,0.6535077,1.0922757,5.659426,4.5871816,1.383558,12.794736,-6.6925483
