,SN,0,1,2,3,4,5,6,7
123,SN2005ik,0.17192611,-1.2628381,0.5299343,1.6753826,0.5757776,-0.8930198,-1.1289619,-0.54103595
124,SN2005jb,-0.8349249,2.0133305,1.5764587,1.6265575,-1.7015641,0.25898686,2.4929013,0.028058873
125,SN2005jf,1.7402865,-1.92127,-1.3771597,1.8859996,-0.1666174,1.9012935,-0.8743052,-1.744187
126,SN2005jl,-0.19649318,0.90116787,0.62564886,2.4189842,-1.6666397,1.1600409,-0.78012097,0.020573094
127,SN2005jy,0.41645372,-1.22166,0.09395827,2.943855,-1.2017125,1.1279194,-1.8313432,-0.93008
128,SN2005jz,1.0742571,-2.090866,-0.9167559,0.9718363,1.1114254,0.37719765,-0.7647323,-1.4218125
129,SN2005kn,0.5845433,-1.9076785,-0.24768625,1.5775309,0.72740054,-0.048907824,-1.4700212,-0.984989
130,SN2005li,-0.1435371,0.97445947,0.8345657,2.479969,-0.83862257,1.1608884,-0.6534429,0.17711034
131,SN2006fg,-0.10426704,1.2567794,0.57952166,2.8223102,-2.6297846,1.7802756,-0.24496317,0.03650635
132,SN2006fx,-0.13681482,1.2817725,1.3419943,1.6569167,0.79078215,-0.82806087,1.3691294,-0.14148405
133,SN2006nu,0.08408232,-0.7242693,0.91312605,1.7796345,0.5572962,-0.9446225,-0.826767,-0.25253665
134,SN2006ok,-0.18999104,0.7664508,0.0088925,2.0798047,-2.7266905,1.5105828,-1.0185642,0.067440614
135,SN2006oo,0.19629458,-1.675445,-0.8133897,-0.014230303,-1.4134856,-1.5817792,0.10403036,-1.234544
136,SN2007ih,0.008910285,0.3656004,-0.08897764,2.2299538,-2.5493374,1.5549092,-1.216717,-0.19430175
137,SN2007mr,1.2442821,-1.7388903,-1.2730528,2.1004398,-1.762843,1.476335,-1.0285449,-1.919081
138,SN2007mt,-1.120815,1.0683722,2.2895186,-0.8693588,-1.4532034,1.2069857,4.853039,0.7482844
139,SN2007nk,0.44062173,-1.192195,0.6128754,1.9031976,1.1667961,-0.10026702,-1.0151995,-0.28476757
140,SN2007nl,2.162602,-1.7108973,-1.5116835,1.1733865,1.0498528,1.8926692,0.23707971,-1.6694151
141,SN2007pa,-0.18492156,-0.33540216,1.0064006,2.7083747,0.027297033,0.4485638,-1.3438523,-0.21766776
142,SN2007qn,0.73755455,-0.79375505,0.8231825,0.0007650219,2.008447,-0.96710175,1.5418425,-0.22269894
143,SDSS-II SN 13383,-0.44062737,1.9935274,1.9753494,2.369309,-0.36961743,2.2181258,1.8240428,0.99263954
144,SDSS-II SN 14268,-0.5588033,1.3524383,1.3773057,2.3064814,-0.028006071,0.2609989,-0.062747374,0.20831098
145,SDSS-II SN 14792,0.21056731,-1.6033915,0.021213897,0.09959722,0.35784635,-2.014077,0.69472724,-1.1807235
146,SDSS-II SN 15697,-0.47395208,1.1397277,1.500261,-0.4678654,-0.76592886,0.11229894,4.8904395,0.021399444
147,SDSS-II SN 16467,0.18559568,-0.3760807,-0.272246,2.3274033,-2.3297849,1.6945801,-1.3627007,-0.45468637
148,SDSS-II SN 16468,-0.68204117,1.8903215,1.8370209,0.77459425,-1.080802,0.84969527,4.3092465,0.2242667
149,SDSS-II SN 17814,1.5820906,0.79893315,-0.790793,2.741987,-1.0029409,3.0992997,0.35295364,-1.8236847
150,SDSS-II SN 17967,0.25287047,-0.5162053,0.30257234,-0.086648665,2.3117754,-1.2622966,2.5475583,-0.34309998
151,SDSS-II SN 19032,-0.6005014,1.7640938,1.6021495,0.14929993,-1.3711374,0.36738062,5.109108,-0.1063016
152,SDSS-II SN 19347,0.1263514,-0.91120666,-0.77020407,0.86644316,0.83712655,1.4728445,-0.7077417,-2.6503322
153,SDSS-II SN 20278,-0.63683057,0.95289207,1.3799813,-0.35351908,-1.2752458,-1.3205302,3.3753052,-0.24318093
154,SDSS-II SN 7882,-0.5138027,0.37683722,-0.08980923,0.6748997,0.41702712,1.1260134,-0.5216276,-2.163859
155,SN2005hp,-1.0311005,1.7640761,1.0513405,1.6960065,-0.26064044,0.76718724,0.31898782,-1.0691838
156,SN2006fk,-0.04841881,-0.8747125,-0.54130054,1.0097744,0.64877015,1.2397352,-0.82463443,-2.4654782
157,SN2006gw,1.1870489,1.1592655,-0.65319526,0.76434404,1.2398413,-1.0167115,1.6501406,1.5145023
158,SN2006la,1.2656639,-1.3767709,-0.48414072,2.0528743,0.9469041,2.0171998,-1.3363276,-0.65292484
159,SN2006pk,-0.92616415,0.46199244,0.18860875,0.36469823,0.1896813,0.41401806,-0.10287395,-2.4049497
160,SN2007ik,-0.48455265,1.59595,1.1848261,1.6901026,0.9697016,-0.30506992,1.1676503,-1.0146712
161,SN2007iz,-1.2315367,1.168229,0.4230816,0.24936983,0.020026593,0.7893265,0.27775547,-2.5805957
162,SN2007jn,-0.99174774,1.6558657,1.0423018,1.7856666,-0.4174849,0.7186863,0.021659639,-0.86073697
163,SDSS-II SN 10991,0.100187734,0.39232147,0.85228753,-0.030735277,1.5913178,-0.9442256,3.5103452,-0.2012712
164,SDSS-II SN 13633,-0.071004085,0.6215072,1.0866145,-0.10610365,0.48661014,-1.9199357,3.1312673,-0.38145444
165,SDSS-II SN 14413,-0.005271446,-1.2438843,-0.12892334,-2.5637643,-0.33638325,-0.74959004,3.059159,-0.026863793
166,SDSS-II SN 14475,-0.1982521,-1.3203865,-0.69638884,0.77036583,0.210902,0.75900644,-0.6050057,-3.0904124
167,SDSS-II SN 14531,-0.6512677,0.51511705,1.3144667,-1.2757382,-0.84057254,-0.75510865,4.410214,0.03159769
168,SDSS-II SN 15184,-0.39775705,-1.4632245,0.05499261,-2.7620847,-1.1613084,-0.90027094,2.7472126,-0.070569575
169,SDSS-II SN 17851,-0.78497475,1.7485888,2.090783,0.37286428,-1.180017,1.3275784,4.6665244,0.48482367
170,SDSS-II SN 20045,-0.47503468,1.3977302,2.0588448,-0.112603545,-0.57517445,1.6545508,5.207498,0.58803535
171,SDSS-II SN 6333,0.6165864,-2.5079432,-0.63591015,-0.3236281,0.033370215,-1.902152,0.88343877,-1.52949
172,SDSS-II SN 6696,-0.9724296,2.2083778,1.2623091,1.5085688,0.040660996,0.41086954,2.011732,-1.3644916
173,SN2005ey,-0.8422193,0.11486492,1.3741574,2.7133176,-0.16020584,-0.37374526,-1.1772159,-0.3085129
174,SN2005ff,-0.9917632,1.0776085,1.2822266,2.6054268,0.21551304,0.8744033,-0.7649508,-0.54005545
175,SN2005fi,-1.0483605,1.6128234,0.9194235,1.5520488,-0.19446872,0.8246459,0.03136847,-1.1990662
176,SN2005fu,-0.019546306,-1.1785535,0.9388693,1.1885724,1.9046694,-1.0649266,0.37398654,-0.8337434
177,SN2005fz,0.8400425,-1.883942,0.22782451,2.234245,1.1264207,0.64510965,-2.2191122,-0.17289452
178,SN2005ge,-1.0063807,1.9798503,1.1740066,1.6790754,-0.2843645,0.60791063,1.0065242,-1.1173314
179,SN2005hu,0.13106094,0.2986186,-0.3448972,1.3895117,0.02766892,2.0272844,-0.6106699,-1.9053292
180,SN2005ia,-0.26514202,-0.030023491,-0.28199208,0.9066214,0.4492389,1.3546307,-0.6578441,-2.2370632
181,SN2005ic,-1.1001335,2.114043,1.1690428,1.5543939,-0.41819516,0.57509106,1.3391259,-1.3571026
182,SN2005ie,-0.33880886,-0.93791884,-0.16373415,1.5288608,0.1798952,1.0776306,-1.2467345,-2.2275648
183,SN2005ih,1.2300612,-2.3132336,-1.2624933,1.0930986,0.45929947,0.5991999,-0.6435246,-2.008477
184,SN2005jh,-0.66245466,0.18543756,1.3394268,2.6058693,-0.054645017,-0.2930896,-1.0244404,-0.16956276
185,SN2005jk,-1.0747813,1.2349864,0.49157304,0.7889647,0.043656234,0.8436995,-0.048949305,-1.9515431
186,SN2005jo,-0.94575185,0.5997627,0.2076502,0.3696362,0.19593097,0.54572093,-0.086531624,-2.3952303
187,SN2005jt,-0.90775794,2.0155325,1.7000827,0.95420957,-1.818926,0.32984313,3.727119,-0.0063028056
188,SN2005mh,-0.13729449,-1.2255106,-0.6588778,0.8162605,0.40645185,0.8769234,-0.66120946,-2.8941445
189,SN2006fo,-1.161244,-1.1712933,0.9276947,2.2131498,0.16951506,-0.8517093,-1.1366774,-1.7609566
190,SN2006gm,1.4688087,-2.4353302,-0.9341546,2.0401902,0.7489905,1.6060236,-1.7667651,-1.124304
191,SN2006hc,-0.7696116,0.19871505,0.05151995,0.4857402,0.25020042,0.51031387,-0.27051216,-2.3930101
192,SN2006jo,-0.9702321,2.1308835,1.2434574,1.6018881,-0.06577862,0.44338113,1.6351086,-1.2565296
193,SN2006jx,-1.0233406,0.3875929,0.26326096,0.10991308,0.028569212,-0.06728201,0.03430776,-2.40163
194,SN2006no,-0.9068389,-0.054141294,0.23293619,0.22461317,-0.118931696,-0.47791013,-0.017405862,-2.2803805
195,SN2007ky,-0.54520243,-0.6738916,-0.3937542,0.4988618,0.23104945,0.6214369,-0.41475698,-2.9980733
196,SN2007ny,-0.059787754,1.5745652,0.9876528,1.101604,1.1447074,-0.725345,4.0386887,-0.13375646
197,SDSS-II SN 10997,0.13027105,0.11438013,1.226028,1.5904907,1.1084048,-1.1163054,0.2523099,-0.0012620152
198,SDSS-II SN 11120,-0.57005894,0.3121729,1.2470756,2.6797605,-0.063797556,0.2181829,-1.053084,-0.13075866
199,SDSS-II SN 11532,-0.70399004,-1.1069808,0.8630258,1.9170438,0.060977966,-1.1289836,-1.0047977,-1.199217
200,SDSS-II SN 12213,-0.09557065,0.18867163,0.9658339,-1.1330107,0.3691793,-0.42547938,4.2459764,0.06077349
201,SDSS-II SN 1257,-0.06958769,0.8085903,1.0201441,0.11216483,0.99694455,-1.2464869,3.7959356,-0.28927237
202,SDSS-II SN 12879,0.093424834,1.1654595,1.2874805,1.4610313,1.338381,-0.15464865,2.456746,0.06787509
203,SDSS-II SN 12936,1.1854589,-1.6325889,-0.8314129,2.2417843,-0.5079036,1.7375815,-1.4386115,-1.2959577
204,SDSS-II SN 12939,0.8936275,-1.3434386,-0.14582233,2.1378121,1.7282933,1.9574656,-1.2015914,-0.7353247
205,SDSS-II SN 12964,-0.44080448,1.9872253,1.9083325,2.366989,-0.3641807,2.036793,1.7732166,0.9043412
206,SDSS-II SN 13051,0.4676075,-1.6090537,-0.9390159,0.6939737,1.02346,0.8529739,-0.47117418,-2.5169005
207,SDSS-II SN 13062,-0.10457024,1.5879136,1.4709448,1.6548237,0.7915632,0.20783943,2.749319,0.13652731
208,SDSS-II SN 13076,2.2625751,-2.1602726,-2.115167,1.0872911,-0.41498893,1.4184034,0.66827506,-2.8193624
209,SDSS-II SN 13096,2.0908809,-1.6392895,-1.606507,1.8351172,-0.13189396,2.3308463,-0.356728,-1.9138256
210,SDSS-II SN 13168,-0.6950921,-1.2165003,-0.15842138,-2.6015038,-1.6357461,-0.9677677,2.5602803,-0.40842366
211,SDSS-II SN 13283,1.0326875,-2.403738,-1.0770122,0.5837963,0.3507878,-0.49505815,0.26037744,-2.1009276
