,SN,0,1,2,3,4,5,6
79,SDSS-II SN 17845,-10.983902,-2.6258538,0.9649239,8.283339,-2.335596,2.0970619,-3.6920457
80,SDSS-II SN 18032,-10.658418,4.7898474,-3.4309173,0.21340881,-4.5707817,1.3146989,-6.7259517
81,SDSS-II SN 18048,-0.66112787,6.4048696,10.119534,3.1085074,-1.5946398,-1.8560661,-10.228852
82,SDSS-II SN 18165,-9.200748,-3.7515023,-4.4263105,-1.9360487,-2.281547,-0.62223864,-0.04691708
83,SDSS-II SN 18311,-3.5940473,-0.7484858,-5.1446905,3.8782935,-5.855796,3.0955143,8.172298
84,SDSS-II SN 18339,-7.7611947,-3.323841,1.4726237,-0.12359783,-1.6077855,-7.36706,0.76161945
85,SDSS-II SN 18365,-5.610594,-1.7869645,-3.8121169,0.42159447,-2.5828087,1.5393071,-5.891555
86,SDSS-II SN 18601,-2.2784595,-0.5221242,-6.0833554,-6.102736,-11.851209,-0.46185333,-8.072528
87,SDSS-II SN 18688,7.1265717,-0.46435738,-6.415646,-8.451421,-12.23864,-6.7709446,-5.2307463
88,SDSS-II SN 19045,-7.225294,3.5317469,-7.030316,-1.3657547,-2.5857542,-3.724581,-1.6500262
89,SDSS-II SN 19175,-4.08587,-11.893876,3.2825973,3.5138094,0.040545747,-6.5259113,0.7687124
90,SDSS-II SN 19181,2.6406755,4.277464,-10.696997,3.8869097,1.5566282,-4.6655498,-2.4459825
91,SDSS-II SN 19336,6.6441917,4.3127537,7.078042,-3.0860784,-1.2575116,-8.236092,11.061971
92,SDSS-II SN 19731,0.89959234,3.7870321,-1.7390602,-10.684786,-9.457366,1.9252841,4.711889
93,SDSS-II SN 20128,1.4944216,12.536142,5.3675714,3.3741913,-10.758951,-2.7510488,-0.38535848
94,SDSS-II SN 20695,-1.1244545,-7.520678,-3.4274383,0.35439438,9.622355,-6.013939,-5.0346284
95,SDSS-II SN 21065,3.7290921,1.3278954,10.988827,-3.904253,-0.29157558,-6.5169635,4.1411223
96,SDSS-II SN 21307,-8.450751,-6.974372,-0.26019987,2.8678885,2.9363408,-2.4318638,-10.442419
97,SDSS-II SN 21663,-3.5006394,-2.5895386,7.909046,-3.6966023,-8.073002,-5.9958854,4.030354
98,SDSS-II SN 3832,-6.565885,0.102180585,-6.3008323,-9.728006,-7.4155774,2.84464,-0.7185065
99,SDSS-II SN 4118,-4.9762654,-0.46425232,3.1945632,1.715752,-0.4672524,-11.4144335,-11.382276
100,SDSS-II SN 5323,-13.260571,0.17249398,-1.6062337,0.71979797,3.5256598,-0.2137331,4.23095
101,SDSS-II SN 5595,-9.2552185,2.5037417,-6.049404,2.1819952,3.3715525,-1.8998319,6.92944
102,SDSS-II SN 5897,-0.6336816,-1.5961347,-6.6679535,6.308096,4.5202417,-3.3786998,-9.242367
103,SDSS-II SN 6225,-5.248742,4.6529903,0.83176106,-7.843291,4.7119064,-7.8387575,4.570724
