,SN,0,1,2,3,4,5,6,7,8
111,SN2005fe,5.7120695,5.1599464,-2.8918009,1.4162202,-1.8497101,3.0375564,1.6450503,-2.8001559,5.203858
112,SN2005ft,14.177066,1.0105405,-4.1179533,-2.565264,-0.029150965,2.9021456,-3.5654533,0.18802808,2.1495779
113,SN2005fv,6.670228,1.6473584,-0.40694463,5.6746063,0.38679054,10.161977,-1.0762905,0.5349193,7.438648
114,SN2005fx,2.4600744,3.6793897,-3.4688356,5.738294,-0.8242113,1.5597154,-4.6385965,0.29947966,7.962716
115,SN2005gc,9.896113,0.622108,4.3192954,1.7434801,-2.0688357,5.7803006,1.4609923,5.022124,8.241405
116,SN2005gs,2.883705,14.6261015,-0.51483685,0.45429984,0.022263274,4.25453,0.6234869,2.547886,6.341734
117,SN2005gt,5.150577,5.309903,-3.2936418,-3.1607294,-7.8983006,0.35651708,-0.16388872,0.6180013,7.1733003
118,SN2005gu,-0.4650954,11.852149,-2.229619,-2.8892262,2.0594752,-2.0707264,2.763966,1.1342349,4.4819303
119,SN2005hc,6.819774,-9.170646,7.7546854,3.4466064,3.2150595,6.7623434,1.1000087,0.50567377,2.2104719
120,SN2005ho,9.615262,-3.3383818,7.487263,2.6632402,2.8313022,1.1358837,5.303475,-1.0937827,7.394295
121,SN2005hx,9.909965,-3.462256,0.43873125,1.2494243,0.007179154,4.6681004,6.65955,-0.5316714,8.634632
122,SN2005id,8.379751,-2.1660657,4.9529486,1.2851138,1.6752625,8.675577,0.9338446,-3.8424861,5.8938675
123,SN2005ik,3.7649403,6.007433,0.13542694,-0.37605602,-2.8166444,7.869133,1.2271336,7.110632,5.502455
124,SN2005jb,-1.2809122,7.1768975,-0.048503906,3.0438251,1.4659188,-2.5821064,-2.3257391,-0.17679118,1.6932446
125,SN2005jf,5.0947638,4.8983088,-0.021093093,4.8887906,-4.1670184,-6.239608,-0.1325952,-0.6054979,-0.90648836
126,SN2005jl,12.710266,-1.4573096,0.33767462,0.41701356,0.6578894,8.442135,0.95195794,3.0569265,9.374191
127,SN2005jy,1.8100183,4.9559274,0.100101374,3.1266952,-0.037708458,-1.1237032,0.048333615,0.6723072,8.3727865
128,SN2005jz,2.7819684,3.8256412,-4.448353,-1.6717114,-0.4216017,-1.4617639,-0.8324824,0.06756056,10.066612
129,SN2005kn,-0.38276416,6.4656143,-3.849709,5.813708,1.6320072,6.152533,-0.9598664,-2.4944897,2.3313003
130,SN2005li,5.407733,6.7780137,-5.56533,7.1027246,-2.1580086,4.8031974,-0.81139654,-0.6595177,5.4326787
131,SN2006fg,3.833589,4.8177767,-1.9211534,0.6447171,1.3996898,4.8485303,2.1845636,7.004154,-4.6863403
132,SN2006fx,3.1894133,4.720367,-3.9646075,-0.21501411,1.4963552,3.6722536,-7.233756,6.5149493,-0.34946454
133,SN2006nu,8.661057,1.088437,0.44304368,7.3428025,2.3313513,8.343941,-1.907217,0.10987524,1.389841
134,SN2006ok,5.122971,-2.86742,-4.3877583,-0.034523457,-4.63434,6.328619,5.719232,0.05144145,2.2616723
135,SN2006oo,-0.8063939,1.778668,-4.2369876,-0.22330844,-1.5078925,6.3899765,2.2753024,-2.3682177,-5.0445232
136,SN2007ih,4.3161874,0.50890905,-7.8530874,0.11299619,3.956118,-2.71258,-5.7019916,0.29222772,5.251587
137,SN2007mr,-3.5901892,2.668885,-10.480151,3.110025,-0.39086306,-2.0862575,5.1717334,1.5710845,-0.011326139
138,SN2007mt,-5.3003187,7.665591,0.22888839,-1.2902482,-3.6571617,5.7838526,-3.1633625,-0.18896858,-5.7600718
139,SN2007nk,5.530848,-1.1079661,-1.2279838,-1.4705687,-2.753568,11.306062,2.6915483,5.680692,2.2188435
140,SN2007nl,10.998999,-2.788406,1.1681541,5.3765283,-2.6244977,-1.4676732,2.3618264,-0.8873014,0.33358893
141,SN2007pa,2.0710034,-0.34079587,-0.027153898,-0.47059816,-2.7582831,9.958407,0.8639189,1.0642735,9.716911
142,SN2007qn,0.07321546,7.112854,-0.20197438,3.2806952,-5.9072256,0.16948092,-0.11010865,-2.9245827,-0.11134308
143,SDSS-II SN 13383,6.8303614,3.5718174,-2.5385168,7.781165,-1.504614,-0.0050579445,4.7761283,-0.66822624,3.4255443
144,SDSS-II SN 14268,10.115517,5.533327,-3.0837657,1.9458803,1.1544124,2.2580245,2.2100735,-2.2095256,-2.831247
145,SDSS-II SN 14792,-4.8970313,7.1354356,-11.9442425,-4.381197,-3.1527848,4.1709337,-1.9370266,0.15878074,-0.5623561
146,SDSS-II SN 15697,-4.2564664,8.328297,-2.2168367,-2.818468,-8.385023,-2.725502,0.60486215,-3.625238,-2.8732634
147,SDSS-II SN 16467,3.3821423,5.0587387,-4.95223,7.2947135,1.4349451,-0.8721079,-0.21828538,-3.6131024,-0.20812893
148,SDSS-II SN 16468,-4.4391203,11.016118,-4.5822062,-5.036695,0.18984964,2.5689766,-1.0507109,-0.5963158,1.1929942
149,SDSS-II SN 17814,3.5514765,-1.7400285,-11.891139,0.24391358,-1.6814473,-1.8229567,2.069982,1.6571567,-0.5510813
150,SDSS-II SN 17967,8.254647,3.7697427,-6.664897,0.8500542,-4.2330155,-1.2662667,-5.9850626,0.43545744,4.6805577
151,SDSS-II SN 19032,-8.081621,11.867344,-3.7596107,1.0239199,-4.035791,3.615502,2.0340502,0.15492857,-0.6982209
152,SDSS-II SN 19347,8.645387,9.547159,-4.03775,1.4238302,-5.2201033,3.1757004,-0.34659404,0.58266926,9.202419
153,SDSS-II SN 20278,3.6259475,6.8800945,0.7177156,-6.470832,-4.5130754,-4.6356406,-0.89628416,0.6271199,3.4363866
154,SDSS-II SN 7882,7.886015,6.0699115,-0.65985656,4.311149,2.0212736,-2.743791,-0.19920097,-6.128394,3.5968378
155,SN2005hp,3.319558,6.212394,6.5224185,-1.0124384,1.2252406,7.328731,-1.5927422,0.19558223,5.4039974
156,SN2006fk,7.594837,1.8631624,-6.1389694,0.43056172,0.43910515,-5.424909,2.360783,0.6213715,6.1991053
157,SN2006gw,5.164596,0.6120363,-8.107994,1.6618414,-8.043707,2.2836611,-4.09398,1.0774201,-0.6985257
158,SN2006la,9.391846,1.6560779,1.7557386,-2.2416613,-0.32669702,6.218546,-1.8397905,8.045007,2.9477496
159,SN2006pk,6.480743,3.62173,3.6127648,0.7521991,6.00649,0.54685533,-4.1431675,-1.1490934,7.681945
160,SN2007ik,16.571156,-1.1497045,-2.5500178,2.1030414,0.18306741,1.9750013,1.6410385,2.0018313,6.0874453
161,SN2007iz,3.422921,6.644677,-1.1318821,-0.15279296,-4.73943,-2.0379126,-8.773111,-0.71617395,-2.2319212
162,SN2007jn,-3.567162,4.205071,-5.0721617,-3.3974836,2.030798,6.0933013,-3.1558082,0.3103425,1.503433
163,SDSS-II SN 10991,-5.7883406,5.4660416,-8.348961,-3.4799418,-2.0973027,3.0879874,-1.2637657,5.7892094,2.4479306
164,SDSS-II SN 13633,2.4506698,6.022407,2.9527702,-1.5798334,-7.004478,-1.336691,1.6535019,4.1377916,4.897061
165,SDSS-II SN 14413,8.3504505,-0.7877349,-6.37867,0.6129514,6.5427165,2.8694072,7.0991592,0.041346435,3.2422605
166,SDSS-II SN 14475,-2.7523587,11.721642,-2.979768,0.9154286,-1.1155839,-4.979915,-4.5182843,5.8261633,-2.7718577
167,SDSS-II SN 14531,-2.3226187,5.8986926,-1.9815332,-5.452158,-2.7159464,0.02935174,1.7855011,3.9774873,5.813471
168,SDSS-II SN 15184,1.1128566,-2.3862858,-1.2239441,-0.6952228,-3.0474083,2.374115,1.2278507,4.6495786,-4.627663
169,SDSS-II SN 17851,-2.8504498,11.625464,-2.7413223,-1.1358975,-8.809075,3.3760324,-1.0550841,1.0169424,-0.8279968
170,SDSS-II SN 20045,-3.6720083,7.706328,-7.2697177,-2.4879997,-2.251087,-3.3546166,-0.50781655,-1.749513,-2.5399265
171,SDSS-II SN 6333,2.2017963,4.4973145,-10.147473,1.4014175,-5.387562,-0.8068052,-2.8253465,-3.6535587,-5.0140104
172,SDSS-II SN 6696,5.1524186,5.9711814,-8.305056,-0.018698348,-5.7970276,0.72518915,0.11707083,-4.8411098,2.3248794
173,SN2005ey,11.422943,-4.1157064,4.68453,4.833968,3.3609416,4.168098,3.0715709,2.3420153,0.6632705
174,SN2005ff,6.9633913,2.4364278,4.712724,2.282688,-3.1643112,9.1901245,0.9474079,3.983101,0.42132267
175,SN2005fi,6.115703,2.0878131,-3.7363505,1.7659519,-2.0023468,10.659033,-4.1723995,6.5299897,3.1819198
176,SN2005fu,9.964478,-5.279188,-3.6421173,2.097031,0.24219157,-0.008736742,7.700336,0.51476246,1.7298986
177,SN2005fz,-0.30011636,3.7635577,-4.0460415,3.5286617,-5.3450856,6.377834,1.6354598,1.2185254,6.892821
178,SN2005ge,1.9087412,1.6917044,-1.4177676,1.223949,4.6320415,4.225203,0.22751169,-3.6406114,9.029927
179,SN2005hu,12.08141,11.376756,-3.2559779,-0.7607188,-3.2605238,2.582088,-0.504185,-0.35559428,3.6793566
180,SN2005ia,12.136719,3.8842912,-5.508026,1.0454602,-6.3162017,1.7287772,0.80900675,0.94800854,3.3638573
181,SN2005ic,1.7620668,9.390675,1.7967435,-1.1394789,-1.2770323,-0.9837402,-1.0328087,-6.3393354,5.59849
182,SN2005ie,-0.75361985,2.9140956,-4.442173,5.473342,-0.09730181,0.053675253,5.6928616,0.055824526,6.1905637
183,SN2005ih,4.262971,5.410353,-3.4525104,-2.7519927,-2.5720432,12.385031,-3.6819546,0.060700644,3.9957569
184,SN2005jh,9.051091,-3.666312,4.3267474,-0.9942085,-5.0575747,6.985318,-1.2398996,1.9619646,0.84140277
185,SN2005jk,1.4033418,4.762079,0.8981925,4.556704,2.2488055,5.953281,2.7415316,4.9465346,4.2579575
186,SN2005jo,1.897548,3.7171838,2.0815423,6.918835,5.0289397,5.0170846,-0.82474226,-0.41340175,3.77001
187,SN2005jt,-1.3899499,13.150821,1.7354927,-0.27020514,-2.4395163,-5.8240633,-2.19648,0.39401177,0.4012345
188,SN2005mh,1.3229725,5.161908,-1.5184821,3.7646558,-7.0965896,0.8396571,0.7390549,5.9796205,5.1210074
189,SN2006fo,-0.6946088,11.579451,-7.56078,-0.4429072,-0.77185535,-3.2122133,-3.2005167,4.3080535,2.4789898
190,SN2006gm,-0.23710757,2.841348,-5.914111,-1.538576,-0.2513085,1.2155898,7.278281,1.026879,5.1380634
191,SN2006hc,7.914691,-1.8505472,-4.2096915,-0.0045058117,-6.2664847,5.417922,0.07302227,5.518066,-0.2894864
192,SN2006jo,0.1039276,6.9452114,0.6759726,-1.2850325,5.475944,1.6559937,-6.875798,3.093507,-1.8606055
193,SN2006jx,-9.812824,4.9644485,-1.3796078,-0.18117708,1.3922212,2.526622,-0.8316756,0.47779158,6.946904
194,SN2006no,2.9407437,4.3942394,1.6072125,0.8594911,-1.4067669,9.858373,-5.594963,2.5493066,-0.45403183
195,SN2007ky,0.44045696,6.4229493,-7.8429985,0.52466637,-8.03387,5.9864693,-1.1867212,-0.59347576,-1.1202656
196,SN2007ny,2.3580477,-1.6693714,-0.09989421,4.4166617,10.91113,2.4898815,0.46903253,2.10574,-1.2614366
197,SDSS-II SN 10997,11.87551,-1.2904912,-2.2950246,-1.6759597,-0.08995219,2.2787163,-2.9254448,6.4327106,0.042641185
198,SDSS-II SN 11120,7.532228,-0.29242378,3.1547441,0.33488047,-4.3632207,8.080653,3.6051142,-2.4680855,1.3198373
199,SDSS-II SN 11532,-0.883356,3.047768,7.971953,9.546024,-4.6662865,-8.621789,10.204706,-3.5994656,-1.0638832
200,SDSS-II SN 12213,-4.0534487,8.370459,-0.84358007,-1.1732228,-7.7564178,-4.807241,-1.7084618,2.229712,-2.621219
201,SDSS-II SN 1257,9.5576935,0.13084564,-2.686054,4.76071,3.734329,0.46814054,-2.6070032,-1.0515677,-0.40090966
202,SDSS-II SN 12879,6.8403845,-4.67982,1.5062324,0.77041245,-1.5934278,0.43459487,-8.031025,1.968519,3.5433056
203,SDSS-II SN 12936,0.13572393,6.1859245,5.949564,2.7489033,2.0839615,-3.3713088,1.6689066,1.2566216,3.1637523
204,SDSS-II SN 12939,8.657644,3.1171536,-0.093999594,0.1113695,-4.247282,1.8898538,5.753001,-2.3500721,0.77389264
205,SDSS-II SN 12964,3.3240829,7.2382245,1.6672826,-0.46128196,4.8958087,0.48106888,0.83821124,2.5849235,5.9936404
