,SN,0,1
218,SDSS-II SN 13440,27.384998,-33.616844
219,SDSS-II SN 13441,20.032549,-20.98204
220,SDSS-II SN 13460,42.524487,21.875523
221,SDSS-II SN 13472,9.548421,-40.95711
222,SDSS-II SN 13487,28.367416,-37.767937
223,SDSS-II SN 13492,46.394802,22.94945
224,SDSS-II SN 13529,18.742514,-13.605835
225,SDSS-II SN 13554,13.260467,-24.77188
226,SDSS-II SN 13644,27.203316,-13.560116
227,SDSS-II SN 13646,28.100916,-10.188571
228,SDSS-II SN 13675,46.07197,14.943494
229,SDSS-II SN 13699,7.9046044,-11.512728
230,SDSS-II SN 13725,13.690271,-29.349676
231,SDSS-II SN 13803,49.081184,6.208455
232,SDSS-II SN 13813,6.734117,-26.154308
233,SDSS-II SN 13833,20.31672,-50.098007
234,SDSS-II SN 13843,7.220255,-29.862808
235,SDSS-II SN 13864,19.062025,-19.732897
236,SDSS-II SN 13931,23.822918,-42.95948
237,SDSS-II SN 1395,25.09985,-4.3228035
238,SDSS-II SN 14054,36.62969,-1.3758875
239,SDSS-II SN 14081,12.282841,-28.393902
240,SDSS-II SN 14113,41.212074,27.144732
241,SDSS-II SN 14258,22.501333,-12.520793
242,SDSS-II SN 14260,43.77174,26.4708
243,SDSS-II SN 14311,-49.24213,-11.731038
244,SDSS-II SN 14347,25.076254,13.383253
245,SDSS-II SN 14361,31.86389,-35.53755
246,SDSS-II SN 14375,37.27563,8.221497
247,SDSS-II SN 14400,44.018063,24.979694
248,SDSS-II SN 14429,24.97883,-36.074345
249,SDSS-II SN 14453,14.424841,-45.32472
250,SDSS-II SN 14467,45.820206,18.831789
251,SDSS-II SN 14493,-14.636449,-25.086243
252,SDSS-II SN 14498,46.14937,8.151369
253,SDSS-II SN 14505,42.03295,14.052016
254,SDSS-II SN 14528,26.078325,-36.459614
255,SDSS-II SN 14617,47.09586,19.663723
256,SDSS-II SN 1465,15.915914,-25.712463
257,SDSS-II SN 1470,41.978073,16.899733
258,SDSS-II SN 14821,25.83526,-37.726234
259,SDSS-II SN 14964,9.331673,-2.5740123
260,SDSS-II SN 1500,36.237137,17.283245
261,SDSS-II SN 15046,17.025469,-44.168037
262,SDSS-II SN 15055,25.44343,12.16166
263,SDSS-II SN 15160,45.66674,17.75867
264,SDSS-II SN 15198,28.216476,-21.149746
265,SDSS-II SN 15239,52.727715,9.783928
266,SDSS-II SN 15272,-13.849467,-33.309414
267,SDSS-II SN 15289,47.54877,11.573786
268,SDSS-II SN 15309,25.940203,-43.783157
269,SDSS-II SN 1535,44.74107,28.139246
270,SDSS-II SN 15417,7.906577,-21.045658
271,SDSS-II SN 15539,24.734764,15.011172
272,SDSS-II SN 15587,27.98971,27.29869
273,SDSS-II SN 15751,12.539923,-29.787258
274,SDSS-II SN 15793,21.907066,-34.151634
275,SDSS-II SN 15903,-14.091582,-27.997381
276,SDSS-II SN 15914,1.6069483,-5.881261
277,SDSS-II SN 15944,13.26209,-27.755331
278,SDSS-II SN 16091,32.327564,23.44457
279,SDSS-II SN 1622,35.399082,16.425678
280,SDSS-II SN 16412,2.5635858,-1.3689393
281,SDSS-II SN 16436,-24.155798,-21.907316
282,SDSS-II SN 16455,48.16048,15.996672
283,SDSS-II SN 16582,18.012901,-42.20065
284,SDSS-II SN 16768,44.649975,10.341764
285,SDSS-II SN 16838,31.035131,-5.9694076
286,SDSS-II SN 16977,49.07392,10.139647
287,SDSS-II SN 17219,34.709286,26.79996
288,SDSS-II SN 17303,42.23981,24.062582
289,SDSS-II SN 17330,20.27119,0.2888732
290,SDSS-II SN 17396,42.975906,13.304538
291,SDSS-II SN 17422,14.914442,-15.145286
292,SDSS-II SN 17465,17.202179,-22.675621
293,SDSS-II SN 17466,38.920345,20.805614
294,SDSS-II SN 1750,20.555008,-31.667442
295,SDSS-II SN 17508,32.752087,20.31978
296,SDSS-II SN 17539,32.175323,-27.613352
297,SDSS-II SN 17542,32.26372,-16.096746
298,SDSS-II SN 17620,29.722166,25.404066
299,SDSS-II SN 17662,10.784838,-16.212187
300,SDSS-II SN 17667,41.041294,27.865385
301,SDSS-II SN 17682,9.057093,-26.381126
302,SDSS-II SN 17729,26.048647,-2.400075
303,SDSS-II SN 1773,45.373676,10.192503
304,SDSS-II SN 17748,42.416504,25.008543
305,SDSS-II SN 17789,33.95429,-25.283072
306,SDSS-II SN 17816,5.306978,-38.51997
307,SDSS-II SN 17853,10.38567,-28.785587
308,SDSS-II SN 17894,51.184345,10.795249
309,SDSS-II SN 17906,28.026047,-31.953474
310,SDSS-II SN 17928,34.278217,-33.026665
311,SDSS-II SN 17952,32.151546,19.408546
312,SDSS-II SN 17997,19.429956,-42.994484
313,SDSS-II SN 18058,42.24387,20.35015
314,SDSS-II SN 18067,16.72836,-23.508665
315,SDSS-II SN 18075,-9.385918,-29.163074
316,SDSS-II SN 18077,41.48788,5.4172573
317,SDSS-II SN 18101,10.873423,-6.522396
318,SDSS-II SN 1821,42.764122,17.743803
319,SDSS-II SN 18226,24.034922,-33.393368
320,SDSS-II SN 18243,22.003765,-0.043464337
321,SDSS-II SN 18253,-11.789451,-23.838478
322,SDSS-II SN 18273,46.565475,9.103121
323,SDSS-II SN 18276,36.771286,6.7932463
324,SDSS-II SN 18301,49.604633,12.315088
325,SDSS-II SN 18331,13.508611,-16.263838
326,SDSS-II SN 18376,12.992484,-6.9769015
327,SDSS-II SN 18387,41.49867,15.734057
328,SDSS-II SN 18405,44.625713,17.581148
329,SDSS-II SN 18454,49.55631,10.965438
330,SDSS-II SN 18479,39.972427,9.536827
331,SDSS-II SN 18593,31.999891,-13.905119
332,SDSS-II SN 18598,34.83733,-33.49902
333,SDSS-II SN 18647,34.436703,10.467558
334,SDSS-II SN 1866,34.95414,21.269115
335,SDSS-II SN 18664,45.76029,32.948196
336,SDSS-II SN 18743,40.544857,5.6425657
337,SDSS-II SN 18848,17.656746,-43.014847
338,SDSS-II SN 18898,10.228845,9.682976
339,SDSS-II SN 18917,22.041721,0.87032664
340,SDSS-II SN 18935,44.57441,16.911055
341,SDSS-II SN 18943,-26.109695,-31.606144
342,SDSS-II SN 18971,4.668288,-19.315737
343,SDSS-II SN 18973,10.747252,-31.172615
344,SDSS-II SN 18983,22.45478,-3.9746668
345,SDSS-II SN 19059,48.194954,10.904557
346,SDSS-II SN 19189,43.782475,2.1178253
347,SDSS-II SN 19209,42.709614,4.1211576
348,SDSS-II SN 1921,18.945984,-43.88265
349,SDSS-II SN 19344,45.47335,22.85828
350,SDSS-II SN 19399,31.084126,-22.601896
351,SDSS-II SN 19428,16.244942,-7.7046456
352,SDSS-II SN 19434,31.818228,8.390132
353,SDSS-II SN 19461,22.281233,-2.9700942
354,SDSS-II SN 19467,39.54736,12.4647665
355,SDSS-II SN 19538,26.847515,-9.396732
356,SDSS-II SN 19539,40.51236,29.21547
357,SDSS-II SN 19683,13.88025,-35.798668
358,SDSS-II SN 19721,19.932108,-9.171506
359,SDSS-II SN 19723,31.993328,20.546242
360,SDSS-II SN 19776,11.581823,-35.583485
361,SDSS-II SN 1980,19.346096,-16.609568
362,SDSS-II SN 1982,21.018652,-41.194992
363,SDSS-II SN 1991,42.438976,27.568016
364,SDSS-II SN 19986,11.419086,-29.82356
365,SDSS-II SN 19987,25.78499,-39.554916
366,SDSS-II SN 20216,13.8947,-4.5497
367,SDSS-II SN 20231,-15.624465,-30.833494
368,SDSS-II SN 20251,47.026382,6.9851384
369,SDSS-II SN 20257,-6.013707,-15.404356
370,SDSS-II SN 20369,40.464825,3.85534
371,SDSS-II SN 2041,29.638113,-4.7144995
372,SDSS-II SN 20411,22.379631,-47.317226
373,SDSS-II SN 2042,42.71444,16.00905
374,SDSS-II SN 20467,40.549526,-1.1035343
375,SDSS-II SN 20491,27.75848,26.327526
376,SDSS-II SN 20497,14.983769,-23.118557
377,SDSS-II SN 20590,44.401947,6.8809514
378,SDSS-II SN 20591,26.82106,-40.305832
379,SDSS-II SN 20613,45.654972,12.83878
380,SDSS-II SN 20646,49.352257,8.350547
381,SDSS-II SN 20721,23.260492,-34.28293
382,SDSS-II SN 2078,18.599834,-34.308453
383,SDSS-II SN 20791,25.782133,-44.61842
384,SDSS-II SN 20805,18.310526,-40.61942
385,SDSS-II SN 20820,25.06326,-2.669573
386,SDSS-II SN 20842,22.707613,-47.87564
387,SDSS-II SN 20861,7.187101,-10.294286
388,SDSS-II SN 20870,24.410395,-34.39468
389,SDSS-II SN 20895,21.702074,-42.22948
390,SDSS-II SN 20916,8.651149,-27.703512
391,SDSS-II SN 2093,42.400356,1.5438354
392,SDSS-II SN 20953,14.937676,-47.57263
393,SDSS-II SN 20956,17.181559,-42.07631
394,SDSS-II SN 20969,-0.74292004,-18.955242
395,SDSS-II SN 21081,14.750712,-39.281036
396,SDSS-II SN 21356,23.833212,-39.643444
397,SDSS-II SN 21359,-7.025527,-16.17947
398,SDSS-II SN 21381,26.83227,-38.251476
399,SDSS-II SN 2148,23.21039,-41.34679
400,SDSS-II SN 2149,33.301495,10.736771
401,SDSS-II SN 21553,14.454627,-49.845848
402,SDSS-II SN 21709,28.59306,-17.8773
403,SDSS-II SN 21711,32.979134,-7.3700356
404,SDSS-II SN 2244,35.35547,-17.44642
405,SDSS-II SN 2325,16.592909,-35.44329
406,SDSS-II SN 2464,39.12915,21.727867
407,SDSS-II SN 2615,17.67318,-49.917614
408,SDSS-II SN 2630,34.404415,14.762546
409,SDSS-II SN 2808,39.741657,6.2191324
410,SDSS-II SN 2912,33.42098,20.894188
411,SDSS-II SN 3090,35.61491,-2.144517
412,SDSS-II SN 3196,24.315733,-41.12183
413,SDSS-II SN 3344,12.276751,-26.998882
414,SDSS-II SN 3368,5.936584,-21.687296
415,SDSS-II SN 3417,26.244516,-3.9457104
416,SDSS-II SN 3514,41.973854,0.27790558
417,SDSS-II SN 3529,44.407284,5.921159
418,SDSS-II SN 3533,27.760345,-19.185858
419,SDSS-II SN 3558,17.279411,-26.273943
420,SDSS-II SN 3565,7.1615715,16.069494
421,SDSS-II SN 3983,44.204678,19.406527
422,SDSS-II SN 4019,26.101477,-32.97346
423,SDSS-II SN 4044,-4.8949003,-15.431493
424,SDSS-II SN 4104,5.476037,-9.850071
425,SDSS-II SN 4129,14.063194,-22.714544
426,SDSS-II SN 4181,35.815437,4.4694886
427,SDSS-II SN 4307,26.956257,-32.466324
428,SDSS-II SN 4330,15.411685,-35.829323
429,SDSS-II SN 4375,24.008846,32.587032
430,SDSS-II SN 4534,18.681963,-45.205635
431,SDSS-II SN 4606,8.711708,-29.09493
432,SDSS-II SN 4888,-14.765649,-27.422272
433,SDSS-II SN 4906,22.238249,-31.352476
434,SDSS-II SN 4907,30.430769,-35.332493
435,SDSS-II SN 4966,27.837893,-30.54184
436,SDSS-II SN 4978,44.712845,23.538034
437,SDSS-II SN 5001,-0.2714212,-4.85907
438,SDSS-II SN 5235,29.143818,-35.83734
439,SDSS-II SN 5401,34.471237,12.488236
440,SDSS-II SN 5468,37.355175,9.468813
441,SDSS-II SN 5498,20.030027,-10.5083
442,SDSS-II SN 5590,8.380381,-26.954178
443,SDSS-II SN 5607,9.122069,-3.7197914
444,SDSS-II SN 5810,-2.072564,-20.405455
445,SDSS-II SN 5890,26.248938,-4.8353524
446,SDSS-II SN 5959,2.9334686,-1.2406971
447,SDSS-II SN 5963,30.50399,24.76194
448,SDSS-II SN 6055,31.097,11.39649
449,SDSS-II SN 6289,36.894558,14.766405
450,SDSS-II SN 6327,10.27836,-22.767298
451,SDSS-II SN 6556,39.17584,26.937214
452,SDSS-II SN 6560,36.0408,14.337893
453,SDSS-II SN 6618,11.6691265,-49.765972
454,SDSS-II SN 6714,12.481222,-36.820194
455,SDSS-II SN 6715,7.7078395,-27.600302
456,SDSS-II SN 7024,-0.2545813,-20.918955
457,SDSS-II SN 703,37.659245,22.232841
458,SDSS-II SN 7039,17.044096,-19.500998
459,SDSS-II SN 7121,15.715744,-23.317097
460,SDSS-II SN 7123,36.235786,5.1528134
461,SDSS-II SN 7233,-15.456234,-31.640501
462,SDSS-II SN 7499,16.184391,-48.530724
463,SDSS-II SN 7636,44.10417,31.146975
464,SDSS-II SN 764,2.5591407,-19.28573
465,SDSS-II SN 7647,6.384301,-37.834682
466,SDSS-II SN 7701,46.643394,10.774348
467,SDSS-II SN 7725,43.393116,3.3543391
468,SDSS-II SN 773,35.21692,-32.418182
469,SDSS-II SN 801,42.28198,2.7247624
470,SDSS-II SN 8196,40.197304,12.453731
471,SDSS-II SN 8236,28.917788,5.950434
472,SDSS-II SN 8252,18.814442,-45.964596
473,SDSS-II SN 8721,48.003166,12.143208
