,SN,0,1,2,3,4,5
194,SN2006no,-14.621582,4.027996,4.2835426,-14.314419,-1.4437175,3.0062902
195,SN2007ky,-7.4985695,11.328772,-0.113061875,-8.489953,11.27104,-13.996705
196,SN2007ny,-15.277367,-6.3845253,-9.677721,4.854981,1.3525956,-0.79744554
197,SDSS-II SN 10997,-17.733568,-4.174901,-15.393209,-10.837104,-3.7842698,2.9416058
198,SDSS-II SN 11120,-5.501599,-7.0942802,-11.622565,1.9909277,-14.886488,-2.7111626
199,SDSS-II SN 11532,-6.0159464,-0.9622111,25.93182,2.3137996,-1.6569402,0.6202472
200,SDSS-II SN 12213,-5.4115086,8.193725,12.970432,11.443953,6.1745076,-10.126265
201,SDSS-II SN 1257,-5.694243,2.6785202,-16.163324,-13.199567,-6.8777866,2.8841162
202,SDSS-II SN 12879,-10.2548685,4.1521854,-10.904478,-9.51534,-4.6465216,12.057624
203,SDSS-II SN 12936,-5.542002,5.942781,7.3340797,3.7395053,-13.104991,-2.712249
204,SDSS-II SN 12939,-12.312749,-0.8357157,-13.211555,4.460867,-6.4790215,-2.238106
205,SDSS-II SN 12964,-8.221545,10.802857,-1.951042,5.058649,-10.5447855,-9.511484
206,SDSS-II SN 13051,0.054058425,11.80524,-3.2792838,1.918102,-13.6316,-4.9966774
207,SDSS-II SN 13062,7.32483,5.841453,-14.76305,-7.285308,-0.4448716,-3.804958
208,SDSS-II SN 13076,-1.0489196,5.964716,12.988273,12.591294,2.4495485,-14.592181
209,SDSS-II SN 13096,-11.50823,2.7673738,-2.1855106,5.761549,-4.4943085,-8.211919
210,SDSS-II SN 13168,-4.1417265,-2.8999522,11.084539,19.305674,7.2298865,-3.2291205
211,SDSS-II SN 13283,-12.619882,-2.5668852,1.9181347,-9.547678,1.2427168,8.070191
212,SDSS-II SN 13291,-6.0296745,2.2820659,-5.5621033,4.2901516,-3.5499725,1.7422111
213,SDSS-II SN 13330,-10.34355,1.5826116,-0.031386677,-8.745427,13.178345,-6.6402655
214,SDSS-II SN 13344,-12.097077,7.778206,-0.04342667,-4.347504,-1.1977733,-4.8010035
215,SDSS-II SN 13395,-14.844136,-7.8097105,-11.093532,1.7834693,-2.4134512,-13.378271
216,SDSS-II SN 13404,0.125502,-6.3698506,1.1862657,-16.060959,8.15544,-2.0854092
217,SDSS-II SN 1342,0.3900648,-0.86301076,11.578789,-11.349706,-7.654266,-0.18905824
218,SDSS-II SN 13440,-13.952631,4.703415,-16.772257,0.20615116,10.0087,-1.35802
