,SN,0,1
205,SDSS-II SN 12964,-0.5334232,-19.211903
206,SDSS-II SN 13051,1.4937304,-19.017967
207,SDSS-II SN 13062,1.9270674,-6.1183934
208,SDSS-II SN 13076,-19.727888,-4.772487
209,SDSS-II SN 13096,-3.8557591,-17.11446
210,SDSS-II SN 13168,-13.034826,-6.0745273
211,SDSS-II SN 13283,2.8621302,-9.489148
212,SDSS-II SN 13291,0.9203899,-12.452859
213,SDSS-II SN 13330,-9.044401,-8.949476
214,SDSS-II SN 13344,-3.1622384,-18.602882
215,SDSS-II SN 13395,11.204645,-16.260595
216,SDSS-II SN 13404,-2.5618727,-3.9507306
217,SDSS-II SN 1342,-5.1311684,-4.138213
218,SDSS-II SN 13440,4.3685474,-13.434218
219,SDSS-II SN 13441,-8.319161,-14.988404
220,SDSS-II SN 13460,-2.8443024,-16.363676
221,SDSS-II SN 13472,-1.3826673,-11.911188
222,SDSS-II SN 13487,-10.387837,-16.578514
223,SDSS-II SN 13492,-17.365046,-10.640679
224,SDSS-II SN 13529,-0.32122308,-21.05251
225,SDSS-II SN 13554,-11.707247,-20.871082
226,SDSS-II SN 13644,12.179154,-5.2434115
227,SDSS-II SN 13646,10.098045,-15.998226
228,SDSS-II SN 13675,-6.977893,-20.842045
229,SDSS-II SN 13699,-1.2774601,-10.780451
230,SDSS-II SN 13725,8.875688,-6.2374196
231,SDSS-II SN 13803,-1.3185538,-5.7203565
232,SDSS-II SN 13813,8.057696,-15.444757
233,SDSS-II SN 13833,-12.224075,-8.454128
234,SDSS-II SN 13843,-14.435727,-16.379745
235,SDSS-II SN 13864,-0.20979267,-23.856659
236,SDSS-II SN 13931,-17.846272,-9.420788
237,SDSS-II SN 1395,6.043691,-13.549466
238,SDSS-II SN 14054,4.5837197,-8.963325
239,SDSS-II SN 14081,3.2586908,-8.210344
240,SDSS-II SN 14113,-17.409544,-11.8489485
241,SDSS-II SN 14258,-12.63057,-20.141079
242,SDSS-II SN 14260,-2.1746683,-16.268063
