,SN,0,1,2,3,4,5,6,7
74,SDSS-II SN 15992,4.7297177,4.2319403,-0.7378166,-1.8255565,-6.8033085,-0.7561533,-4.2587733,-2.7030215
75,SDSS-II SN 16094,-0.4038477,-4.0950303,-7.6467896,2.599484,-5.3733454,6.510925,0.89137375,-5.5148373
76,SDSS-II SN 1706,-2.9622197,-2.251024,-4.113201,0.7340692,1.8475293,-9.412654,-0.14670435,-6.53571
77,SDSS-II SN 17455,-7.2680855,-5.746002,7.823538,-0.7595037,-4.328508,-3.7489047,-1.4351107,-0.8772133
78,SDSS-II SN 17644,-6.2864356,-5.0616336,-1.9494745,1.9005291,2.480469,-13.186328,1.1227423,0.77529895
79,SDSS-II SN 17845,-3.9687936,-2.9339554,-4.914011,-10.414633,1.9840945,-5.9532366,-2.2158725,-0.8185546
80,SDSS-II SN 18032,-8.106411,-5.2455997,1.9166338,-5.710097,-0.7538114,1.4595389,1.0365428,-4.699815
81,SDSS-II SN 18048,-6.75761,-2.665369,-8.578463,-2.5573215,-0.94997895,4.1427646,-1.6055666,-0.34612852
82,SDSS-II SN 18165,-7.052255,-1.168604,-0.48556992,-6.5536623,0.48685494,3.7839344,-1.1603508,2.562412
83,SDSS-II SN 18311,-1.8930917,-5.044837,1.5313376,-3.3709385,0.9402345,-2.1032681,-8.323347,7.52717
84,SDSS-II SN 18339,-7.9606333,-1.2828891,-3.5998302,-4.244823,-4.5142,2.094088,5.392564,0.38938418
85,SDSS-II SN 18365,-4.343685,-0.43269882,0.21719505,-3.480912,0.24849267,-1.5585825,-1.2640061,-2.7026389
86,SDSS-II SN 18601,-6.144812,-3.9532413,4.8587117,-0.8827527,-0.4784518,7.6484923,-2.6102386,1.4521619
87,SDSS-II SN 18688,1.31494,-4.4822044,0.76866823,3.60266,-9.108154,13.910487,1.7269313,1.0088489
88,SDSS-II SN 19045,-2.5406525,-7.317037,-1.4409574,-2.6041768,0.31275925,1.0244268,3.1842468,2.0111032
89,SDSS-II SN 19175,-0.5212405,-0.40047544,7.5911965,-0.005759241,-2.768082,-3.927244,-3.5601137,-7.2115707
90,SDSS-II SN 19181,-0.70295745,7.701563,-4.332001,-2.9001398,-0.60434526,-1.1001704,3.1369507,-6.2677593
