0,1,2,3,4,5,6,7,8
SDSS-II SN 13395 (g'r'i'),0.30270508,0.96748614,1.1195343,0.47095135,0.95580196,1.042987,-2.3048344,-2.095662
SDSS-II SN 13406 (g'r'i'),1.1938227,0.2950548,2.699846,0.12759566,1.1794876,-1.3145015,-0.29790607,-2.2488167
SDSS-II SN 13413 (g'r'i'),0.315933,0.24155815,2.9011557,0.10046844,1.5907534,1.0086089,-1.1220951,-2.7974217
SDSS-II SN 1342 (g'r'i'),-0.7154771,-0.043987878,2.117052,1.0031904,-2.254387,-0.67071414,-0.67970145,0.34001383
SDSS-II SN 13423 (g'r'i'),-0.68083596,0.10681297,0.8174174,-1.1704409,0.85736316,-2.6015413,0.20393223,-1.0333203
SDSS-II SN 13440 (g'r'i'),1.3621224,-0.9638853,1.4143665,-0.50214773,0.6137151,0.3099055,0.12720539,-2.302957
SDSS-II SN 13441 (g'r'i'),-0.71018946,0.19010337,0.9740165,1.4187285,-1.8610233,-1.190991,1.262137,3.1808765
SDSS-II SN 13461 (g'r'i'),2.6556878,0.102568194,1.5936186,1.2822318,0.07110014,-0.29176044,-2.642086,-4.0001135
SDSS-II SN 13472 (g'r'i'),1.0327364,-0.1838169,3.2237723,-0.27974504,0.27685437,-0.3318449,-0.48598963,-2.3089263
SDSS-II SN 13476 (g'r'i'),-0.61458236,-0.46067706,0.98735744,0.029519841,-1.3312521,-1.6965722,0.22941013,-1.1371971
SDSS-II SN 13477 (g'r'i'),-0.062355857,0.10683422,2.1984558,1.0893614,-0.70103425,-1.7380491,-0.19086228,-0.40612477
SDSS-II SN 13483 (g'r'i'),2.6736724,0.9487245,1.3615056,-0.8072538,3.1548483,-0.30955425,-1.0888157,-3.8522904
SDSS-II SN 13487 (g'r'i'),-1.0183507,0.33201775,1.0098957,1.8318057,-1.6058524,-1.2736009,1.0370214,3.4444783
SDSS-II SN 13491 (g'r'i'),0.08248191,0.49231875,2.139193,0.5389636,-2.0148623,-1.4053303,0.50479394,1.4454079
SDSS-II SN 13492 (g'r'i'),-0.77085215,-0.52109385,-0.72940874,-0.0017752408,0.50631315,-1.537652,1.750998,1.004023
SDSS-II SN 13496 (g'r'i'),1.3737565,0.2748953,-0.1362999,-1.5110626,3.6043699,0.056993637,-1.1771084,-4.432427
SDSS-II SN 13497 (g'r'i'),-1.1670814,0.03268835,0.14850895,2.5924447,0.0137339085,-2.0341237,0.6462968,3.2146006
SDSS-II SN 13498 (g'r'i'),0.16529022,1.0543779,0.7480391,-1.6138675,3.5711265,0.35567707,-1.4378344,-4.7825413
SDSS-II SN 13520 (g'r'i'),-1.6830744,0.5938701,1.7035763,1.928952,-1.7066324,-1.1089176,-0.12275844,1.460891
SDSS-II SN 13529 (g'r'i'),-0.5624918,0.35903782,0.970938,-0.84707505,-1.6932335,-0.89835554,-0.5482558,-1.2274412
SDSS-II SN 13533 (g'r'i'),0.8970045,-0.6107416,2.2402725,0.9153955,-0.10943736,-0.76399064,-0.66481984,-1.7916723
SDSS-II SN 13554 (g'r'i'),-0.77179253,0.22474343,0.56372267,0.86606187,-1.5755153,-0.236576,1.1298832,3.9887128
SDSS-II SN 13558 (g'r'i'),-0.16905072,0.49899283,1.9892278,0.88680494,-2.2487729,-1.310441,0.5550085,1.7958298
SDSS-II SN 13566 (g'r'i'),2.5051599,0.69767314,2.6886728,-0.83300006,1.7162861,1.1906272,-1.2822945,-4.177302
SDSS-II SN 13589 (g'r'i'),0.23636067,0.919953,0.57857186,-1.7361428,3.588022,0.63441795,-1.6106507,-5.153759
SDSS-II SN 13633 (g'r'i'),-0.16687393,-1.4009211,0.1618255,-0.6989155,-1.3539603,-1.2894671,1.6390246,0.901082
SDSS-II SN 13644 (g'r'i'),2.1936877,-0.3973176,1.854605,-0.04731626,0.47921264,1.5421703,-1.3632703,-3.4472704
SDSS-II SN 13646 (g'r'i'),0.45677486,-0.98771363,-0.35781682,0.3603816,-1.8552604,0.53422,0.99433184,1.7747386
SDSS-II SN 13657 (g'r'i'),-1.0194317,0.58605087,1.9756258,1.5338758,-1.163695,-1.7373786,0.023097606,0.87460756
SDSS-II SN 13675 (g'r'i'),-0.18846092,0.0114459805,-1.2633952,-1.370643,2.0302582,-1.3516219,-0.35009354,-1.572326
SDSS-II SN 13689 (g'r'i'),0.12191528,0.41770416,-1.0607032,-1.6919848,-0.11975301,1.1338627,-0.53119564,-1.8859313
SDSS-II SN 13703 (g'r'i'),0.3168427,-0.5923912,-1.5570737,-1.8704013,-0.33344233,-0.077366605,1.3716344,-0.9767421
