,SN,0,1,2,3,4
114,SN2005fx,3.5625737,-10.225036,7.416427,-4.91604,-20.319246
115,SN2005gc,16.373655,-3.4372187,18.50857,11.210243,-20.002045
116,SN2005gs,10.251204,-14.494649,1.742426,-10.491407,-24.248667
117,SN2005gt,2.398538,-3.1739163,-0.7023787,9.754472,-30.858255
118,SN2005gu,-5.426464,-12.904161,-2.7021933,-16.026752,-19.389437
119,SN2005hc,13.429043,7.840854,5.3626666,28.215275,-2.607996
120,SN2005ho,18.382595,-6.9554806,5.8824253,23.534119,-9.10564
121,SN2005hx,28.433561,-2.5329127,5.5190215,16.263361,-10.600197
122,SN2005id,20.935019,-3.6591873,13.955454,16.944786,-12.510762
123,SN2005ik,1.8830281,-0.44246054,4.323075,5.172424,-20.166746
124,SN2005jb,-10.993976,-10.923859,-3.24122,-2.0600092,-13.628264
125,SN2005jf,9.612957,19.61666,-13.901045,5.9511685,-9.32527
126,SN2005jl,18.620855,2.2775278,20.922739,9.35431,-14.795767
127,SN2005jy,1.5824736,-14.800411,-0.25689933,-1.7663403,-20.675226
128,SN2005jz,5.766264,-21.095984,-2.2229896,-4.2670193,-17.221628
129,SN2005kn,0.84105253,1.3523927,5.572122,-14.916651,-20.332891
130,SN2005li,2.4779015,0.4440172,8.45643,-5.0507245,-23.838995
131,SN2006fg,-14.8352785,13.63458,13.475892,-1.5323051,-14.266185
132,SN2006fx,2.6968172,13.987056,-5.961098,-5.2144923,-15.181363
133,SN2006nu,14.006682,3.866249,13.097789,4.5328217,-25.236467
134,SN2006ok,28.916677,2.964588,1.6764741,-0.7921768,-14.2967
135,SN2006oo,-5.4812613,13.613176,0.3628773,-15.827132,1.1025704
136,SN2007ih,2.4036467,4.6577706,27.091724,-10.076926,-14.9744835
137,SN2007mr,-23.283813,3.6262121,-1.868351,1.3011593,-11.113462
138,SN2007mt,-11.2609415,7.7631507,-20.534813,6.2117186,-12.047867
139,SN2007nk,11.642639,6.50998,1.3516165,14.27661,-24.677744
140,SN2007nl,16.172682,-4.887704,17.652905,-1.1874384,-5.9866347
141,SN2007pa,15.86689,-9.5130825,-0.8345767,9.0676565,-18.685392
142,SN2007qn,-9.061911,2.82201,-11.202765,7.5716834,-15.265947
143,SDSS-II SN 13383,16.363182,-3.0712018,-5.5493493,-4.9850626,-9.918968
144,SDSS-II SN 14268,10.095618,8.804434,5.648516,-14.386455,-14.319621
145,SDSS-II SN 14792,-20.55554,14.770982,3.807845,-20.586596,-7.230192
146,SDSS-II SN 15697,-17.154858,7.342141,-23.118168,-9.251455,-11.8984995
147,SDSS-II SN 16467,-0.4250627,-5.800593,2.7107859,-11.278361,-14.387863
