,SN,0,1,2,3
238,SDSS-II SN 14054,9.144488,-6.3651266,-19.185333,-13.903397
239,SDSS-II SN 14081,3.5702085,2.9931157,-13.672121,-16.664639
240,SDSS-II SN 14113,2.8623924,-39.04201,3.3096583,-5.846066
241,SDSS-II SN 14258,6.9268556,-22.205362,-17.295242,20.57533
242,SDSS-II SN 14260,5.10073,-18.453817,-18.79481,-4.932631
243,SDSS-II SN 14311,9.527485,-25.380253,-1.2360384,32.1976
244,SDSS-II SN 14347,4.709657,-31.813833,-37.45651,-1.1940728
245,SDSS-II SN 14361,15.563714,-8.987242,-12.950245,-4.0328584
246,SDSS-II SN 14375,18.667091,-31.85819,-14.385888,4.90852
247,SDSS-II SN 14400,-0.10766574,1.5371641,-14.1775675,-28.212223
248,SDSS-II SN 14429,5.8934,-26.101192,-29.258152,-9.845316
249,SDSS-II SN 14453,29.776825,-3.2500505,-11.849814,29.223343
250,SDSS-II SN 14467,8.094282,-16.425909,-34.731136,-4.2471275
251,SDSS-II SN 14493,0.6869642,2.7764735,1.8752385,15.668078
252,SDSS-II SN 14498,8.302744,-49.246063,15.200527,-9.528704
253,SDSS-II SN 14505,24.205248,-19.211702,-17.494032,-16.46996
254,SDSS-II SN 14528,-3.6391811,-18.29645,-21.269169,29.003025
255,SDSS-II SN 14617,-16.758053,-14.748484,-36.287952,-15.926318
256,SDSS-II SN 1465,-16.459427,15.672109,-17.883287,-19.635315
257,SDSS-II SN 1470,20.975298,-30.24231,16.238285,-7.13783
258,SDSS-II SN 14821,8.011239,-32.710064,-19.043036,11.852703
259,SDSS-II SN 14964,-13.226105,4.3230386,-7.5574894,-5.037943
260,SDSS-II SN 1500,-7.610172,-21.831652,-20.250443,2.290839
261,SDSS-II SN 15046,-78.410835,27.216225,-93.79896,28.80375
262,SDSS-II SN 15055,-19.08011,-40.77876,-4.185418,-4.1273665
263,SDSS-II SN 15160,-10.6403055,-45.08117,-0.14440712,8.173908
264,SDSS-II SN 15198,-3.9906023,-20.270197,-37.609768,6.3291817
265,SDSS-II SN 15239,19.303877,-11.949563,2.5305927,20.977978
266,SDSS-II SN 15272,0.47074512,-21.268524,-12.500041,-19.93577
267,SDSS-II SN 15289,12.725286,-12.35233,-22.320583,11.212056
268,SDSS-II SN 15309,-13.60734,-33.635525,11.431469,-13.579836
269,SDSS-II SN 1535,8.851514,-40.087738,8.961313,-14.723011
270,SDSS-II SN 15417,-6.9252505,-46.854237,-8.997967,-10.376057
271,SDSS-II SN 15539,-16.017935,-28.78084,10.56043,-22.283524
272,SDSS-II SN 15587,-12.794437,-23.748846,-29.710337,-24.762827
273,SDSS-II SN 15751,25.59214,-23.85527,-20.615053,3.3697128
274,SDSS-II SN 15793,27.448832,-28.947605,-13.145378,-19.091433
275,SDSS-II SN 15903,18.17242,-45.144844,7.3056417,-17.55758
276,SDSS-II SN 15914,-19.859087,21.772062,-13.5366,-9.520937
277,SDSS-II SN 15944,-7.1596713,-36.08479,-20.907608,-4.932772
278,SDSS-II SN 16091,-0.31514165,-31.532017,-30.466105,-3.7070396
279,SDSS-II SN 1622,13.536075,-25.358982,1.1696584,-10.94882
280,SDSS-II SN 16412,-31.355528,15.812668,-9.76054,-7.413837
281,SDSS-II SN 16436,15.029943,-6.706783,-30.081388,24.111732
282,SDSS-II SN 16455,21.598833,-36.4394,7.2999125,15.206695
283,SDSS-II SN 16582,17.460018,-43.6136,2.3790007,0.89795065
284,SDSS-II SN 16768,8.816658,-34.422592,14.589142,15.83854
285,SDSS-II SN 16838,-32.33442,17.786718,-13.408185,1.0568377
286,SDSS-II SN 16977,-29.055887,6.6440387,-15.647633,11.000813
287,SDSS-II SN 17219,7.7855105,-1.2450705,-27.778639,-0.28142655
288,SDSS-II SN 17303,-27.415302,-13.835267,-3.4736726,-16.011269
289,SDSS-II SN 17330,-18.981676,-1.3877985,-21.513042,-15.98506
290,SDSS-II SN 17396,25.733757,-42.08295,17.588682,0.14868434
291,SDSS-II SN 17422,-38.30084,-4.8945975,-36.538303,-1.8409295
292,SDSS-II SN 17465,-15.947834,3.1546812,-22.90861,12.129847
293,SDSS-II SN 17466,11.481624,-29.357672,21.663717,-23.856266
294,SDSS-II SN 1750,8.068504,-46.514477,2.1674588,0.20809074
295,SDSS-II SN 17508,0.27246892,-22.123354,-23.093605,11.095112
296,SDSS-II SN 17539,-27.647812,18.149992,-20.538177,-4.7484336
297,SDSS-II SN 17542,-10.060538,-5.208514,-22.885311,26.909636
298,SDSS-II SN 17620,12.52137,-32.090527,14.446419,-20.50369
299,SDSS-II SN 17662,-36.43175,3.902616,-10.691017,-20.373495
300,SDSS-II SN 17667,-13.424464,-24.976206,-8.002992,17.945093
301,SDSS-II SN 17682,12.169905,-28.27244,-4.71634,13.531233
302,SDSS-II SN 17729,-41.348335,-5.494155,-5.1230097,-21.578793
303,SDSS-II SN 1773,22.416058,-34.92636,21.372147,-21.317623
304,SDSS-II SN 17748,-8.329037,2.6786354,-36.700546,-24.25394
305,SDSS-II SN 17789,-40.19518,17.115816,-27.649567,11.57085
306,SDSS-II SN 17816,4.7602077,-2.6181724,-15.839927,1.9820635
307,SDSS-II SN 17853,1.2502706,-11.935234,-4.5942106,-41.85115
308,SDSS-II SN 17894,0.22589333,-5.6793637,-22.588358,-25.012642
309,SDSS-II SN 17906,-33.0318,-7.738344,-29.251867,-24.392414
310,SDSS-II SN 17928,-19.805042,-12.419053,-16.711664,34.822304
311,SDSS-II SN 17952,-4.1863823,-37.700016,-29.656527,-12.607499
312,SDSS-II SN 17997,36.12485,-24.176653,2.1451192,-15.436398
313,SDSS-II SN 18058,-10.782468,-25.381557,-6.374582,-11.570763
314,SDSS-II SN 18067,-7.5766935,-18.3855,-43.75587,-15.16404
315,SDSS-II SN 18075,-18.264996,-3.47962,-6.407594,6.6766763
316,SDSS-II SN 18077,-45.402065,-6.413917,-3.4920137,4.839894
317,SDSS-II SN 18101,-23.517103,-13.504514,6.1099796,0.24175814
318,SDSS-II SN 1821,11.331286,-32.567642,11.810966,-2.7635057
319,SDSS-II SN 18226,-13.102383,-7.0436277,-31.627682,-20.459715
320,SDSS-II SN 18243,0.17205681,-37.76213,-27.123707,4.783763
321,SDSS-II SN 18253,-30.277302,-21.071823,15.91992,18.14889
322,SDSS-II SN 18273,-7.1857905,-32.529816,-2.92859,10.528533
323,SDSS-II SN 18276,15.883934,-40.880535,-20.428402,-1.3685647
324,SDSS-II SN 18301,23.085869,-30.024664,-11.47141,-6.5192537
325,SDSS-II SN 18331,-21.690722,-21.23871,14.5331545,-6.880845
326,SDSS-II SN 18376,-13.383035,7.0711346,-25.142126,3.752732
327,SDSS-II SN 18387,12.229687,-35.32378,4.6017904,-8.044809
328,SDSS-II SN 18405,13.506844,-39.559017,-4.246508,-12.638628
329,SDSS-II SN 18454,29.977919,-19.982368,-3.1782272,-23.524212
330,SDSS-II SN 18479,-3.8315175,-35.4741,-23.395664,19.473484
331,SDSS-II SN 18593,-2.2388585,-1.7743096,-31.550756,-5.511203
332,SDSS-II SN 18598,-23.03526,-16.243834,-13.065513,-34.80668
333,SDSS-II SN 18647,-6.781594,-29.461031,-33.169422,9.948566
334,SDSS-II SN 1866,-2.323828,-26.886871,-12.845013,-6.73869
335,SDSS-II SN 18664,-24.813126,-32.54791,5.8628345,-11.399491
336,SDSS-II SN 18743,-7.318578,-25.624573,18.729244,-15.653621
337,SDSS-II SN 18848,-24.250706,-7.0594363,-1.1015527,-5.937015
338,SDSS-II SN 18898,-17.947783,11.898821,-7.80324,-14.372464
339,SDSS-II SN 18917,2.0488133,-30.748188,-8.079877,17.763308
340,SDSS-II SN 18935,15.53915,-30.337675,-14.828425,-16.74717
341,SDSS-II SN 18943,4.826559,-18.402819,-1.8806952,-2.9747112
342,SDSS-II SN 18971,3.7391763,10.066787,-24.103455,32.672363
343,SDSS-II SN 18973,31.260662,-20.872131,-9.710682,12.069055
344,SDSS-II SN 18983,-26.118374,5.4104385,-13.927633,-10.357898
345,SDSS-II SN 19059,17.453411,-41.377148,-7.746076,22.523542
346,SDSS-II SN 19189,20.733025,-19.31916,-1.7458841,15.754261
347,SDSS-II SN 19209,21.286694,-21.879787,-12.984184,19.209772
348,SDSS-II SN 1921,8.54458,-41.24414,-4.9052534,8.74291
349,SDSS-II SN 19344,13.297217,-38.99012,20.383867,6.5197415
350,SDSS-II SN 19399,4.961588,-39.95554,-10.274573,-3.096115
351,SDSS-II SN 19428,-19.14392,-21.956013,6.3292346,1.885427
352,SDSS-II SN 19434,-4.0447226,-38.47776,9.244557,1.1915392
353,SDSS-II SN 19461,-4.976809,-47.405582,3.434762,-3.3473544
354,SDSS-II SN 19467,16.616926,-33.30057,-24.72602,9.322253
355,SDSS-II SN 19538,-9.110435,0.975016,-26.608051,-11.772771
356,SDSS-II SN 19539,-6.1924596,-6.38895,-11.561351,-30.204304
357,SDSS-II SN 19683,5.9808235,-18.06942,6.083213,-15.88514
358,SDSS-II SN 19721,-38.771786,-2.4841108,-16.74353,-9.564935
359,SDSS-II SN 19723,-0.30935085,-23.713327,-27.378887,19.75225
360,SDSS-II SN 19776,-12.401936,-25.896608,15.970448,18.386164
361,SDSS-II SN 1980,-28.100025,1.4640014,-20.230307,-21.911592
362,SDSS-II SN 1982,-24.871754,-15.1713915,-2.3248084,-2.6184285
363,SDSS-II SN 1991,-4.031848,-41.31418,-1.126603,5.448358
364,SDSS-II SN 19986,35.55085,-16.534197,-23.315702,2.0297642
365,SDSS-II SN 19987,18.799143,-30.531338,5.6238875,34.81513
366,SDSS-II SN 20216,-28.687685,-5.1747785,-18.174139,-30.098618
367,SDSS-II SN 20231,29.225843,-2.5930665,0.49789503,12.505079
368,SDSS-II SN 20251,-16.847467,-9.430001,1.6390423,-1.210559
369,SDSS-II SN 20257,21.771124,-11.640149,-14.746861,16.490824
370,SDSS-II SN 20369,1.443031,-8.535574,-11.763323,-9.229561
371,SDSS-II SN 2041,-13.998538,-24.546675,0.5631979,-6.3524404
372,SDSS-II SN 20411,27.296276,-9.7277355,-23.974018,-0.45617783
373,SDSS-II SN 2042,16.728416,-42.70482,8.699844,-7.547397
374,SDSS-II SN 20467,1.1532016,-16.892303,-25.5734,-27.336956
375,SDSS-II SN 20491,-7.4060154,-20.85253,-31.17597,-17.373564
376,SDSS-II SN 20497,4.4697733,-20.861458,-14.5317545,36.84713
