,SN,0,1,2,3,4
162,SN2007jn,6.4847493,-15.17418,-0.052521873,7.461914,1.1805567
163,SDSS-II SN 10991,20.63915,-20.936157,3.9615998,11.236542,7.1947975
164,SDSS-II SN 13633,-18.166342,-13.526179,8.780504,-2.7571542,-5.326532
165,SDSS-II SN 14413,-22.371698,-5.1232586,-9.2033415,-15.712415,-8.213349
166,SDSS-II SN 14475,6.9814377,-15.893706,17.374872,9.6,4.627228
167,SDSS-II SN 14531,2.3314133,-11.121929,21.072538,-9.606949,-10.32949
168,SDSS-II SN 15184,12.7937355,-2.3391006,-3.2987118,-5.7746825,-3.1729095
169,SDSS-II SN 17851,0.7725187,-22.213982,15.2825,-4.331853,6.110557
170,SDSS-II SN 20045,9.495429,-19.896242,10.540192,5.9208584,14.423933
171,SDSS-II SN 6333,7.210912,-27.220112,3.6102858,16.107756,10.4163475
172,SDSS-II SN 6696,1.5076243,-28.566584,7.274212,-6.52489,-5.336365
173,SN2005ey,-2.0791707,7.9974904,-26.976778,-11.024506,-22.914217
174,SN2005ff,5.88994,0.82969254,-10.628616,7.654101,-24.324938
175,SN2005fi,-12.9241295,-10.354151,-3.5040972,11.613658,-23.872133
176,SN2005fu,-19.658205,4.9157357,-18.05382,-4.9527802,-16.902401
177,SN2005fz,-1.8020234,-9.430311,3.9552186,5.862759,-29.243418
178,SN2005ge,0.3132069,-4.2117925,5.4010005,13.329187,-22.06661
179,SN2005hu,-14.272254,-21.290436,3.1713202,1.0868404,-19.402624
180,SN2005ia,-14.943141,-21.2365,-10.68386,3.0703554,-17.357622
181,SN2005ic,-2.71158,-11.709304,21.416368,8.411866,-14.353081
182,SN2005ie,-13.393261,-4.906558,7.6024704,14.26299,-14.570937
183,SN2005ih,6.0180993,-4.114424,-4.9615517,19.21075,-20.294458
184,SN2005jh,11.254169,4.131448,-12.099245,-3.2548215,-23.129183
185,SN2005jk,8.562857,-9.215513,6.522205,1.8963572,-23.132261
186,SN2005jo,9.145352,-2.7774928,4.808208,7.0289063,-17.89701
187,SN2005jt,0.31014898,-14.338377,25.386316,2.9722066,2.1592748
188,SN2005mh,-18.209637,-10.909466,9.831468,-4.917818,-14.358347
189,SN2006fo,11.980514,-23.194822,16.045227,11.480506,0.78057396
190,SN2006gm,-8.339432,-1.7566963,11.104474,20.482416,-11.533991
191,SN2006hc,12.264623,-4.676931,-14.5045395,15.4632635,-18.523516
