,SN,0,1
237,SDSS-II SN 1395,-2.741999,15.155483
238,SDSS-II SN 14054,-0.5981191,11.129726
239,SDSS-II SN 14081,-0.7580706,9.5458145
240,SDSS-II SN 14113,-21.75339,-1.0511615
241,SDSS-II SN 14258,-21.218374,8.091184
242,SDSS-II SN 14260,-10.686081,11.671755
243,SDSS-II SN 14311,-22.775026,5.532288
244,SDSS-II SN 14347,-14.916052,13.734002
245,SDSS-II SN 14361,-15.055734,1.4864818
246,SDSS-II SN 14375,-17.121197,5.574245
247,SDSS-II SN 14400,-4.627676,12.329417
248,SDSS-II SN 14429,-10.009923,13.648326
249,SDSS-II SN 14453,-11.791371,-1.8734974
250,SDSS-II SN 14467,-14.012338,14.871193
251,SDSS-II SN 14493,-4.770182,1.1484454
252,SDSS-II SN 14498,-21.827282,-3.9445055
253,SDSS-II SN 14505,-13.276541,-0.26881346
254,SDSS-II SN 14528,-19.716566,10.325468
255,SDSS-II SN 14617,-1.9479085,21.050526
256,SDSS-II SN 1465,8.443217,12.029906
257,SDSS-II SN 1470,-20.361696,-6.1224923
258,SDSS-II SN 14821,-18.005583,7.2362723
259,SDSS-II SN 14964,4.9269524,7.1370654
260,SDSS-II SN 1500,-9.614571,13.06848
261,SDSS-II SN 15046,-12.120354,1.3701947
262,SDSS-II SN 15055,-18.673698,5.784877
263,SDSS-II SN 15160,-21.661545,0.944252
264,SDSS-II SN 15198,-12.032016,18.306896
265,SDSS-II SN 15239,-17.546175,-1.4497079
266,SDSS-II SN 15272,-7.925966,8.873732
267,SDSS-II SN 15289,-16.074677,9.401701
268,SDSS-II SN 15309,-8.767157,4.11794
269,SDSS-II SN 1535,-20.560606,-4.222378
270,SDSS-II SN 15417,-13.303394,4.1524625
271,SDSS-II SN 15539,-8.422673,4.5835786
272,SDSS-II SN 15587,-4.1761084,21.169056
273,SDSS-II SN 15751,-15.912987,6.70184
274,SDSS-II SN 15793,-13.603778,-2.1676567
275,SDSS-II SN 15903,-21.443577,-4.774494
276,SDSS-II SN 15914,12.86089,14.999273
277,SDSS-II SN 15944,-15.8190775,15.700135
278,SDSS-II SN 16091,-15.079671,13.940275
279,SDSS-II SN 1622,-13.982433,-1.2411327
280,SDSS-II SN 16412,13.023235,17.6419
281,SDSS-II SN 16436,-12.119928,15.616525
282,SDSS-II SN 16455,-23.593018,-5.749515
283,SDSS-II SN 16582,-23.22318,-3.9021518
284,SDSS-II SN 16768,-23.61883,-7.525391
285,SDSS-II SN 16838,11.942196,17.160131
286,SDSS-II SN 16977,9.231138,14.220935
287,SDSS-II SN 17219,-6.6156845,14.958006
288,SDSS-II SN 17303,-1.489816,14.828836
289,SDSS-II SN 17330,1.1026102,14.693701
290,SDSS-II SN 17396,-21.433651,-6.6424356
291,SDSS-II SN 17422,4.7111845,17.943851
292,SDSS-II SN 17465,7.37678,13.540838
293,SDSS-II SN 17466,-22.347544,-9.398549
294,SDSS-II SN 1750,-23.437286,-2.1580327
295,SDSS-II SN 17508,-11.761656,13.290536
296,SDSS-II SN 17539,11.462687,18.715055
297,SDSS-II SN 17542,-8.7104435,16.738005
298,SDSS-II SN 17620,-20.197182,-5.5967693
299,SDSS-II SN 17662,5.5612974,11.408694
300,SDSS-II SN 17667,-11.222319,10.430609
301,SDSS-II SN 17682,-18.170298,2.8501227
302,SDSS-II SN 17729,3.9462242,11.594849
303,SDSS-II SN 1773,-22.892637,-8.665629
304,SDSS-II SN 17748,2.5736196,16.493904
305,SDSS-II SN 17789,6.6486125,19.474077
306,SDSS-II SN 17816,-11.488333,8.944584
307,SDSS-II SN 17853,-6.3784504,10.334112
308,SDSS-II SN 17894,-3.6564236,12.752217
309,SDSS-II SN 17906,3.747957,16.020464
310,SDSS-II SN 17928,-9.712251,6.862989
311,SDSS-II SN 17952,-16.56018,15.669548
312,SDSS-II SN 17997,-16.892904,-4.7210364
313,SDSS-II SN 18058,-7.655936,7.76085
314,SDSS-II SN 18067,-2.0135136,21.930182
315,SDSS-II SN 18075,4.3478847,4.903582
316,SDSS-II SN 18077,3.8363488,9.972083
317,SDSS-II SN 18101,-3.9872656,6.0744414
318,SDSS-II SN 1821,-21.103731,-5.3347526
