,SN,0,1,2
217,SDSS-II SN 1342,-31.727154,-17.124485,17.002224
218,SDSS-II SN 13440,-70.77319,-1.4848515,-45.62319
219,SDSS-II SN 13441,-6.476928,-58.411877,-37.734566
220,SDSS-II SN 13460,-19.739222,-55.898727,-49.14135
221,SDSS-II SN 13472,-69.446014,-7.2141027,-26.434256
222,SDSS-II SN 13487,6.8991375,-53.093994,-26.76269
223,SDSS-II SN 13492,-45.743378,-52.860023,8.641221
224,SDSS-II SN 13529,17.279032,-22.129864,-37.836277
225,SDSS-II SN 13554,32.56311,-56.952694,-40.82329
226,SDSS-II SN 13644,25.690056,35.22194,-65.35449
227,SDSS-II SN 13646,-28.251825,22.46192,-37.544647
228,SDSS-II SN 13675,-33.722656,-57.45675,-47.853416
229,SDSS-II SN 13699,-49.048935,-7.267285,-23.366413
230,SDSS-II SN 13725,16.516727,14.463691,-29.68973
231,SDSS-II SN 13803,-22.362482,6.0249496,-4.0426097
232,SDSS-II SN 13813,-33.43413,5.0089216,-50.26206
233,SDSS-II SN 13833,-20.329721,-43.85442,2.2247295
234,SDSS-II SN 13843,22.584845,-64.902054,0.8040622
235,SDSS-II SN 13864,-18.56256,-31.756302,-42.29813
236,SDSS-II SN 13931,-26.3963,-69.12092,5.434043
237,SDSS-II SN 1395,-28.136518,-5.0297236,-47.332996
238,SDSS-II SN 14054,-43.580223,17.751867,-19.499937
239,SDSS-II SN 14081,-5.2025795,-5.162245,-29.385096
240,SDSS-II SN 14113,-42.668427,-71.07809,-7.00978
241,SDSS-II SN 14258,25.014965,-62.246983,-34.252205
242,SDSS-II SN 14260,-10.586074,-55.891438,-61.67007
243,SDSS-II SN 14311,26.091269,-75.93723,-17.727385
244,SDSS-II SN 14347,-9.540459,-37.94495,-52.996487
245,SDSS-II SN 14361,-6.976328,-41.309536,-11.131936
246,SDSS-II SN 14375,-30.287367,-66.512665,-34.25367
247,SDSS-II SN 14400,-37.585846,5.2762804,-37.359863
248,SDSS-II SN 14429,-17.197607,-41.82849,-62.960575
249,SDSS-II SN 14453,-4.9469295,-29.359491,-9.73557
250,SDSS-II SN 14467,-6.4056363,-28.207724,-30.692213
251,SDSS-II SN 14493,-27.32391,-15.945783,9.7856
252,SDSS-II SN 14498,-48.947735,-77.96761,19.061441
253,SDSS-II SN 14505,-17.61476,-30.21947,-5.258001
254,SDSS-II SN 14528,28.366556,-49.623756,-47.467022
255,SDSS-II SN 14617,-42.85832,-2.5384498,-77.85409
256,SDSS-II SN 1465,16.222404,41.614685,-51.751587
257,SDSS-II SN 1470,-15.189151,-68.31955,30.619656
258,SDSS-II SN 14821,-8.790611,-67.67562,-30.254797
259,SDSS-II SN 14964,-35.810226,27.591206,-25.962252
260,SDSS-II SN 1500,4.6271696,-39.885902,-70.54879
261,SDSS-II SN 15046,-36.84007,-37.00378,-4.575605
262,SDSS-II SN 15055,-50.10327,-50.134853,-35.45259
263,SDSS-II SN 15160,-42.235645,-57.677227,-7.7318993
264,SDSS-II SN 15198,-1.1220431,-27.919348,-53.878487
265,SDSS-II SN 15239,26.797869,-54.25337,-6.562157
266,SDSS-II SN 15272,-54.31732,-10.7455,-30.472277
267,SDSS-II SN 15289,16.97345,-53.37107,-34.680153
268,SDSS-II SN 15309,-40.468708,-29.454752,-16.65772
269,SDSS-II SN 1535,-37.48445,-74.18931,11.689129
270,SDSS-II SN 15417,-37.97498,-63.76762,-25.451347
271,SDSS-II SN 15539,-35.08103,-23.628017,-21.5366
272,SDSS-II SN 15587,-23.093077,-22.01303,-74.12993
273,SDSS-II SN 15751,2.2584817,-58.828854,-33.159115
274,SDSS-II SN 15793,-61.34211,-33.183056,17.05708
275,SDSS-II SN 15903,-39.457935,-70.462074,22.061398
276,SDSS-II SN 15914,-9.16936,51.306213,-20.326447
277,SDSS-II SN 15944,-30.191174,-41.635357,-49.172337
278,SDSS-II SN 16091,-16.499157,-42.705696,-52.75105
279,SDSS-II SN 1622,-30.714405,-44.24659,2.269702
280,SDSS-II SN 16412,-34.14234,41.837814,-24.089275
281,SDSS-II SN 16436,33.62182,-45.886387,-61.533962
282,SDSS-II SN 16455,-9.847202,-91.14896,5.531386
283,SDSS-II SN 16582,-22.88385,-79.55571,2.189414
284,SDSS-II SN 16768,5.4207215,-84.27688,11.041363
285,SDSS-II SN 16838,-26.462275,48.40618,-23.024687
286,SDSS-II SN 16977,-9.816351,30.718176,-26.456099
287,SDSS-II SN 17219,35.4864,-21.484385,-70.25467
288,SDSS-II SN 17303,-9.524765,10.862773,-28.155499
289,SDSS-II SN 17330,1.2550577,13.9874,-64.33553
290,SDSS-II SN 17396,-18.044077,-75.07408,22.695711
291,SDSS-II SN 17422,-8.088164,39.821857,-84.524826
292,SDSS-II SN 17465,6.0397696,50.277298,-50.486507
293,SDSS-II SN 17466,-35.302094,-75.81359,39.70598
294,SDSS-II SN 1750,-29.663054,-74.7221,-2.9863908
295,SDSS-II SN 17508,1.9879558,-38.962067,-58.957775
296,SDSS-II SN 17539,-22.757704,53.503403,-31.876167
297,SDSS-II SN 17542,32.08565,-33.412052,-56.46482
298,SDSS-II SN 17620,-31.023506,-69.8854,35.96027
299,SDSS-II SN 17662,25.088263,21.244291,-46.713047
300,SDSS-II SN 17667,4.933989,-64.83454,-66.92392
301,SDSS-II SN 17682,0.71582067,-66.235565,-16.587055
302,SDSS-II SN 17729,21.628029,18.782354,-37.6859
303,SDSS-II SN 1773,-28.566393,-86.368225,34.543346
304,SDSS-II SN 17748,19.453371,32.615173,-82.91595
305,SDSS-II SN 17789,-41.2311,33.79991,-39.02485
306,SDSS-II SN 17816,-50.890434,-33.101177,-43.263165
307,SDSS-II SN 17853,-76.70092,-0.440809,-24.03542
308,SDSS-II SN 17894,-14.740404,-3.3683784,-40.665253
309,SDSS-II SN 17906,7.908712,22.595848,-83.19558
310,SDSS-II SN 17928,-68.977646,-27.957584,-19.761019
311,SDSS-II SN 17952,-28.964373,-39.13635,-58.998276
312,SDSS-II SN 17997,-17.319786,-50.746895,17.915373
313,SDSS-II SN 18058,-18.858215,-82.320335,47.43938
314,SDSS-II SN 18067,-29.534195,-2.2419012,-80.721146
315,SDSS-II SN 18075,-29.343674,20.142628,-15.707651
316,SDSS-II SN 18077,22.900599,6.2061205,-28.509928
317,SDSS-II SN 18101,-26.941154,1.2503618,-16.239288
318,SDSS-II SN 1821,-31.455233,-75.94621,26.640558
319,SDSS-II SN 18226,-12.726626,-10.340216,159.71526
320,SDSS-II SN 18243,-19.255692,-43.903595,-42.586926
321,SDSS-II SN 18253,-78.16536,-13.654341,-0.5705075
322,SDSS-II SN 18273,-22.484953,-63.331417,-13.765946
323,SDSS-II SN 18276,-23.529501,-46.696465,-21.90887
324,SDSS-II SN 18301,-12.734481,-54.02501,-9.290686
325,SDSS-II SN 18331,-26.835705,-15.242108,-11.503314
326,SDSS-II SN 18376,-12.265021,40.996246,-50.61158
327,SDSS-II SN 18387,-3.2790234,114.93344,184.45802
328,SDSS-II SN 18405,-37.93002,-85.74628,-8.798483
329,SDSS-II SN 18454,-32.336327,-51.217915,9.980914
330,SDSS-II SN 18479,-22.679558,-69.06348,-45.470078
331,SDSS-II SN 18593,-16.411531,21.222525,-51.781616
332,SDSS-II SN 18598,24.618013,-5.1948385,-74.772255
333,SDSS-II SN 18647,-10.304931,-29.11616,-45.911263
334,SDSS-II SN 1866,-12.098261,-20.950718,-36.958492
335,SDSS-II SN 18664,-62.435577,-17.672764,11.196418
336,SDSS-II SN 18743,-52.07494,-21.980064,8.373932
337,SDSS-II SN 18848,-14.572348,7.6129756,-18.51897
338,SDSS-II SN 18898,-4.079176,55.25598,-42.203007
339,SDSS-II SN 18917,-18.781752,-74.46779,-26.904041
340,SDSS-II SN 18935,-71.50393,-34.634518,-3.2753341
341,SDSS-II SN 18943,-29.162455,-28.150036,5.894465
342,SDSS-II SN 18971,-28.42892,-57.94822,-25.612986
343,SDSS-II SN 18973,15.029452,-62.45996,2.6520948
344,SDSS-II SN 18983,-2.8097732,34.073975,-40.536667
345,SDSS-II SN 19059,-1.3999343,-83.05273,-18.557346
346,SDSS-II SN 19189,7.502823,-59.42082,-4.2368975
347,SDSS-II SN 19209,16.669348,-58.20558,-23.275412
348,SDSS-II SN 1921,-16.795034,-75.75533,-13.433789
349,SDSS-II SN 19344,-21.619795,-86.56365,23.178894
350,SDSS-II SN 19399,-31.708391,-75.74895,-19.846855
351,SDSS-II SN 19428,-30.892187,-1.7225356,-7.9953117
352,SDSS-II SN 19434,-58.132164,-57.23684,-13.383345
353,SDSS-II SN 19461,-51.226624,-68.34863,-13.102453
354,SDSS-II SN 19467,-25.485287,-55.038483,-38.680283
355,SDSS-II SN 19538,-9.222893,19.480846,-58.239677
356,SDSS-II SN 19539,-46.924995,0.40065464,-35.64414
357,SDSS-II SN 19683,-36.201427,-27.98528,-5.116581
358,SDSS-II SN 19721,3.3066769,26.069584,-26.811483
359,SDSS-II SN 19723,9.626959,-42.785896,-54.202137
360,SDSS-II SN 19776,-43.36826,-39.13743,36.471058
361,SDSS-II SN 1980,8.612086,20.03198,-60.724857
362,SDSS-II SN 1982,-18.402367,-0.06484193,-14.426995
363,SDSS-II SN 1991,-42.28172,-59.69261,-14.912685
364,SDSS-II SN 19986,12.519818,-79.45791,-43.133705
