,SN,0,1,2,3
184,SN2005jh,24.743265,6.21683,-42.049538,9.346983
185,SN2005jk,-18.235703,-5.4378934,-28.238129,-3.8414435
186,SN2005jo,-18.820297,1.7841878,-29.039438,3.4034452
187,SN2005jt,-42.84061,-3.7072015,18.618055,1.2196753
188,SN2005mh,-24.104582,-32.273254,-13.29204,14.688701
189,SN2006fo,-41.959885,17.101297,3.867412,16.463411
190,SN2006gm,-14.811605,36.66645,-8.94748,-8.486148
191,SN2006hc,-2.2369218,-16.252316,-32.318848,13.408392
192,SN2006jo,-10.436237,28.735678,-14.471906,37.895657
193,SN2006jx,-18.656738,-25.329315,31.821009,20.125303
194,SN2006no,-5.7454896,12.094417,-28.642166,33.54967
195,SN2007ky,-26.189123,-8.827958,-0.074350476,38.322945
196,SN2007ny,21.630346,20.441444,-23.0664,5.6541877
197,SDSS-II SN 10997,-5.146309,3.373935,-48.659492,3.8767853
198,SDSS-II SN 11120,8.829514,-16.453283,-32.377266,-1.128032
199,SDSS-II SN 11532,0.27870032,3.0495927,-42.39149,-2.6437745
200,SDSS-II SN 12213,-24.459255,-9.917317,26.75825,26.545107
201,SDSS-II SN 1257,-0.02882181,13.158033,-37.57273,-1.2220829
202,SDSS-II SN 12879,13.606255,18.525488,-35.04176,17.408628
203,SDSS-II SN 12936,-26.452587,-8.525293,-5.7111244,-4.5194154
204,SDSS-II SN 12939,-7.79363,2.8142712,-22.666653,0.9183923
205,SDSS-II SN 12964,-21.261852,-14.178593,-15.38784,-7.2665834
206,SDSS-II SN 13051,-29.261553,1.700662,-17.102642,-18.471876
207,SDSS-II SN 13062,13.406143,27.041231,-17.152565,13.719415
208,SDSS-II SN 13076,-17.437151,-10.691076,30.677431,29.164415
209,SDSS-II SN 13096,-19.101528,-24.936697,-13.631693,7.878432
210,SDSS-II SN 13168,-1.7089002,-3.7809448,14.794829,31.92455
211,SDSS-II SN 13283,10.301402,8.044497,-17.643393,25.885921
212,SDSS-II SN 13291,-3.9513338,-1.7590537,-11.049476,22.576036
213,SDSS-II SN 13330,-16.056383,12.136242,-1.0514904,7.04922
214,SDSS-II SN 13344,-29.996729,-7.6001453,-17.357698,12.195684
215,SDSS-II SN 13395,-6.7277713,-20.393053,-25.99678,3.4030879
216,SDSS-II SN 13404,-0.2747125,-6.9796777,1.5162646,19.58982
217,SDSS-II SN 1342,2.6105816,3.61793,-0.052229524,37.341652
218,SDSS-II SN 13440,5.9167814,-15.753354,-29.283218,25.05081
219,SDSS-II SN 13441,-30.398745,-15.228351,-7.1373553,20.376509
220,SDSS-II SN 13460,-23.993826,-6.639156,-7.298746,10.156873
221,SDSS-II SN 13472,3.0050156,-22.746176,-6.194188,-0.91549784
222,SDSS-II SN 13487,-32.293156,-13.725606,-1.9251316,5.4728603
223,SDSS-II SN 13492,-17.652723,27.023785,8.196936,22.363966
224,SDSS-II SN 13529,-33.29633,-23.549267,-17.439795,-11.749463
225,SDSS-II SN 13554,-35.826576,-9.408251,-5.3023496,-13.772017
226,SDSS-II SN 13644,18.431429,3.9195971,-38.857273,-15.054497
227,SDSS-II SN 13646,-14.255099,-15.783244,-19.09858,-17.628439
228,SDSS-II SN 13675,-49.00141,-10.415189,-14.219628,12.730727
229,SDSS-II SN 13699,-4.4147058,6.0591016,-13.928786,31.740387
230,SDSS-II SN 13725,5.48743,26.607798,-24.855764,-5.548564
231,SDSS-II SN 13803,3.0622933,13.042617,-2.191993,14.434287
232,SDSS-II SN 13813,-8.825455,-7.2689567,-35.381687,16.938147
233,SDSS-II SN 13833,-14.5277815,-15.603316,6.133582,28.57433
234,SDSS-II SN 13843,-29.900911,-25.220415,17.747028,19.228285
235,SDSS-II SN 13864,-39.187046,5.92623,-23.319273,10.644229
236,SDSS-II SN 13931,-29.013184,15.726776,10.2761345,19.113537
237,SDSS-II SN 1395,-13.66802,7.970837,-25.60183,12.11935
238,SDSS-II SN 14054,17.488894,19.048328,-23.208227,24.2979
239,SDSS-II SN 14081,7.901799,-8.068349,-13.202472,32.437737
240,SDSS-II SN 14113,-33.019485,20.756487,0.6816151,24.765438
241,SDSS-II SN 14258,-37.323498,-14.455854,-3.0170038,-5.4012303
242,SDSS-II SN 14260,-21.804148,-16.523767,-17.210184,14.995949
243,SDSS-II SN 14311,-37.00376,-2.9002528,12.164226,-10.290472
244,SDSS-II SN 14347,-33.627533,-15.924069,-26.829657,16.473928
245,SDSS-II SN 14361,-14.514307,-11.944795,2.843705,8.3387985
246,SDSS-II SN 14375,-34.083057,-4.8927813,-1.8665028,23.41232
247,SDSS-II SN 14400,-6.2695794,-10.259543,-20.036507,15.060296
248,SDSS-II SN 14429,-27.362072,-11.33099,-19.953424,24.762096
249,SDSS-II SN 14453,-15.627759,-40.721085,16.077105,3.9133084
250,SDSS-II SN 14467,-29.684658,-28.57518,-25.683285,12.041937
251,SDSS-II SN 14493,2.8395238,-4.400374,-0.343167,33.72042
252,SDSS-II SN 14498,-27.89719,15.367351,9.1955185,37.966675
253,SDSS-II SN 14505,-9.020634,-11.4141865,-1.2646117,26.342485
254,SDSS-II SN 14528,-30.255661,-8.665151,-11.380101,-18.883244
255,SDSS-II SN 14617,-17.384867,-10.15431,-42.942616,20.529484
256,SDSS-II SN 1465,14.050165,-4.490344,-30.466475,-17.11508
257,SDSS-II SN 1470,-18.980034,4.9477644,25.117685,23.23042
258,SDSS-II SN 14821,-42.1467,-10.290596,-5.916387,5.663978
259,SDSS-II SN 14964,4.3970733,-0.9951639,-11.295923,0.10397327
260,SDSS-II SN 1500,-18.237154,-3.7054818,-17.849094,8.445339
261,SDSS-II SN 15046,-15.992293,6.476162,-0.17473058,14.867286
262,SDSS-II SN 15055,-25.653013,23.769802,-16.675844,24.984493
263,SDSS-II SN 15160,-30.648363,14.265502,-6.9261003,7.8643794
264,SDSS-II SN 15198,-34.44887,-6.117178,-27.884575,-1.8705789
265,SDSS-II SN 15239,-25.96514,0.63867843,12.362596,5.078186
266,SDSS-II SN 15272,-6.5497017,11.90863,-13.016825,39.197086
267,SDSS-II SN 15289,-37.444687,-25.73509,1.4341955,6.462922
268,SDSS-II SN 15309,-14.01271,20.223972,-3.4581904,30.552835
269,SDSS-II SN 1535,-21.94532,17.871416,13.630543,26.817532
270,SDSS-II SN 15417,-25.101696,6.8243966,-8.3186455,26.609016
271,SDSS-II SN 15539,-16.180998,36.73702,-11.836023,12.159963
272,SDSS-II SN 15587,-12.652459,-5.0462675,-35.20758,33.56944
273,SDSS-II SN 15751,-29.89581,-18.68541,-0.029642206,13.7193165
274,SDSS-II SN 15793,-10.196805,-5.6977315,4.2351823,34.53294
275,SDSS-II SN 15903,-20.0662,4.7795157,10.954753,36.340946
276,SDSS-II SN 15914,26.13531,-11.495773,-14.293857,8.623749
277,SDSS-II SN 15944,-30.24567,5.73196,-25.781736,21.718176
278,SDSS-II SN 16091,-32.075123,-7.3414407,-24.954517,18.456694
279,SDSS-II SN 1622,-21.265882,2.2052088,3.4450693,22.564249
280,SDSS-II SN 16412,18.483622,1.0126857,-13.074122,19.355946
281,SDSS-II SN 16436,-22.758879,-23.29146,-17.602459,-16.098562
282,SDSS-II SN 16455,-35.64541,3.5736759,25.415298,11.017156
283,SDSS-II SN 16582,-36.14661,5.7166276,13.431861,23.93393
284,SDSS-II SN 16768,-38.325497,16.954788,14.5918455,7.8122396
285,SDSS-II SN 16838,25.794586,4.1531997,-15.862881,14.80511
286,SDSS-II SN 16977,14.311334,-3.7266917,-15.670539,-0.09550253
287,SDSS-II SN 17219,-21.38069,12.801574,-24.756475,-14.30582
288,SDSS-II SN 17303,-5.623697,19.821566,-22.838928,12.813221
289,SDSS-II SN 17330,-6.00839,12.383736,-28.110472,2.346992
290,SDSS-II SN 17396,-31.120218,4.1313877,29.592915,29.417686
291,SDSS-II SN 17422,-2.9578288,-0.9931301,-50.813213,-6.1091175
292,SDSS-II SN 17465,9.886994,-12.917428,-39.6691,-14.737547
293,SDSS-II SN 17466,-24.872902,24.300331,23.578781,25.930271
294,SDSS-II SN 1750,-37.10155,13.523049,7.888478,24.84217
295,SDSS-II SN 17508,-28.641521,-9.817917,-15.125037,1.7925456
296,SDSS-II SN 17539,25.296434,-5.2723784,-19.460901,15.644597
297,SDSS-II SN 17542,-18.481312,-3.89999,-17.841705,-13.382839
298,SDSS-II SN 17620,-17.59395,21.386366,22.843483,22.543442
299,SDSS-II SN 17662,5.908137,16.11449,-24.731667,-9.827487
300,SDSS-II SN 17667,-13.187109,-11.269593,-9.077069,14.7640705
301,SDSS-II SN 17682,-33.424152,-2.3632097,3.554794,2.2933211
302,SDSS-II SN 17729,-4.7515054,19.718206,-27.760637,-11.092531
303,SDSS-II SN 1773,-27.876972,26.871733,27.019503,10.848
304,SDSS-II SN 17748,7.1371837,-1.7953701,-44.283936,17.734404
305,SDSS-II SN 17789,31.02699,23.330427,-18.063604,15.3424425
306,SDSS-II SN 17816,-21.000883,19.849817,-12.123797,-12.096939
307,SDSS-II SN 17853,-5.8628316,-23.02609,-9.326748,2.1661577
308,SDSS-II SN 17894,-0.10347285,-3.042789,-21.677687,23.771238
309,SDSS-II SN 17906,-5.105979,17.531612,-47.83783,2.8744152
310,SDSS-II SN 17928,-19.813944,30.077026,-19.842916,-3.3762996
311,SDSS-II SN 17952,-28.4403,-1.3890946,-32.09399,27.394737
312,SDSS-II SN 17997,-20.409328,-14.628009,14.137448,38.452778
313,SDSS-II SN 18058,-12.857104,13.465373,-13.311486,21.147093
314,SDSS-II SN 18067,-19.925488,-20.720728,-34.84947,16.810415
315,SDSS-II SN 18075,7.140901,-6.1385155,-7.331411,11.169254
316,SDSS-II SN 18077,10.460168,28.199148,-35.031487,-1.5367788
317,SDSS-II SN 18101,8.772067,23.310356,-7.063181,11.989402
318,SDSS-II SN 1821,-24.974281,11.261179,19.770006,17.661947
319,SDSS-II SN 18226,-5.3907075,3.2288094,-37.281723,13.899783
320,SDSS-II SN 18243,-40.732944,-4.282316,-22.457432,13.202631
321,SDSS-II SN 18253,-9.477731,-46.423492,-2.0789082,-0.52513564
322,SDSS-II SN 18273,-27.434938,9.936038,4.1081433,9.267174
323,SDSS-II SN 18276,-51.616337,-2.5084672,-2.7230327,12.312947
324,SDSS-II SN 18301,-27.451033,-11.552451,6.0804186,28.207298
325,SDSS-II SN 18331,4.770273,30.239403,-7.23909,24.173767
326,SDSS-II SN 18376,10.440833,-18.127434,-31.892086,-10.668111
327,SDSS-II SN 18387,-21.258009,9.347109,11.268156,22.452755
328,SDSS-II SN 18405,-25.227364,12.199321,3.05198,28.148746
