0,1,2,3,4,5,6,7,8,9
SDSS-II SN 13413 (g'r'i'),-1.0600562,-3.5511298,0.7364901,0.41224942,1.566806,-1.1599575,0.72950596,-0.2382009,-1.4630917
SDSS-II SN 1342 (g'r'i'),1.0028027,-1.1299648,-0.6669872,0.22952406,-0.24130726,-1.4859198,0.3301801,-1.6803732,1.7729042
SDSS-II SN 13423 (g'r'i'),-1.2832378,-0.5405605,2.1526866,-0.29620957,0.81680346,0.84129125,0.51965034,-1.2780929,0.92188644
SDSS-II SN 13440 (g'r'i'),-0.5202104,-2.118584,0.69953156,-1.0992341,0.33566922,-0.030673899,0.85492307,0.122842565,-1.5583987
SDSS-II SN 13441 (g'r'i'),1.6552701,2.1094587,-0.8621049,-0.6394715,0.6166765,-1.6985837,-0.36078596,-1.2029042,2.362374
SDSS-II SN 13461 (g'r'i'),-0.90161675,-4.3196316,1.0402707,-0.09432027,-1.4209055,-1.5878723,-1.5817024,-0.38014627,-1.906235
SDSS-II SN 13472 (g'r'i'),0.044010438,-3.4754198,1.2099911,-0.8952237,0.92559606,-0.5580994,0.5866052,-0.93504584,-0.64661354
SDSS-II SN 13476 (g'r'i'),-0.92120224,-1.0932567,0.21231203,-0.44706482,0.01631543,-0.32272813,0.80157286,-0.9259071,1.7203792
SDSS-II SN 13477 (g'r'i'),-0.0538184,-1.3000237,0.39344323,-0.74393374,0.68208116,-1.2145325,-0.1357545,-1.8439769,1.2320017
SDSS-II SN 13483 (g'r'i'),-1.898673,-3.6686227,2.7901857,-0.5425748,1.0384969,-0.32527167,-1.3095827,1.5158514,-2.2742143
SDSS-II SN 13487 (g'r'i'),1.6867231,2.287306,-1.0137825,-0.4456124,0.7703199,-1.705257,-0.72517306,-1.6717235,2.2585824
SDSS-II SN 13491 (g'r'i'),1.5770015,-0.0827399,0.20413865,-0.628952,0.61795586,-1.6067969,0.3592854,-1.2250323,2.307383
SDSS-II SN 13492 (g'r'i'),-0.8092315,2.084945,0.48888823,-0.86602837,0.41379032,0.44809365,-0.03424294,-0.39821216,0.8813807
SDSS-II SN 13496 (g'r'i'),-3.0601943,-3.0408573,2.77157,-0.07628539,0.12767479,0.56548446,-0.29030034,2.2907128,-1.9257245
SDSS-II SN 13497 (g'r'i'),0.7782577,2.5981512,-0.92517966,-0.92453116,0.96962535,-0.5375866,-1.6670024,-2.57133,1.5046455
SDSS-II SN 13498 (g'r'i'),-3.295307,-3.6441498,2.406604,0.78387743,0.8969972,0.25119916,0.33131883,2.182726,-1.0553795
SDSS-II SN 13520 (g'r'i'),0.7559755,0.3483257,-0.91367,0.6080528,0.37823936,-1.7650336,-0.6682577,-2.2308354,2.0856736
SDSS-II SN 13529 (g'r'i'),-0.014619589,-1.6242143,0.25752106,0.6582731,-0.07219348,0.19676217,1.0752594,-0.49313402,1.6494946
SDSS-II SN 13533 (g'r'i'),-0.39469856,-2.521439,0.4289904,-1.1180689,0.09466833,-0.97479403,-0.012610904,-1.2105339,-0.23588303
SDSS-II SN 13554 (g'r'i'),2.4729056,2.7791233,-0.93364,-0.14968033,0.37569734,-1.2389115,-0.047527894,-0.8977898,1.8146162
SDSS-II SN 13558 (g'r'i'),1.6672834,0.23637022,-0.18142086,-0.5105094,0.5398488,-1.7955068,0.1445442,-1.2866874,2.4966896
SDSS-II SN 13566 (g'r'i'),-0.58213377,-4.7322845,1.856601,-0.20741613,0.9684658,-0.95363665,-0.0700917,1.3232532,-2.5462227
SDSS-II SN 13589 (g'r'i'),-3.4445636,-3.8694038,2.3498142,0.8567923,0.62523246,0.28100592,0.51779497,2.472613,-1.2737404
SDSS-II SN 13633 (g'r'i'),-0.08770331,1.204091,0.0016154295,-1.4465286,-0.14619389,-0.32570416,1.5781438,-0.07471929,1.5903054
SDSS-II SN 13644 (g'r'i'),-0.20530862,-3.8307846,0.6275987,-0.28213742,-0.32305345,-0.88814336,0.34808746,0.5908946,-2.5743504
SDSS-II SN 13646 (g'r'i'),1.5027797,1.1924237,-1.2668511,-0.94018465,-0.70631784,-0.36894086,0.53226304,0.6539125,1.1131682
