,SN,0,1,2,3,4,5,6,7
91,SDSS-II SN 19336,6.9528866,-2.0254776,-3.1070755,5.1477957,1.3726997,7.829379,0.88452274,-4.8466787
92,SDSS-II SN 19731,-4.749326,-11.048784,-0.817181,-0.43202335,7.320507,-1.4737811,2.538441,-0.4311649
93,SDSS-II SN 20128,-0.9772809,5.24964,-6.9957657,1.6439246,-5.0666194,2.7887657,0.031550605,-11.33354
94,SDSS-II SN 20695,1.6511515,1.7960898,-0.0035890045,5.6054573,-1.8221897,1.4537042,-8.457491,9.394406
95,SDSS-II SN 21065,3.4554088,-8.343328,-2.5533633,1.983897,1.8740084,-3.1270137,-2.2324278,-4.1409516
96,SDSS-II SN 21307,0.2254558,1.9943247,-2.2697575,1.1109208,5.0575333,-1.5196971,11.311457,3.8476691
97,SDSS-II SN 21663,-2.600037,-4.9674196,-0.6683584,3.0019271,-2.9529278,-2.7059197,1.5532032,-5.6271653
98,SDSS-II SN 3832,-0.7679054,0.47768074,1.5303873,0.26141405,-11.584129,5.0211344,-3.524804,-2.5684361
99,SDSS-II SN 4118,-4.728801,8.296684,-3.2657328,-1.8474513,2.8530674,-2.621828,4.840636,-3.251567
100,SDSS-II SN 5323,-0.3584209,8.9895115,0.79644644,4.466235,2.7235968,-3.6687627,0.1698773,7.736363
101,SDSS-II SN 5595,-0.7919118,7.3374863,-0.471514,5.1048565,-3.043275,-1.1810452,-1.9605323,7.039257
102,SDSS-II SN 5897,3.8565097,-2.0429277,-3.1381137,4.917689,2.9559462,2.5947454,0.92920834,6.9723597
103,SDSS-II SN 6225,0.43884715,-7.567942,-2.8451588,6.5805163,8.440623,2.9513958,2.4182272,3.039431
104,SDSS-II SN 6288,1.0615743,7.4715543,-3.607084,1.4677995,-5.5080533,-7.6736693,1.4854039,0.59266067
105,SDSS-II SN 6638,-1.5746316,1.4262699,1.0767242,1.592935,-5.1277866,-5.150568,-6.1618576,-8.234265
106,SDSS-II SN 7374,8.86034,-1.2535784,-4.3974333,1.282839,1.2349873,-1.712895,-1.3108475,-5.357777
107,SDSS-II SN 7978,-9.3000555,6.538017,0.8536687,-2.0389457,-2.9839013,-7.423674,-0.63517326,1.4873834
108,SDSS-II SN 8165,-0.39785954,-1.8068316,-7.64339,-2.5628207,-1.4373204,-4.0379243,8.345643,-2.1785114
109,SDSS-II SN 8457,1.0512372,-10.220958,-2.5753703,-0.09109012,-7.4822736,-4.4409566,-3.9950857,-5.4776773
110,SN2005eg,-4.031858,5.566567,-8.227551,5.8150253,-3.4121857,-6.2425685,6.841375,5.6561413
111,SN2005fe,1.3516515,4.57017,-3.4104955,6.9965224,-2.4119103,0.2191038,4.45286,-4.178873
112,SN2005ft,-2.4442139,8.935958,-4.785288,6.099798,-6.5147476,-11.863988,6.727722,0.6045762
113,SN2005fv,1.1291149,-0.040624447,-1.7235402,12.312457,-7.1641607,-2.608787,1.43853,6.2200804
114,SN2005fx,-0.47003204,7.182188,-4.796047,10.261164,-1.4091057,1.8500952,-3.1697736,-2.1171978
115,SN2005gc,0.65646195,8.825781,-3.6043978,8.059554,-7.6812344,-0.74714327,4.2223406,7.484721
116,SN2005gs,-1.4596487,-1.3483094,0.857455,16.298065,-0.49907595,-1.8900315,1.3710454,-8.27048
