,SN,0,1,2,3,4,5,6,7,8
50,SN2005hw,1.0723789517854392,0.3817620424348132,-0.1302937009759416,0.8340747510981429,1.5974223730912431,-1.8010284960417674e-06,9.991608315036286,1e+38,1e+38
51,SN2005lk,2.674725457208441,2.8451097489943655,0.11820293174495347,2.0932077681090697,-0.24705311751292353,-3.237825582948333e-07,16.964558144930095,1e+38,1e+38
52,SN2006lm,1.14502827956346,0.9537743232393381,0.7341848797033929,0.3934356983737229,0.9728407469040429,-3.977485322971572e-06,3.1032594266801166,1e+38,1e+38
53,SN2006oy,1.2804743519844042,1.3717100992017377,-0.09406415415963557,1.281738610166476,0.6698352377332721,-1.840553784108891e-06,12.219786099127152,1e+38,1e+38
54,SN2006ta,1.1211202491614294,0.2058848582518449,0.23930737233644758,1.6550321687691576,0.7390784172078185,3.872679960046418e-06,2.4497500286839635,1e+38,1e+38
55,SN2007jc,2.4776704154149507,1.501444657178592,0.7686640785915921,2.0477640941254087,1.2640528326789149,-1.4896461243727327e-05,79.11032231708916,1e+38,1e+38
56,SN2007jx,1.002944626209643,1.1569301556351808,-0.46660132621317074,0.2978362221236706,0.1420766653483704,-1.1249115124002706e-06,8.399253323743924,1e+38,1e+38
57,SN2007qz,1.0616950535118401,0.8539664315114349,0.238132527856886,0.9053354605310865,0.09477149657272926,1.4799101777939348e-06,1.5752354094655077,1e+38,1e+38
58,SDSS-II SN 10106,1.3551886322001583,1.6986928650928872,1.2220056683234868,1.17212330129665,0.8331991786081868,-3.6197917080424235e-07,8.118395288519341,1e+38,1e+38
59,SDSS-II SN 11094,0.6356126578515799,1.7343627724815753,0.9752146183448926,0.1881009094399316,-0.8450376908922241,1.3612109869679169e-07,23.12517301250776,1e+38,1e+38
60,SDSS-II SN 11850,0.2275789133777413,0.3362738550185703,1.1081584490570129,0.4244181103193713,-1.2403521037536358,1.1125558547565363e-06,20.00270449095868,1e+38,1e+38
61,SDSS-II SN 13955,0.5445654965338724,0.01555149603118794,-0.013357953716902127,1.5599178141395393,0.21310598965865293,-0.000593970377125968,4.794184372219426,1e+38,1e+38
62,SDSS-II SN 14053,0.0001,0.008649175895662423,1.1635990944730275,-0.1943871612261715,-1.307411380915601,-4.4908658720150206e-07,2.723946730804122,1e+38,1e+38
63,SDSS-II SN 14102,1.3854807095804227,0.25774125884254806,-2.9712277237190944e-05,-1.0383686782398605,-1.7117733302129877e-05,-2.223601886740718e-05,36.98023576820354,1e+38,1e+38
