Name,g',r',i',claimedtype,redshift,alias,spectrum_count,in_anderson,in_cccp,in_pantheon,in_sanders,spec_class
SDSS-II SN 13184,20,16,11,II,,SDSS-II SN 13184,0,0,0,0,0,0
SDSS-II SN 13196,15,14,6,II,,SDSS-II SN 13196,0,0,0,0,0,0
SDSS-II SN 13207,18,16,6,II,,SDSS-II SN 13207,0,0,0,0,0,0
SDSS-II SN 13247,13,17,14,II,,SDSS-II SN 13247,0,0,0,0,0,0
SDSS-II SN 13269,3,4,8,Ib/c,,SDSS-II SN 13269,0,0,0,0,0,0
SDSS-II SN 13277,18,9,4,II,,SDSS-II SN 13277,0,0,0,0,0,0
SDSS-II SN 13283,19,18,15,II,,SDSS-II SN 13283,0,0,0,0,0,0
SDSS-II SN 13291,16,16,16,II,,SDSS-II SN 13291,0,0,0,0,0,0
SDSS-II SN 13304,9,8,5,II,,SDSS-II SN 13304,0,0,0,0,0,0
SDSS-II SN 13314,3,8,8,II,,SDSS-II SN 13314,0,0,0,0,0,0
SDSS-II SN 13323,6,4,5,Ia;Ia,0.23262,SDSS-II SN 13323,0,0,0,0,0,0
SDSS-II SN 13329,5,7,7,Ia;Ia,0.319;0.347;0.302,SDSS-II SN 13329,0,0,0,0,0,0
SDSS-II SN 13330,6,9,7,Ib/c,,SDSS-II SN 13330,0,0,0,0,0,0
SDSS-II SN 13339,4,5,6,Ia,,SDSS-II SN 13339,0,0,0,0,0,0
SDSS-II SN 13344,3,6,6,Ia,0.207977,SDSS-II SN 13344,0,0,0,0,0,0
SDSS-II SN 13360,16,16,9,II,,SDSS-II SN 13360,0,0,0,0,0,0
SDSS-II SN 13363,18,20,17,II,,SDSS-II SN 13363,0,0,0,0,0,0
SDSS-II SN 1337,4,7,6,II,,SDSS-II SN 1337,0,0,0,0,0,0
SDSS-II SN 13383,5,8,9,Ia;Ia,0.284;0.253,SDSS-II SN 13383,0,0,0,0,0,0
SDSS-II SN 13390,18,14,6,II,,SDSS-II SN 13390,0,0,0,0,0,0
SDSS-II SN 13395,5,10,13,II,,SDSS-II SN 13395,0,0,0,0,0,0
SDSS-II SN 13404,15,12,5,II,,SDSS-II SN 13404,0,0,0,0,0,0
SDSS-II SN 13406,3,11,12,II,,SDSS-II SN 13406,0,0,0,0,0,0
SDSS-II SN 13411,13,12,12,Ia,0.163;0.163,SDSS-II SN 13411,0,0,0,1,0,1
SDSS-II SN 13413,4,5,6,II,,SDSS-II SN 13413,0,0,0,0,0,0
SDSS-II SN 1342,4,4,3,Ia;Ia,0.283;0.299,SDSS-II SN 1342,0,0,0,0,0,0
SDSS-II SN 13423,4,6,9,Ia;Ia,0.328;0.286,SDSS-II SN 13423,0,0,0,0,0,0
SDSS-II SN 13440,9,13,11,II,0.2978,SDSS-II SN 13440,0,0,0,0,0,0
SDSS-II SN 13441,5,7,5,Ia;Ia,0.28876,SDSS-II SN 13441,0,0,0,0,0,0
SDSS-II SN 13460,7,8,10,Ia;Ia,0.310903,SDSS-II SN 13460,0,0,0,0,0,0
SDSS-II SN 13461,22,12,3,II,,SDSS-II SN 13461,0,0,0,0,0,0
SDSS-II SN 13472,10,14,10,II,,SDSS-II SN 13472,0,0,0,0,0,0
SDSS-II SN 13476,7,7,11,Ia;Ia,0.27572,SDSS-II SN 13476,0,0,0,0,0,0
SDSS-II SN 13477,3,8,6,Ia,0.365325,SDSS-II SN 13477,0,0,0,0,0,0
SDSS-II SN 13483,14,19,19,II,,SDSS-II SN 13483,0,0,0,0,0,0
SDSS-II SN 13487,3,5,4,Ia;Ia,0.289052,SDSS-II SN 13487,0,0,0,0,0,0
SDSS-II SN 13488,14,13,4,II,,SDSS-II SN 13488,0,0,0,0,0,0
SDSS-II SN 13491,4,6,6,Ia,0.362005,SDSS-II SN 13491,0,0,0,0,0,0
SDSS-II SN 13492,6,8,9,Ia;Ia,0.221,SDSS-II SN 13492,0,0,0,0,0,0
SDSS-II SN 13496,8,11,14,II,,SDSS-II SN 13496,0,0,0,0,0,0
SDSS-II SN 13497,5,6,6,Ia;Ia,0.395788,SDSS-II SN 13497,0,0,0,0,0,0
SDSS-II SN 13498,3,12,13,II,,SDSS-II SN 13498,0,0,0,0,0,0
SDSS-II SN 13515,17,18,11,II,,SDSS-II SN 13515,0,0,0,0,0,0
SDSS-II SN 13520,3,4,4,Ia;Ia,0.269329,SDSS-II SN 13520,0,0,0,0,0,0
SDSS-II SN 13529,4,4,7,Ia;Ia,0.302444,SDSS-II SN 13529,0,0,0,0,0,0
SDSS-II SN 13533,14,6,4,II,,SDSS-II SN 13533,0,0,0,0,0,0
SDSS-II SN 13537,12,15,6,II,,SDSS-II SN 13537,0,0,0,0,0,0
SDSS-II SN 13553,13,6,6,II,,SDSS-II SN 13553,0,0,0,0,0,0
SDSS-II SN 13554,5,6,5,Ia;Ia,0.332;0.353;0.307,SDSS-II SN 13554,0,0,0,0,0,0
SDSS-II SN 13558,3,5,4,Ia,,SDSS-II SN 13558,0,0,0,0,0,0
SDSS-II SN 13566,16,18,14,II,,SDSS-II SN 13566,0,0,0,0,0,0
SDSS-II SN 13588,8,13,5,II,,SDSS-II SN 13588,0,0,0,0,0,0
SDSS-II SN 13589,6,14,13,II,,SDSS-II SN 13589,0,0,0,0,0,0
SDSS-II SN 13600,14,13,9,II,,SDSS-II SN 13600,0,0,0,0,0,0
SDSS-II SN 13628,15,14,9,II,,SDSS-II SN 13628,0,0,0,0,0,0
